,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
10,2,Memory,0,,,,,,,00895960530fa.jpg,,,,,1.008,4,,,,,,,1537986091.665222,1537986093.711685,
11,2,Memory,0,,,,,,,sunaddsaeicthrfbkhe.jpg,,,,,0.0,,,,,,,,1537986094.982023,1537986096.981435,
12,2,Memory,0,,,,,,,sunadqmjrhfjyuzyvdd.jpg,,,,,0.0,,,,,,,,1537986098.284864,1537986100.433729,
13,2,Memory,0,,,,,,,sunaangbuylfvckqqoo.jpg,,,,,1.533,2,,,,,,,1537986101.718047,1537986103.800239,
14,2,Memory,0,,,,,,,sunaenwuebvlpdmntju.jpg,,,,,2.142,2,,,,,,,1537986105.068721,1537986107.186325,
15,2,Memory,0,,,,,,,sunaajayojuslbbnneg.jpg,,,,,1.642,2,,,,,,,1537986108.487436,1537986110.605944,
16,2,Memory,0,,,,,,,00742941201fa.jpg,,,,,1.604,2,,,,,,,1537986111.904897,1537986113.888248,
17,2,Memory,0,,,,,,,sunalntxqqadigcletd.jpg,,,,,0.0,,,,,,,,1537986115.18966,1537986117.191987,
18,2,Memory,0,,,,,,,00681941121fa.jpg,,,,,1.675,4,,,,,,,1537986118.491183,1537986120.607421,
19,2,Memory,0,,,,,,,00970960627fa.jpg,,,,,2.134,2,,,,,,,1537986121.874049,1537986123.970884,
20,2,Memory,0,,,,,,,sunbagfpovqwbuexqdn.jpg,,,,,1.835,2,,,,,,,1537986125.243231,1537986127.288465,
21,2,Memory,0,,,,,,,sunakodkcslgqhqlgwl.jpg,,,,,1.566,3,,,,,,,1537986128.577642,1537986130.572892,
22,2,Memory,0,,,,,,,sunamkmeblgteyggink.jpg,,,,,1.417,2,,,,,,,1537986131.860712,1537986133.843488,
23,2,Memory,0,,,,,,,sunalcrtwiycqobgelp.jpg,,,,,1.435,3,,,,,,,1537986135.129664,1537986137.260408,
24,2,Memory,0,,,,,,,00635941031fa.jpg,,,,,1.675,2,,,,,,,1537986138.564039,1537986140.547084,
25,2,Memory,0,,,,,,,00874940307fa.jpg,,,,,0.982,2,,,,,,,1537986141.831149,1537986143.847574,
26,2,Memory,0,,,,,,,sunamczizlzavhzhpay.jpg,,,,,1.7,2,,,,,,,1537986145.1484,1537986147.144644,
27,2,Memory,0,,,,,,,00125931230fa.jpg,,,,,0.0,,,,,,,,1537986148.41253,1537986150.382664,
28,2,Memory,0,,,,,,,sunagutjvdvnhxejerz.jpg,,,,,0.0,,,,,,,,1537986151.700569,1537986153.884611,
29,2,Memory,0,,,,,,,00131931230fb.jpg,,,,,1.049,2,,,,,,,1537986155.168828,1537986157.230526,
30,2,Memory,0,,,,,,,00242940128fa.jpg,,,,,1.985,2,,,,,,,1537986158.486765,1537986160.452401,
31,2,Memory,0,,,,,,,sunaglqunwuycxydmyu.jpg,,,,,1.972,2,,,,,,,1537986161.754569,1537986163.884286,
32,2,Memory,0,,,,,,,00898960530fa.jpg,,,,,1.189,3,,,,,,,1537986165.150354,1537986167.136684,
33,2,Memory,0,,,,,,,00097931230fa.jpg,,,,,1.918,1,,,,,,,1537986168.439877,1537986170.470303,
34,2,Memory,0,,,,,,,00997960627fa.jpg,,,,,1.692,2,,,,,,,1537986171.73564,1537986173.858749,
35,2,Memory,0,,,,,,,sunbasypfgzjtomktmu.jpg,,,,,2.007,3,,,,,,,1537986175.142097,1537986177.187532,
36,2,Memory,0,,,,,,,00887960530.jpg,,,,,1.501,1,,,,,,,1537986178.460201,1537986180.478452,
37,2,Memory,0,,,,,,,00947960627fa.jpg,,,,,2.003,1,,,,,,,1537986181.761368,1537986183.912675,
38,2,Memory,0,,,,,,,sunacwggadqsfpovdjv.jpg,,,,,2.056,1,,,,,,,1537986185.278871,1537986187.424677,
39,2,Memory,0,,,,,,,sunabcuurugvxwparpk.jpg,,,,,0.0,,,,,,,,1537986188.71314,1537986190.765301,
40,2,Memory,0,,,,,,,00892960530fa.jpg,,,,,1.419,1,,,,,,,1537986192.046932,1537986194.17714,
41,2,Memory,0,,,,,,,sunasmmcxdddtmtazwx.jpg,,,,,2.157,2,,,,,,,1537986195.465236,1537986197.615631,
42,2,Memory,0,,,,,,,00589940928fa.jpg,,,,,1.57,2,,,,,,,1537986198.916357,1537986201.002873,
43,2,Memory,0,,,,,,,sunbtpilbhhbmhmeuzq.jpg,,,,,1.241,1,,,,,,,1537986202.283714,1537986204.45264,
44,2,Memory,0,,,,,,,00785941205fa.jpg,,,,,1.099,3,,,,,,,1537986205.713439,1537986207.680284,
45,2,Memory,0,,,,,,,00799941205fa.jpg,,,,,2.024,4,,,,,,,1537986208.970263,1537986210.987196,
46,2,Memory,0,,,,,,,00884960530fa.jpg,,,,,1.492,2,,,,,,,1537986212.25365,1537986214.300908,
47,2,Memory,0,,,,,,,sunaalltyvjhbzhkmvg.jpg,,,,,1.782,2,,,,,,,1537986215.58842,1537986217.589184,
48,2,Memory,0,,,,,,,sunajtrfunvzdfticna.jpg,,,,,1.491,1,,,,,,,1537986218.889707,1537986220.868221,
49,2,Memory,0,,,,,,,00968960627fa.jpg,,,,,1.525,1,,,,,,,1537986222.135334,1537986224.177958,
