Button,Time
"[['2', 252.6163809299469]]",1539358032.394718
"[['2', 253.39917182922363]]",1539358033.177741
"[['3', 258.11759185791016]]",1539358037.896038
"[['1', 282.6087529659271]]",1539358062.387306
"[['1', 284.5254328250885]]",1539358064.471308
"[['1', 405.8480269908905]]",1539358185.626459
"[['1', 415.3329219818115]]",1539358195.111433
"[['2', 424.9199459552765]]",1539358204.698497
"[['1', 37.06151604652405]]",1539358383.104239
"[['1', 75.90828800201416]]",1539358421.98192
"[['1', 78.29287505149841]]",1539358425.283956
"[['2', 98.61873197555542]]",1539358444.873182
"[['2', 105.29546999931335]]",1539358451.374799
"[['1', 172.7589499950409]]",1539358519.448006
"[['1', 145.7400360107422], ['1', 146.09247183799744], ['1', 147.22778987884521]]",1539358783.748785
"[['1', 150.89402079582214]]",1539358787.850565
"[['2', 163.89881896972656]]",1539358799.337119
"[['1', 176.11619782447815]]",1539358811.490208
"[['2', 186.95560789108276]]",1539358823.028366
"[['2', 235.45299696922302]]",1539358870.827048
"[['2', 47.90274500846863]]",1539359215.054847
"[['3', 58.45596098899841]]",1539359226.007772
"[['3', 64.41233706474304]]",1539359232.743653
"[['2', 198.5521001815796]]",1539359365.704135
"[['2', 86.31665396690369]]",1539359562.147979
"[['2', 87.30150508880615]]",1539359563.083033
"[['2', 105.87378692626953]]",1539359581.655283
"[['2', 124.43312692642212], ['2', 124.6809949874878], ['2', 124.8630781173706]]",1539359600.928193
"[['2', 139.40363812446594], ['2', 139.88581609725952]]",1539359616.232831
"[['2', 145.170264005661]]",1539359620.951917
"[['2', 187.68384408950806]]",1539359663.465281
"[['2', 217.31023597717285]]",1539359693.125744
"[['1', 224.6445209980011]]",1539359700.727349
"[['1', 44.420000076293945], ['3', 44.5715229511261], ['1', 44.73751997947693], ['1', 44.87131309509277]]",1539359850.941957
"[['1', 45.02052903175354]]",1539359850.976022
"[['1', 45.17101812362671]]",1539359851.126404
"[['1', 45.32028603553772]]",1539359851.275907
"[['2', 125.59649515151978]]",1539359932.651902
"[['2', 142.36887001991272]]",1539359948.324179
"[['2', 146.56872510910034]]",1539359952.524272
"[['2', 157.75646305084229]]",1539359963.712029
"[['1', 176.29698014259338]]",1539359982.266412
"[['2', 179.99875402450562]]",1539359986.118736
"[['1', 88.43820905685425]]",1539360219.095069
"[['2', 95.57517004013062]]",1539360226.895917
"[['1', 100.95721507072449]]",1539360231.614115
"[['2', 146.08856987953186]]",1539360276.745279
"[['2', 161.4941749572754]]",1539360292.151005
"[['2', 182.9368119239807]]",1539360314.508447
"[['2', 209.47818899154663]]",1539360340.983083
"[['1', 34.02733898162842]]",1539360484.930168
"[['3', 67.54276514053345]]",1539360518.445724
"[['2', 102.5999071598053]]",1539360553.502693
"[['4', 178.57535195350647], ['4', 178.8917419910431], ['4', 179.2425971031189]]",1539360630.192873
"[['2', 180.3745300769806]]",1539360631.277501
"[['2', 219.87218403816223]]",1539360671.738741
