,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
110,32,Memory,2,,,,,,,00792941205fa.jpg,,,,,0.0,,,,,,,,1540150882.291229,1540150884.691485,
111,32,Memory,2,,,,,,,sunabllobxadqcyttej.jpg,,,,,1.405,1.0,,,,,,,1540150886.058323,1540150888.392525,
112,32,Memory,2,,,,,,,sunagfvluwixdsozaql.jpg,,,,,1.253,2.0,,,,,,,1540150889.776846,1540150892.077875,
113,32,Memory,2,,,,,,,sunajtrfunvzdfticna.jpg,,,,,1.486,3.0,,,,,,,1540150893.561022,1540150895.944994,
114,32,Memory,2,,,,,,,sunaaexpnawiehinlpy.jpg,,,,,1.684,3.0,,,,,,,1540150897.413015,1540150899.929985,
115,32,Memory,2,,,,,,,00313940422fa.jpg,,,,,1.337,2.0,,,,,,,1540150901.36381,1540150903.864447,
116,32,Memory,2,,,,,,,sunapmfmzadmosuogaz.jpg,,,,,1.172,3.0,,,,,,,1540150905.281706,1540150907.682739,
117,32,Memory,2,,,,,,,sunahawfngukizslzsd.jpg,,,,,1.904,4.0,,,,,,,1540150909.082751,1540150911.550067,
118,32,Memory,2,,,,,,,sunafkmnlytenlsywia.jpg,,,,,1.336,4.0,,,,,,,1540150912.917826,1540150915.401421,
119,32,Memory,2,,,,,,,sunabclssnoeuigtawp.jpg,,,,,1.569,1.0,,,,,,,1540150916.802023,1540150919.169147,
120,32,Memory,2,,,,,,,sunagsiwrmuixqgdimb.jpg,,,,,1.237,1.0,,,,,,,1540150920.58654,1540150922.953929,
121,32,Memory,2,,,,,,,sunahqrxievfeusiqlt.jpg,,,,,1.07,2.0,,,,,,,1540150924.338005,1540150926.82201,
122,32,Memory,2,,,,,,,sunaooaqzputrowwbsw.jpg,,,,,2.001,3.0,,,,,,,1540150928.240323,1540150930.789334,
123,32,Memory,2,,,,,,,00874940307fa.jpg,,,,,0.936,2.0,,,,,,,1540150932.191068,1540150934.590283,
124,32,Memory,2,,,,,,,00919960620fa.jpg,,,,,0.871,3.0,,,,,,,1540150936.024284,1540150938.459224,
125,32,Memory,2,,,,,,,00786941205fa.jpg,,,,,1.037,2.0,,,,,,,1540150939.909864,1540150942.360634,
126,32,Memory,2,,,,,,,sunaatjesvdupctftmn.jpg,,,,,1.052,4.0,,,,,,,1540150943.693954,1540150946.145305,
127,32,Memory,2,,,,,,,00885960530fa.jpg,,,,,1.584,2.0,,,,,,,1540150947.578296,1540150949.962903,
128,32,Memory,2,,,,,,,00145931230fb.jpg,,,,,1.303,3.0,,,,,,,1540150951.364115,1540150953.747843,
129,32,Memory,2,,,,,,,00807941205fa.jpg,,,,,1.171,2.0,,,,,,,1540150955.148052,1540150957.515132,
130,32,Memory,2,,,,,,,sunaejnvnpltdmhbcsi.jpg,,,,,1.119,2.0,,,,,,,1540150958.981726,1540150961.333518,
131,32,Memory,2,,,,,,,00815941205fa.jpg,,,,,1.07,2.0,,,,,,,1540150962.749827,1540150965.083105,
