,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
110,12,Memory,2,,,,,,,00609940928fa.jpg,,,,,1.136,2.0,,,,,,,1553714937.289839,1553714939.340962,
111,12,Memory,2,,,,,,,00126931230fb.jpg,,,,,0.0,,,,,,,,1553714940.624835,1553714942.608866,
112,12,Memory,2,,,,,,,sunafowswglhxcsufpo.jpg,,,,,1.022,2.0,,,,,,,1553714943.89274,1553714945.876239,
113,12,Memory,2,,,,,,,sunacycdoztxoluxjyk.jpg,,,,,0.82,2.0,,,,,,,1553714947.260193,1553714949.24444,
114,12,Memory,2,,,,,,,00771941205fa.jpg,,,,,1.27,2.0,,,,,,,1553714950.512118,1553714952.495382,
115,12,Memory,2,,,,,,,00633940928fa.jpg,,,,,1.188,2.0,,,,,,,1553714953.761476,1553714955.746782,
116,12,Memory,2,,,,,,,00793941205fa.jpg,,,,,1.237,2.0,,,,,,,1553714956.996713,1553714958.980853,
117,12,Memory,2,,,,,,,sunafxokyavhgptyfye.jpg,,,,,0.0,,,,,,,,1553714960.248666,1553714962.231816,
118,12,Memory,2,,,,,,,sunafpfpiiujzoesnqg.jpg,,,,,0.003,3.0,,,,,,,1553714963.481872,1553714965.466044,
119,12,Memory,2,,,,,,,sunagtjwilqjvxohypn.jpg,,,,,1.72,4.0,,,,,,,1553714966.733212,1553714968.716287,
120,12,Memory,2,,,,,,,00745941205fa.jpg,,,,,1.404,2.0,,,,,,,1553714969.968088,1553714971.952221,
121,12,Memory,2,,,,,,,sunacsdhbbsybcyxnel.jpg,,,,,1.272,3.0,,,,,,,1553714973.218331,1553714975.203458,
122,12,Memory,2,,,,,,,00803941205fa.jpg,,,,,1.22,3.0,,,,,,,1553714976.453534,1553714978.435897,
123,12,Memory,2,,,,,,,00776941205fa.jpg,,,,,0.87,3.0,,,,,,,1553714979.687802,1553714981.671127,
124,12,Memory,2,,,,,,,00263940128fb.jpg,,,,,0.887,2.0,,,,,,,1553714982.939132,1553714984.922192,
125,12,Memory,2,,,,,,,00568940928fa.jpg,,,,,1.153,2.0,,,,,,,1553714986.190033,1553714988.173485,
126,12,Memory,2,,,,,,,sunasbbntuiheekqyaq.jpg,,,,,0.0,,,,,,,,1553714989.441278,1553714991.425301,
127,12,Memory,2,,,,,,,sunabasphceswhwwqvv.jpg,,,,,1.688,2.0,,,,,,,1553714992.692367,1553714994.67649,
128,12,Memory,2,,,,,,,sunaeuvjbmdpknaqqaj.jpg,,,,,1.07,3.0,,,,,,,1553714995.926042,1553714997.910088,
129,12,Memory,2,,,,,,,00112931230fa.jpg,,,,,1.137,3.0,,,,,,,1553714999.177765,1553715001.161246,
130,12,Memory,2,,,,,,,00772941201fa.jpg,,,,,1.103,2.0,,,,,,,1553715002.410983,1553715004.396234,
131,12,Memory,2,,,,,,,00749941201fa.jpg,,,,,0.986,2.0,,,,,,,1553715005.662988,1553715007.646276,
132,12,Memory,2,,,,,,,00630941031fa.jpg,,,,,1.138,3.0,,,,,,,1553715008.913287,1553715010.898304,
133,12,Memory,2,,,,,,,00778941205fa.jpg,,,,,1.436,2.0,,,,,,,1553715012.14854,1553715014.132781,
134,12,Memory,2,,,,,,,00960960627fa.jpg,,,,,0.0,,,,,,,,1553715015.399829,1553715017.382964,
135,12,Memory,2,,,,,,,sunaamdjwemxpmmtypi.jpg,,,,,1.204,4.0,,,,,,,1553715018.632954,1553715020.617866,
136,12,Memory,2,,,,,,,sunagvxkjokqimstxpe.jpg,,,,,1.32,3.0,,,,,,,1553715021.884982,1553715023.868113,
137,12,Memory,2,,,,,,,sunagcthdfirrcawoic.jpg,,,,,1.103,3.0,,,,,,,1553715025.119377,1553715027.102663,
138,12,Memory,2,,,,,,,00937960627fa.jpg,,,,,0.771,2.0,,,,,,,1553715028.369469,1553715030.354607,
139,12,Memory,2,,,,,,,sunaqsolmfydodnakub.jpg,,,,,0.92,2.0,,,,,,,1553715031.604753,1553715033.5879,
140,12,Memory,2,,,,,,,sunadbhmrgrrpyzglxs.jpg,,,,,0.953,2.0,,,,,,,1553715034.872598,1553715036.855917,
141,12,Memory,2,,,,,,,sunawksfbacycuhbrsc.jpg,,,,,1.088,2.0,,,,,,,1553715038.106017,1553715040.091102,
142,12,Memory,2,,,,,,,00944960627fa.jpg,,,,,1.62,3.0,,,,,,,1553715041.340322,1553715043.324427,
143,12,Memory,2,,,,,,,sunaeouogqolxvggaoq.jpg,,,,,1.637,2.0,,,,,,,1553715044.592301,1553715046.575407,
144,12,Memory,2,,,,,,,00985960627fa.jpg,,,,,0.669,2.0,,,,,,,1553715047.82644,1553715049.810528,
145,12,Memory,2,,,,,,,sunadakkdovnuzlycvp.jpg,,,,,1.753,2.0,,,,,,,1553715051.060636,1553715053.04393,
146,12,Memory,2,,,,,,,sunabjuovqvyfuzvqwt.jpg,,,,,1.486,2.0,,,,,,,1553715054.311908,1553715056.295801,
147,12,Memory,2,,,,,,,sunaakjaacuzulqckgl.jpg,,,,,1.287,1.0,,,,,,,1553715057.545191,1553715059.529947,
148,12,Memory,2,,,,,,,sunbgklxeqjhdbyfhhy.jpg,,,,,0.0,,,,,,,,1553715060.781004,1553715062.764215,
149,12,Memory,2,,,,,,,00211940128fa.jpg,,,,,1.654,3.0,,,,,,,1553715064.014527,1553715065.999345,
