,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
200,13,Presentation,4,00909960530_sunaobtizabegtwfwul.jpg,00761960627fa_sunafgdqbclkwfocdhg.jpg,00909960530.jpg,sunaobtizabegtwfwul.jpg,00761960627fa.jpg,sunafgdqbclkwfocdhg.jpg,,,<,Place,0.6531040668487549,,,,1.0,,,1,,1553878431.279968,1553878434.248765,o
201,13,Presentation,4,00694941121fa_sunadrmfzmstgdjdcod.jpg,00111931230fb_sunaakgekhjklxmvulj.jpg,00694941121fa.jpg,sunadrmfzmstgdjdcod.jpg,00111931230fb.jpg,sunaakgekhjklxmvulj.jpg,,,<,Face,0.6864259243011475,,,,1.0,,,1,,1553878438.645073,1553878441.566065,x
202,13,Presentation,4,00086931230fa_sunaafynehyrzpsoaml.jpg,00061931230fb_sunaaekxzjzrfgtkwjf.jpg,00086931230fa.jpg,sunaafynehyrzpsoaml.jpg,00061931230fb.jpg,sunaaekxzjzrfgtkwjf.jpg,,,<,Place,1.005676031112671,,,,1.0,,,1,,1553878445.964624,1553878448.885875,x
203,13,Presentation,4,00097931230fa_sunaajayojuslbbnneg.jpg,00884960530fa_sunakodkcslgqhqlgwl.jpg,00097931230fa.jpg,sunaajayojuslbbnneg.jpg,00884960530fa.jpg,sunakodkcslgqhqlgwl.jpg,,,>,Place,0.6702208518981934,,,,1.0,,,3,,1553878453.616574,1553878456.539277,o
204,13,Presentation,4,00270940422fb_sunabllobxadqcyttej.jpg,00529940519fa_sunacbeefkxpymwevpk.jpg,00270940422fb.jpg,sunabllobxadqcyttej.jpg,00529940519fa.jpg,sunacbeefkxpymwevpk.jpg,,,<,Face,0.5836718082427979,,,,0.0,,,3,,1553878460.93492,1553878463.853253,o
205,13,Presentation,4,00811960530fa_sunahedfrhtcwpneund.jpg,00060931230fa_sunaaehaikpckyjsety.jpg,00811960530fa.jpg,sunahedfrhtcwpneund.jpg,00060931230fa.jpg,sunaaehaikpckyjsety.jpg,,,<,Face,0.6936109066009521,,,,1.0,,,3,,1553878468.159564,1553878471.077993,o
206,13,Presentation,4,00720960620fa_sunaecpkgfewqqreqwe.jpg,00968960627fa_sunbagfpovqwbuexqdn.jpg,00720960620fa.jpg,sunaecpkgfewqqreqwe.jpg,00968960627fa.jpg,sunbagfpovqwbuexqdn.jpg,,,>,Place,0.36480093002319336,,,,1.0,,,1,,1553878475.489993,1553878478.410067,x
207,13,Presentation,4,00723941201fa_sunaedtgwjvvziytspa.jpg,00819940307fa_sunahqldjibofgsfdgb.jpg,00723941201fa.jpg,sunaedtgwjvvziytspa.jpg,00819940307fa.jpg,sunahqldjibofgsfdgb.jpg,,,>,Face,0.713184118270874,,,,1.0,,,3,,1553878482.49329,1553878485.417468,o
208,13,Presentation,4,00481940519fa_sunabxsuqbleluwczoy.jpg,00093931230fa_sunaahwnmtqsrhocysw.jpg,00481940519fa.jpg,sunabxsuqbleluwczoy.jpg,00093931230fa.jpg,sunaahwnmtqsrhocysw.jpg,,,>,Place,0.5153119564056396,,,,1.0,,,3,,1553878489.849376,1553878492.769629,x
209,13,Presentation,4,00794960620fa_sunagtqhhwxjeuxdebe.jpg,00859940307fa_sunaiycurtqsfkvcaso.jpg,00794960620fa.jpg,sunagtqhhwxjeuxdebe.jpg,00859940307fa.jpg,sunaiycurtqsfkvcaso.jpg,,,>,Face,1.0430121421813965,,,,1.0,,,1,,1553878496.996807,1553878499.914982,x
