,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
250,14,Presentation,5,00809960620fa_sunahbvlpavurqoxdeq.jpg,00670941121fa_sunadochqcucscehsgk.jpg,00809960620fa.jpg,sunahbvlpavurqoxdeq.jpg,00670941121fa.jpg,sunadochqcucscehsgk.jpg,,,<,Face,0.5710217952728271,,,,1.0,,,1,,1553884738.707662,1553884741.743938,x
251,14,Presentation,5,00864940307fa_sunajawzbrlrwafowen.jpg,00839940307fa_sunaipyohrqlwngaqif.jpg,00864940307fa.jpg,sunajawzbrlrwafowen.jpg,00839940307fa.jpg,sunaipyohrqlwngaqif.jpg,,,>,Place,0.7355501651763916,,,,1.0,,,3,,1553884746.131663,1553884749.111811,o
252,14,Presentation,5,00529940519fa_sunacbeefkxpymwevpk.jpg,00296940422fa_sunabrwnslxalcohfre.jpg,00529940519fa.jpg,sunacbeefkxpymwevpk.jpg,00296940422fa.jpg,sunabrwnslxalcohfre.jpg,,,>,Face,0.707927942276001,,,,1.0,,,1,,1553884753.650602,1553884756.632074,x
253,14,Presentation,5,00978960627fa_sunbddbivbptlrlauhy.jpg,00681941121fa_sunadqmjrhfjyuzyvdd.jpg,00978960627fa.jpg,sunbddbivbptlrlauhy.jpg,00681941121fa.jpg,sunadqmjrhfjyuzyvdd.jpg,,,<,Place,0.553041934967041,,,,1.0,,,1,,1553884761.116111,1553884764.099996,x
254,14,Presentation,5,00884960530fa_sunakodkcslgqhqlgwl.jpg,00794960620fa_sunagtqhhwxjeuxdebe.jpg,00884960530fa.jpg,sunakodkcslgqhqlgwl.jpg,00794960620fa.jpg,sunagtqhhwxjeuxdebe.jpg,,,<,Face,0.6687779426574707,,,,1.0,,,1,,1553884768.455357,1553884771.437293,x
255,14,Presentation,5,00796941205fa_sunaguchqqnrtodtezq.jpg,00797960620fa_sunagufzbeteqdjxais.jpg,00796941205fa.jpg,sunaguchqqnrtodtezq.jpg,00797960620fa.jpg,sunagufzbeteqdjxais.jpg,,,>,Face,0.5876650810241699,,,,1.0,,,3,,1553884775.887545,1553884778.870833,x
256,14,Presentation,5,00214940128fa_sunabbafjowbzcvbucc.jpg,00482940519fa_sunabyfxcxhdebvdyfd.jpg,00214940128fa.jpg,sunabbafjowbzcvbucc.jpg,00482940519fa.jpg,sunabyfxcxhdebvdyfd.jpg,,,<,Face,0.6053259372711182,,,,1.0,,,1,,1553884783.259807,1553884786.240107,x
257,14,Presentation,5,00294940422fb_sunabrlndkruqokhury.jpg,00996960627fa_sunbpvgllfdejxcpjqp.jpg,00294940422fb.jpg,sunabrlndkruqokhury.jpg,00996960627fa.jpg,sunbpvgllfdejxcpjqp.jpg,,,>,Place,0.7480950355529785,,,,0.0,,,3,,1553884790.675331,1553884793.666375,o
258,14,Presentation,5,00939960627fa_sunarceibpcyacbmfga.jpg,00745941205fa_sunaeouogqolxvggaoq.jpg,00939960627fa.jpg,sunarceibpcyacbmfga.jpg,00745941205fa.jpg,sunaeouogqolxvggaoq.jpg,,,<,Place,0.7135570049285889,,,,1.0,,,3,,1553884798.231834,1553884801.216603,o
259,14,Presentation,5,00851940307fa_sunaivflshbyfrfzhqb.jpg,00834940307fa_sunaibnpvhkdpdnzcnz.jpg,00851940307fa.jpg,sunaivflshbyfrfzhqb.jpg,00834940307fa.jpg,sunaibnpvhkdpdnzcnz.jpg,,,>,Place,0.7517750263214111,,,,1.0,,,3,,1553884805.763802,1553884808.748393,o
