Button,Time
"[['1', 349.49948811531067]]",1554128237.91556
"[['2', 488.6270248889923]]",1554128377.043032
"[['2', 569.0529379844666]]",1554128457.46893
"[['3', 189.50360107421875]]",1554128780.307501
"[['4', 206.0520839691162]]",1554128796.867671
"[['1', 182.17344284057617]]",1554129140.025172
"[['2', 95.24700284004211]]",1554129378.802268
"[['1', 164.20371389389038]]",1554129447.758995
"[['4', 192.15193104743958], ['4', 192.94217610359192]]",1554129835.318235
"[['1', 88.20240092277527]]",1554130370.748706
"[['2', 93.29607510566711]]",1554130688.884092
"[['1', 96.76004791259766]]",1554130692.348027
"[['5', 200.87813997268677]]",1554130797.286743
