,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
250,20,Presentation,5,00839940307fa_sunaipyohrqlwngaqif.jpg,00971960627fa_sunbbegcweqnetpdlrh.jpg,00839940307fa.jpg,sunaipyohrqlwngaqif.jpg,00971960627fa.jpg,sunbbegcweqnetpdlrh.jpg,,,>,Place,0.6201400756835938,,,,1.0,,,1,,1554835567.220432,1554835570.256385,x
251,20,Presentation,5,00868960307fa_sunajjxttslobudoqbv.jpg,00108960530fa_sunaajtnvzzpsjdzres.jpg,00868960307fa.jpg,sunajjxttslobudoqbv.jpg,00108960530fa.jpg,sunaajtnvzzpsjdzres.jpg,,,<,Place,0.7856578826904297,,,,1.0,,,3,,1554835574.789293,1554835577.792772,o
252,20,Presentation,5,00598940928fa_sunacxeheuiigkcgquf.jpg,00885960530fa_sunakwlvxjpddialozd.jpg,00598940928fa.jpg,sunacxeheuiigkcgquf.jpg,00885960530fa.jpg,sunakwlvxjpddialozd.jpg,,,<,Face,0.5687971115112305,,,,1.0,,,3,,1554835582.608813,1554835585.594138,o
253,20,Presentation,5,00766960620fa_sunafijbgncijwykrnl.jpg,00305940422fa_sunabtrnbvpppgczjim.jpg,00766960620fa.jpg,sunafijbgncijwykrnl.jpg,00305940422fa.jpg,sunabtrnbvpppgczjim.jpg,,,<,Face,0.8263130187988281,,,,0.0,,,1,,1554835589.977073,1554835592.962456,x
254,20,Presentation,5,00065931230fb_sunaaemixhfquhnxxlm.jpg,00938960627fa_sunaqyylsngywqzwfmx.jpg,00065931230fb.jpg,sunaaemixhfquhnxxlm.jpg,00938960627fa.jpg,sunaqyylsngywqzwfmx.jpg,,,>,Face,0.8440470695495605,,,,1.0,,,1,,1554835597.597486,1554835600.582092,x
255,20,Presentation,5,00854940307fa_sunaiwduelojtwaqeyh.jpg,00799941205fa_sunagutjvdvnhxejerz.jpg,00854940307fa.jpg,sunaiwduelojtwaqeyh.jpg,00799941205fa.jpg,sunagutjvdvnhxejerz.jpg,,,<,Face,0.7205169200897217,,,,1.0,,,3,,1554835605.387665,1554835608.367361,o
256,20,Presentation,5,00931960627fa_sunaptrqvaooxfvktvw.jpg,00926960627Fa_sunapqwoeotxshkukbh.jpg,00931960627fa.jpg,sunaptrqvaooxfvktvw.jpg,00926960627Fa.jpg,sunapqwoeotxshkukbh.jpg,,,>,Place,0.7741057872772217,,,,1.0,,,1,,1554835612.889995,1554835615.870192,x
257,20,Presentation,5,00482940519fa_sunabyfxcxhdebvdyfd.jpg,00939960627fa_sunarceibpcyacbmfga.jpg,00482940519fa.jpg,sunabyfxcxhdebvdyfd.jpg,00939960627fa.jpg,sunarceibpcyacbmfga.jpg,,,<,Place,0.4851710796356201,,,,1.0,,,3,,1554835620.459339,1554835623.444762,o
258,20,Presentation,5,00787960620fa_sunagoufulkpsxrmklt.jpg,00933960627fa_sunapwjkcxdaeqehfql.jpg,00787960620fa.jpg,sunagoufulkpsxrmklt.jpg,00933960627fa.jpg,sunapwjkcxdaeqehfql.jpg,,,>,Place,0.9100339412689209,,,,1.0,,,3,,1554835627.727421,1554835630.707956,o
259,20,Presentation,5,00950960627fa_sunasrjlmglmjzbmqxb.jpg,00963960627fa_sunayaepykrqvenaqqy.jpg,00950960627fa.jpg,sunasrjlmglmjzbmqxb.jpg,00963960627fa.jpg,sunayaepykrqvenaqqy.jpg,,,>,Face,0.8203520774841309,,,,1.0,,,3,,1554835635.51084,1554835638.493837,o
