,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
300,7,Presentation,6,00065931230fb_sunaaemixhfquhnxxlm.jpg,00999960627fa_sunbvbrvgbpanfrawft.jpg,00065931230fb.jpg,sunaaemixhfquhnxxlm.jpg,00999960627fa.jpg,sunbvbrvgbpanfrawft.jpg,,,<,Place,1.449202060699463,,,,1.0,,,1,,1551372821.721815,1551372824.759922,x
301,7,Presentation,6,00779941205fa_sunagdzlvkqtpnfxfcg.jpg,00993960627fa_sunbprywzqxjcezkbch.jpg,00779941205fa.jpg,sunagdzlvkqtpnfxfcg.jpg,00993960627fa.jpg,sunbprywzqxjcezkbch.jpg,,,<,Face,0.8567800521850586,,,,1.0,,,1,,1551372829.990892,1551372832.98014,x
302,7,Presentation,6,00096931230fa_sunaaiqiqcggrskoqgy.jpg,00540940519fa_sunacdnquypmsshhsbk.jpg,00096931230fa.jpg,sunaaiqiqcggrskoqgy.jpg,00540940519fa.jpg,sunacdnquypmsshhsbk.jpg,,,>,Place,0.8744020462036133,,,,1.0,,,3,,1551372837.622213,1551372840.607738,o
303,7,Presentation,6,00071941031fa_sunaaexqbtdswxrqjvz.jpg,00952960627fa_sunathzzbcwjykldrem.jpg,00071941031fa.jpg,sunaaexqbtdswxrqjvz.jpg,00952960627fa.jpg,sunathzzbcwjykldrem.jpg,,,<,Place,0.9414889812469482,,,,1.0,,,3,,1551372845.275244,1551372848.258852,o
304,7,Presentation,6,00771941205fa_sunafowswglhxcsufpo.jpg,00239940128fa_sunabctlikybqabezjv.jpg,00771941205fa.jpg,sunafowswglhxcsufpo.jpg,00239940128fa.jpg,sunabctlikybqabezjv.jpg,,,<,Face,0.8527939319610596,,,,1.0,,,3,,1551372852.99434,1551372855.987922,o
305,7,Presentation,6,00989960627fa_sunbondbduabvijnmch.jpg,00140931230fb_sunaapllqyqlykszopd.jpg,00989960627fa.jpg,sunbondbduabvijnmch.jpg,00140931230fb.jpg,sunaapllqyqlykszopd.jpg,,,>,Face,0.882127046585083,,,,1.0,,,3,,1551372860.613506,1551372863.606709,o
306,7,Presentation,6,00662941121fa_sunadkazmlajmohnwfl.jpg,00869940307fa_sunajoveqhiprwqgoco.jpg,00662941121fa.jpg,sunadkazmlajmohnwfl.jpg,00869940307fa.jpg,sunajoveqhiprwqgoco.jpg,,,>,Place,1.2556509971618652,,,,1.0,,,1,,1551372868.265394,1551372871.251135,x
307,7,Presentation,6,00481940519fa_sunabxsuqbleluwczoy.jpg,00977960627fa_sunbbxkanhzjgbwyxqs.jpg,00481940519fa.jpg,sunabxsuqbleluwczoy.jpg,00977960627fa.jpg,sunbbxkanhzjgbwyxqs.jpg,,,<,Face,0.9884889125823975,,,,1.0,,,1,,1551372876.285143,1551372879.285455,x
308,7,Presentation,6,00895960530fa_sunamczizlzavhzhpay.jpg,00768941205fa_sunafkmnlytenlsywia.jpg,00895960530fa.jpg,sunamczizlzavhzhpay.jpg,00768941205fa.jpg,sunafkmnlytenlsywia.jpg,,,>,Face,0.9852910041809082,,,,1.0,,,3,,1551372885.572302,1551372888.649005,o
309,7,Presentation,6,00636941031fa_sunaddtdkycxbqlpfqa.jpg,00479940519fa_sunabxsbfwjccqxxzxq.jpg,00636941031fa.jpg,sunaddtdkycxbqlpfqa.jpg,00479940519fa.jpg,sunabxsbfwjccqxxzxq.jpg,,,>,Place,0.767542839050293,,,,1.0,,,1,,1551372894.891158,1551372897.97857,x
