,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
360,8,Memory,7,,,,,,,00294940422fb.jpg,,,,,1.774,2.0,,,,,,,1551382636.519648,1551382638.51709,
361,8,Memory,7,,,,,,,00265940128fb.jpg,,,,,0.074,3.0,,,,,,,1551382639.733084,1551382641.635916,
362,8,Memory,7,,,,,,,sunaaekxzjzrfgtkwjf.jpg,,,,,1.086,4.0,,,,,,,1551382642.871969,1551382644.772336,
363,8,Memory,7,,,,,,,00316940422fa.jpg,,,,,1.567,2.0,,,,,,,1551382645.989335,1551382647.885058,
364,8,Memory,7,,,,,,,sunaajpqmulidejvjsr.jpg,,,,,1.034,4.0,,,,,,,1551382649.107237,1551382651.002838,
365,8,Memory,7,,,,,,,00947960627fa.jpg,,,,,1.5,1.0,,,,,,,1551382652.24117,1551382654.140281,
366,8,Memory,7,,,,,,,sunadsgmtznewzyasnk.jpg,,,,,1.423,2.0,,,,,,,1551382655.359494,1551382657.271755,
367,8,Memory,7,,,,,,,00876960620fa.jpg,,,,,1.372,3.0,,,,,,,1551382658.505846,1551382660.406476,
368,8,Memory,7,,,,,,,sunasmmcxdddtmtazwx.jpg,,,,,1.217,1.0,,,,,,,1551382661.6272,1551382663.541494,
369,8,Memory,7,,,,,,,sunabkmdplkdbvxriff.jpg,,,,,1.531,2.0,,,,,,,1551382664.763124,1551382666.690982,
370,8,Memory,7,,,,,,,sunbxzweleltykebgan.jpg,,,,,1.158,2.0,,,,,,,1551382667.89615,1551382669.79964,
371,8,Memory,7,,,,,,,00812941205fa.jpg,,,,,1.231,2.0,,,,,,,1551382671.014308,1551382672.916308,
372,8,Memory,7,,,,,,,00700941121fa.jpg,,,,,1.205,3.0,,,,,,,1551382674.149667,1551382676.044358,
373,8,Memory,7,,,,,,,00543940519fa.jpg,,,,,0.874,1.0,,,,,,,1551382677.266016,1551382679.184273,
374,8,Memory,7,,,,,,,sunagmwxxwymwojbvgi.jpg,,,,,1.499,3.0,,,,,,,1551382680.401073,1551382682.296993,
375,8,Memory,7,,,,,,,00198940128fb.jpg,,,,,1.207,3.0,,,,,,,1551382683.513883,1551382685.431726,
376,8,Memory,7,,,,,,,sunabrlndkruqokhury.jpg,,,,,1.123,2.0,,,,,,,1551382686.635938,1551382688.533319,
377,8,Memory,7,,,,,,,00098931230fa.jpg,,,,,1.239,3.0,,,,,,,1551382689.770545,1551382691.733514,
378,8,Memory,7,,,,,,,sunaapfaivxqoynnwwp.jpg,,,,,1.821,2.0,,,,,,,1551382692.937687,1551382694.84172,
379,8,Memory,7,,,,,,,sunacepzfrmtkiqonpy.jpg,,,,,1.135,1.0,,,,,,,1551382696.056705,1551382697.968339,
380,8,Memory,7,,,,,,,sunabxmguapjekttvwm.jpg,,,,,0.917,2.0,,,,,,,1551382699.19119,1551382701.090044,
381,8,Memory,7,,,,,,,01009960627fa.jpg,,,,,0.865,2.0,,,,,,,1551382702.324968,1551382704.254711,
382,8,Memory,7,,,,,,,00132931230fb.jpg,,,,,0.781,1.0,,,,,,,1551382705.475526,1551382707.378457,
383,8,Memory,7,,,,,,,sunaazezcsunmhttzxz.jpg,,,,,1.416,2.0,,,,,,,1551382708.610608,1551382710.50786,
384,8,Memory,7,,,,,,,00976960627fa.jpg,,,,,1.201,2.0,,,,,,,1551382711.72785,1551382713.657837,
385,8,Memory,7,,,,,,,00792941205fa.jpg,,,,,0.749,1.0,,,,,,,1551382714.879191,1551382716.781291,
386,8,Memory,7,,,,,,,00245940128fa.jpg,,,,,1.09,1.0,,,,,,,1551382718.012797,1551382719.909712,
387,8,Memory,7,,,,,,,sunaanjcbzdvtvblsdy.jpg,,,,,1.133,2.0,,,,,,,1551382721.131064,1551382723.059269,
388,8,Memory,7,,,,,,,sunaaeplwsfslcbtojr.jpg,,,,,1.086,4.0,,,,,,,1551382724.283089,1551382726.244639,
389,8,Memory,7,,,,,,,00787941205fa.jpg,,,,,0.624,2.0,,,,,,,1551382727.448154,1551382729.379153,
390,8,Memory,7,,,,,,,sunagsiwrmuixqgdimb.jpg,,,,,0.819,1.0,,,,,,,1551382730.600543,1551382732.495588,
391,8,Memory,7,,,,,,,sunajrujcsdxmfbssmc.jpg,,,,,0.673,3.0,,,,,,,1551382733.719074,1551382735.649194,
392,8,Memory,7,,,,,,,00138931230fa.jpg,,,,,0.622,2.0,,,,,,,1551382736.869137,1551382738.769771,
393,8,Memory,7,,,,,,,sunabeyhmxodahoieyk.jpg,,,,,0.74,3.0,,,,,,,1551382739.988115,1551382741.916599,
394,8,Memory,7,,,,,,,00070940307fa.jpg,,,,,0.819,1.0,,,,,,,1551382743.154353,1551382745.051068,
