,Unnamed: 0,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe,Trial
124,64,1.0,Memory,1.0,,,,,,,sunabxmguapjekttvwm.jpg,Place,,Place,,0.9390000000000001,4.0,Full,,,,,,1550775197.301143,1550775199.2843812,,
131,71,1.0,Memory,1.0,,,,,,,00719941201fa.jpg,Face,,Place,,0.6709999999999999,1.0,None,,,,,,1550775220.4630132,1550775222.443375,,
137,77,1.0,Memory,1.0,,,,,,,sunadvithllcgmfxsrn.jpg,Place,,Place,,0.85,1.0,Category,,,,,,1550775240.164425,1550775242.150041,,
156,96,1.0,Memory,1.0,,,,,,,00316940422fa.jpg,Face,,Place,,0.915,2.0,Side,,,,,,1550775303.307688,1550775305.336488,,
124,64,1.0,Memory,1.0,,,,,,,sunabxmguapjekttvwm.jpg,Place,,Place,,0.9390000000000001,4.0,Full,,,,,,1550775197.301143,1550775199.2843812,,
131,71,1.0,Memory,1.0,,,,,,,00719941201fa.jpg,Face,,Place,,0.6709999999999999,1.0,None,,,,,,1550775220.4630132,1550775222.443375,,
137,77,1.0,Memory,1.0,,,,,,,sunadvithllcgmfxsrn.jpg,Place,,Place,,0.85,1.0,Category,,,,,,1550775240.164425,1550775242.150041,,
156,96,1.0,Memory,1.0,,,,,,,00316940422fa.jpg,Face,,Place,,0.915,2.0,Side,,,,,,1550775303.307688,1550775305.336488,,
210,120,1.0,Memory,2.0,,,,,,,00804960530fa.jpg,Face,,Place,,1.198,4.0,None,,,,,,1550775560.636878,1550775562.67068,,
217,127,1.0,Memory,2.0,,,,,,,sunaguchqqnrtodtezq.jpg,Place,,Place,,1.442,3.0,Full,,,,,,1550775584.6991231,1550775586.7470212,,
219,129,1.0,Memory,2.0,,,,,,,00796941205fa.jpg,Face,,Place,,0.972,2.0,Side,,,,,,1550775591.347076,1550775593.389192,,
235,145,1.0,Memory,2.0,,,,,,,sunagwswhkvnsmuszlz.jpg,Place,,Place,,0.935,2.0,Category,,,,,,1550775645.218426,1550775647.237158,,
160,160,1.0,Memory,3.0,,,,,,,sunadakkdovnuzlycvp.jpg,Place,,Face,,1.232,4.0,Side,,,,,,1550775892.916895,1550775895.045549,,
180,180,1.0,Memory,3.0,,,,,,,00630941031fa.jpg,Face,,Face,,1.1159999999999999,2.0,Full,,,,,,1550775960.021743,1550775962.102551,,
190,190,1.0,Memory,3.0,,,,,,,00294940422fb.jpg,Face,,Face,,1.055,1.0,Category,,,,,,1550775993.216461,1550775995.232934,,
192,192,1.0,Memory,3.0,,,,,,,sunabrlndkruqokhury.jpg,Place,,Face,,1.921,1.0,None,,,,,,1550775999.868944,1550776001.915129,,
325,265,1.0,Memory,5.0,,,,,,,00081941031fa.jpg,Face,,Place,,1.124,1.0,None,,,,,,1550776642.895556,1550776644.874611,,
335,275,1.0,Memory,5.0,,,,,,,00564941031fa.jpg,Face,,Place,,1.249,2.0,Side,,,,,,1550776675.939918,1550776678.0863929,,
337,277,1.0,Memory,5.0,,,,,,,sunacsaovnjezqwbykf.jpg,Place,,Place,,1.003,2.0,Full,,,,,,1550776682.642525,1550776684.676128,,
351,291,1.0,Memory,5.0,,,,,,,sunaaftlyfudyzuhqzf.jpg,Place,,Place,,1.058,2.0,Category,,,,,,1550776729.024016,1550776731.103717,,
325,265,1.0,Memory,5.0,,,,,,,00081941031fa.jpg,Face,,Place,,1.124,1.0,None,,,,,,1550776642.895556,1550776644.874611,,
335,275,1.0,Memory,5.0,,,,,,,00564941031fa.jpg,Face,,Place,,1.249,2.0,Side,,,,,,1550776675.939918,1550776678.0863929,,
337,277,1.0,Memory,5.0,,,,,,,sunacsaovnjezqwbykf.jpg,Place,,Place,,1.003,2.0,Full,,,,,,1550776682.642525,1550776684.676128,,
351,291,1.0,Memory,5.0,,,,,,,sunaaftlyfudyzuhqzf.jpg,Place,,Place,,1.058,2.0,Category,,,,,,1550776729.024016,1550776731.103717,,
123,63,1.0,Memory,1.0,,,,,,,sunakgbnzxmfohgehnu.jpg,,,,,0.981,1.0,Novel,,,,,,1550775193.975397,1550775196.0533,,
126,66,1.0,Memory,1.0,,,,,,,00115931230fa.jpg,,,,,0.792,1.0,Novel,,,,,,1550775203.841079,1550775205.8937972,,
128,68,1.0,Memory,1.0,,,,,,,00743941201fa.jpg,,,,,0.6920000000000001,2.0,Novel,,,,,,1550775210.459401,1550775212.556615,,
133,73,1.0,Memory,1.0,,,,,,,00760960620fa.jpg,,,,,0.9670000000000001,1.0,Novel,,,,,,1550775227.033142,1550775229.014237,,
135,75,1.0,Memory,1.0,,,,,,,sunaeoghzrjarigmwua.jpg,,,,,0.9179999999999999,2.0,Novel,,,,,,1550775233.584407,1550775235.662983,,
138,78,1.0,Memory,1.0,,,,,,,sunadkazmlajmohnwfl.jpg,,,,,0.92,1.0,Novel,,,,,,1550775243.404079,1550775245.432976,,
139,79,1.0,Memory,1.0,,,,,,,00239940128fa.jpg,,,,,1.368,2.0,Novel,,,,,,1550775246.6893759,1550775248.751315,,
