,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
0,2,Presentation,0,00589940928fa_sunacwggadqsfpovdjv.jpg,00949960627fb_sunasnqkkyhilqkxiqm.jpg,00589940928fa.jpg,sunacwggadqsfpovdjv.jpg,00949960627fb.jpg,sunasnqkkyhilqkxiqm.jpg,,,>,Face,0.7673301696777344,,,,0,,,1,,1537986035.909416,1537986039.044726,x
1,2,Presentation,0,00154931230fa_sunaauueuhhvklldjik.jpg,00936960627fa_sunaqgjuuwvdcyiccjt.jpg,00154931230fa.jpg,sunaauueuhhvklldjik.jpg,00936960627fa.jpg,sunaqgjuuwvdcyiccjt.jpg,,,>,Face,0.6851651668548584,,,,1,,,3,,1537986041.077902,1537986044.045825,o
2,2,Presentation,0,00898960530fa_sunamkmeblgteyggink.jpg,00970960627fa_sunbasypfgzjtomktmu.jpg,00898960530fa.jpg,sunamkmeblgteyggink.jpg,00970960627fa.jpg,sunbasypfgzjtomktmu.jpg,,,>,Face,0.602553129196167,,,,1,,,1,,1537986045.979426,1537986048.96317,x
3,2,Presentation,0,00071940128fa_sunaaexpnawiehinlpy.jpg,00069931230fb_sunaaeowapdkwzqpgqr.jpg,00071940128fa.jpg,sunaaexpnawiehinlpy.jpg,00069931230fb.jpg,sunaaeowapdkwzqpgqr.jpg,,,>,Face,0.6031129360198975,,,,1,,,3,,1537986050.779779,1537986053.748385,o
4,2,Presentation,0,00895960530fa_sunamczizlzavhzhpay.jpg,00125931230fa_sunaalltyvjhbzhkmvg.jpg,00895960530fa.jpg,sunamczizlzavhzhpay.jpg,00125931230fa.jpg,sunaalltyvjhbzhkmvg.jpg,,,>,Face,0.367901086807251,,,,1,,,3,,1537986055.597821,1537986058.566797,o
5,2,Presentation,0,00799941205fa_sunagutjvdvnhxejerz.jpg,00800941205fb_sunagvjurcwdbixvnyi.jpg,00799941205fa.jpg,sunagutjvdvnhxejerz.jpg,00800941205fb.jpg,sunagvjurcwdbixvnyi.jpg,,,>,Face,0.515949010848999,,,,1,,,3,,1537986060.166893,1537986063.138945,o
6,2,Presentation,0,00146960620fb_sunaatpeezlljqaxlhj.jpg,00892960530fa_sunalntxqqadigcletd.jpg,00146960620fb.jpg,sunaatpeezlljqaxlhj.jpg,00892960530fa.jpg,sunalntxqqadigcletd.jpg,,,>,Face,0.5879929065704346,,,,1,,,3,,1537986064.901265,1537986067.871855,o
7,2,Presentation,0,00209940128fb_sunabaergayifsgacxt.jpg,00131931230fb_sunaangbuylfvckqqoo.jpg,00209940128fb.jpg,sunabaergayifsgacxt.jpg,00131931230fb.jpg,sunaangbuylfvckqqoo.jpg,,,>,Face,0.4520092010498047,,,,1,,,3,,1537986069.703401,1537986072.670493,o
8,2,Presentation,0,00871940307_sunajrujcsdxmfbssmc.jpg,00242940128fa_sunabcuurugvxwparpk.jpg,00871940307.jpg,sunajrujcsdxmfbssmc.jpg,00242940128fa.jpg,sunabcuurugvxwparpk.jpg,,,>,Face,0.5030460357666016,,,,1,,,3,,1537986074.358728,1537986077.321158,o
9,2,Presentation,0,00785941205fa_sunaglqunwuycxydmyu.jpg,00149931230fa_sunaauglwmctnkxyird.jpg,00785941205fa.jpg,sunaglqunwuycxydmyu.jpg,00149931230fa.jpg,sunaauglwmctnkxyird.jpg,,,>,Face,0.593055009841919,,,,1,,,1,,1537986079.06043,1537986082.028104,x
