,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
360,6,Memory,7,,,,,,,00864940307fa.jpg,,,,,0.62,1.0,,,,,,,1538150553.072692,1538150555.124062,
361,6,Memory,7,,,,,,,sunacycdoztxoluxjyk.jpg,,,,,0.836,2.0,,,,,,,1538150556.391044,1538150558.375056,
362,6,Memory,7,,,,,,,00749941201fa.jpg,,,,,0.436,1.0,,,,,,,1538150559.642185,1538150561.626189,
363,6,Memory,7,,,,,,,00797960620fa.jpg,,,,,0.503,1.0,,,,,,,1538150562.875516,1538150564.860521,
364,6,Memory,7,,,,,,,00294940422fb.jpg,,,,,0.402,1.0,,,,,,,1538150566.127645,1538150568.111404,
365,6,Memory,7,,,,,,,00095931230fa.jpg,,,,,0.353,1.0,,,,,,,1538150569.379453,1538150571.362749,
366,6,Memory,7,,,,,,,00944960627fa.jpg,,,,,0.636,1.0,,,,,,,1538150572.61259,1538150574.597848,
367,6,Memory,7,,,,,,,00725941201fa.jpg,,,,,0.603,1.0,,,,,,,1538150575.847927,1538150577.830903,
368,6,Memory,7,,,,,,,00913960530fa.jpg,,,,,0.569,1.0,,,,,,,1538150579.082249,1538150581.066069,
369,6,Memory,7,,,,,,,00996960627fa.jpg,,,,,0.653,1.0,,,,,,,1538150582.316322,1538150584.300333,
370,6,Memory,7,,,,,,,sunbpflsdaxnddnwcqi.jpg,,,,,1.469,2.0,,,,,,,1538150585.567632,1538150587.550523,
371,6,Memory,7,,,,,,,sunabcuurugvxwparpk.jpg,,,,,1.636,2.0,,,,,,,1538150588.801743,1538150590.785892,
372,6,Memory,7,,,,,,,sunaefgzwiramypjvtd.jpg,,,,,1.269,1.0,,,,,,,1538150592.035804,1538150594.020717,
373,6,Memory,7,,,,,,,sunaatjesvdupctftmn.jpg,,,,,0.92,3.0,,,,,,,1538150595.286877,1538150597.270958,
374,6,Memory,7,,,,,,,sunabrlndkruqokhury.jpg,,,,,0.803,4.0,,,,,,,1538150598.52136,1538150600.506222,
375,6,Memory,7,,,,,,,sunajawzbrlrwafowen.jpg,,,,,0.919,2.0,,,,,,,1538150601.772579,1538150603.757216,
376,6,Memory,7,,,,,,,00777941205fa.jpg,,,,,0.537,1.0,,,,,,,1538150605.007506,1538150606.990693,
377,6,Memory,7,,,,,,,sunagcinxkccdtrjmlv.jpg,,,,,1.22,2.0,,,,,,,1538150608.241486,1538150610.225682,
378,6,Memory,7,,,,,,,sunasbbntuiheekqyaq.jpg,,,,,1.053,2.0,,,,,,,1538150611.475907,1538150613.459936,
379,6,Memory,7,,,,,,,sunaawqdbpihmlbwyyn.jpg,,,,,0.734,2.0,,,,,,,1538150614.710254,1538150616.694037,
380,6,Memory,7,,,,,,,00609940928fa.jpg,,,,,0.837,1.0,,,,,,,1538150617.944165,1538150619.929336,
381,6,Memory,7,,,,,,,sunaeuvjbmdpknaqqaj.jpg,,,,,0.887,4.0,,,,,,,1538150621.179311,1538150623.162491,
382,6,Memory,7,,,,,,,00184940128fa.jpg,,,,,0.602,1.0,,,,,,,1538150624.413523,1538150626.397481,
383,6,Memory,7,,,,,,,sunbpvgllfdejxcpjqp.jpg,,,,,1.037,3.0,,,,,,,1538150627.647533,1538150629.631857,
384,6,Memory,7,,,,,,,00185940422fb.jpg,,,,,0.453,1.0,,,,,,,1538150630.881976,1538150632.86587,
385,6,Memory,7,,,,,,,00145931230fb.jpg,,,,,0.453,1.0,,,,,,,1538150634.117029,1538150636.100263,
386,6,Memory,7,,,,,,,00900960530fa.jpg,,,,,0.387,1.0,,,,,,,1538150637.350296,1538150639.334451,
387,6,Memory,7,,,,,,,00242940128fa.jpg,,,,,0.404,1.0,,,,,,,1538150640.585503,1538150642.568651,
388,6,Memory,7,,,,,,,sunagufzbeteqdjxais.jpg,,,,,1.137,2.0,,,,,,,1538150643.820398,1538150645.803667,
389,6,Memory,7,,,,,,,00909960530.jpg,,,,,0.403,1.0,,,,,,,1538150647.052898,1538150649.038728,
390,6,Memory,7,,,,,,,sunaobtizabegtwfwul.jpg,,,,,0.853,3.0,,,,,,,1538150650.287976,1538150652.272018,
391,6,Memory,7,,,,,,,sunaedtgwjvvziytspa.jpg,,,,,0.769,2.0,,,,,,,1538150653.523294,1538150655.506177,
392,6,Memory,7,,,,,,,00723941201fa.jpg,,,,,0.519,1.0,,,,,,,1538150656.757226,1538150658.7411,
393,6,Memory,7,,,,,,,sunaahzooisqkwlxwoz.jpg,,,,,0.836,4.0,,,,,,,1538150659.99135,1538150661.974603,
394,6,Memory,7,,,,,,,sunaavtbadenwnzeutj.jpg,,,,,0.971,2.0,,,,,,,1538150663.225505,1538150665.209603,
395,6,Memory,7,,,,,,,sunamlotskmmsjeogby.jpg,,,,,0.62,1.0,,,,,,,1538150666.459873,1538150668.444893,
396,6,Memory,7,,,,,,,00793941205fa.jpg,,,,,0.52,1.0,,,,,,,1538150669.695003,1538150671.67886,
397,6,Memory,7,,,,,,,sunagtjwilqjvxohypn.jpg,,,,,1.07,2.0,,,,,,,1538150672.928278,1538150674.91327,
398,6,Memory,7,,,,,,,sunaooffzffbhcpirmm.jpg,,,,,0.92,2.0,,,,,,,1538150676.163415,1538150678.146431,
399,6,Memory,7,,,,,,,00990960627fa.jpg,,,,,0.537,1.0,,,,,,,1538150679.397616,1538150681.381718,
