,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
60,36,Memory,1,,,,,,,sunaijsqpvodplbwxkf.jpg,,,,,1.792,3.0,,,,,,,1540406216.531396,1540406219.244963,
61,36,Memory,1,,,,,,,00796941205fa.jpg,,,,,1.711,2.0,,,,,,,1540406220.516308,1540406222.946814,
62,36,Memory,1,,,,,,,00847940307fa.jpg,,,,,0.79,2.0,,,,,,,1540406224.217689,1540406226.379955,
63,36,Memory,1,,,,,,,sunaahedjlmtqekgyvj.jpg,,,,,1.275,2.0,,,,,,,1540406227.668653,1540406229.972196,
64,36,Memory,1,,,,,,,sunaivdjruhkrfywfed.jpg,,,,,1.362,2.0,,,,,,,1540406231.23555,1540406233.569878,
65,36,Memory,1,,,,,,,sunadfktsqjthoglcsm.jpg,,,,,1.141,2.0,,,,,,,1540406234.854215,1540406237.269519,
66,36,Memory,1,,,,,,,sunabaergayifsgacxt.jpg,,,,,1.293,2.0,,,,,,,1540406238.538997,1540406241.151428,
67,36,Memory,1,,,,,,,00931960627fa.jpg,,,,,1.506,2.0,,,,,,,1540406242.44076,1540406245.039031,
68,36,Memory,1,,,,,,,sunaauhozyxzeeqstxi.jpg,,,,,1.753,2.0,,,,,,,1540406246.307045,1540406248.828032,
69,36,Memory,1,,,,,,,sunabyfxcxhdebvdyfd.jpg,,,,,0.707,3.0,,,,,,,1540406250.109181,1540406252.422328,
70,36,Memory,1,,,,,,,sunagvjurcwdbixvnyi.jpg,,,,,1.025,2.0,,,,,,,1540406253.694546,1540406256.265459,
71,36,Memory,1,,,,,,,sunacjnahdmqfnjfwqx.jpg,,,,,1.042,2.0,,,,,,,1540406257.511473,1540406259.9458,
72,36,Memory,1,,,,,,,00794960620fa.jpg,,,,,0.975,3.0,,,,,,,1540406261.279796,1540406263.648769,
