,Unnamed: 0,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Stimulus Start
0,10,KIRSTEN_LAST,Memory,0,,,,,,,sunaaxjpzcnxligjtjq.jpg,Place,,,,0.759,1.0,Full,,,,,,,1530913979.198223,1530913977.1398962
1,11,KIRSTEN_LAST,Memory,0,,,,,,,00529940519fa.jpg,,,,,0.489,2.0,Novel,,,,,,,1530913982.550306,1530913980.561356
2,12,KIRSTEN_LAST,Memory,0,,,,,,,00193940928fa.jpg,Face,,,,0.597,1.0,Side,,,,,,,1530913985.750612,1530913983.773252
3,13,KIRSTEN_LAST,Memory,0,,,,,,,00265940128fb.jpg,Face,,,,0.42200000000000004,4.0,Side,,,,,,,1530913988.9517288,1530913986.966156
4,14,KIRSTEN_LAST,Memory,0,,,,,,,00700941121fa.jpg,,,,,0.531,1.0,Novel,,,,,,,1530913992.153665,1530913990.173579
5,15,KIRSTEN_LAST,Memory,0,,,,,,,00970960627fa.jpg,Face,,,,1.504,2.0,None,,,,,,,1530913995.3530061,1530913993.36817
6,16,KIRSTEN_LAST,Memory,0,,,,,,,sunaavodbcpygkggnfp.jpg,,,,,1.431,3.0,Novel,,,,,,,1530913998.638185,1530913996.659769
7,17,KIRSTEN_LAST,Memory,0,,,,,,,00598941031fa.jpg,Face,,,,1.151,1.0,None,,,,,,,1530914001.855406,1530913999.873508
8,18,KIRSTEN_LAST,Memory,0,,,,,,,sunacxtcahkymosigud.jpg,Place,,,,0.535,2.0,Category,,,,,,,1530914005.073422,1530914003.09144
9,19,KIRSTEN_LAST,Memory,0,,,,,,,00130931230fa.jpg,Face,,,,0.956,3.0,Side,,,,,,,1530914008.275352,1530914006.288301
10,20,KIRSTEN_LAST,Memory,0,,,,,,,00779941205fa.jpg,,,,,1.155,3.0,Novel,,,,,,,1530914011.475747,1530914009.48963
11,21,KIRSTEN_LAST,Memory,0,,,,,,,sunaamvxnvouicstkjb.jpg,Place,,,,0.943,1.0,Full,,,,,,,1530914014.692919,1530914012.702508
12,22,KIRSTEN_LAST,Memory,0,,,,,,,sunaakgekhjklxmvulj.jpg,,,,,0.003,2.0,Novel,,,,,,,1530914017.912065,1530914015.918716
13,23,KIRSTEN_LAST,Memory,0,,,,,,,sunbasypfgzjtomktmu.jpg,Place,,,,0.688,4.0,Category,,,,,,,1530914021.111524,1530914019.125908
14,24,KIRSTEN_LAST,Memory,0,,,,,,,sunacbeefkxpymwevpk.jpg,,,,,0.823,2.0,Novel,,,,,,,1530914024.313504,1530914022.326947
15,25,KIRSTEN_LAST,Memory,0,,,,,,,sunagdzlvkqtpnfxfcg.jpg,,,,,1.071,3.0,Novel,,,,,,,1530914027.514757,1530914025.528176
16,26,KIRSTEN_LAST,Memory,0,,,,,,,00770941201fa.jpg,,,,,1.3159999999999998,1.0,Novel,,,,,,,1530914030.798801,1530914028.81761
17,27,KIRSTEN_LAST,Memory,0,,,,,,,00811960530fa.jpg,,,,,0.855,1.0,Novel,,,,,,,1530914034.032769,1530914032.045774
18,28,KIRSTEN_LAST,Memory,0,,,,,,,sunaakvmbftkrgqhjun.jpg,Place,,,,0.997,1.0,Category,,,,,,,1530914037.234228,1530914035.2555392
