,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Stimulus Start
110,KIRSTEN_LAST,Memory,2,,,,,,,sunaafbmtoniaasysgu.jpg,,,,,1.571,3,,,,,,,,1530914350.334597,1530914348.291747
111,KIRSTEN_LAST,Memory,2,,,,,,,sunaakxjfbrrequcjmx.jpg,,,,,0.994,1,,,,,,,,1530914353.552993,1530914351.561445
112,KIRSTEN_LAST,Memory,2,,,,,,,sunafhmnhsdurlvddpw.jpg,,,,,1.474,2,,,,,,,,1530914356.770179,1530914354.782208
113,KIRSTEN_LAST,Memory,2,,,,,,,00209940128fb.jpg,,,,,0.951,1,,,,,,,,1530914359.988456,1530914358.00632
114,KIRSTEN_LAST,Memory,2,,,,,,,00816941205fa.jpg,,,,,1.172,2,,,,,,,,1530914363.189467,1530914361.202852
115,KIRSTEN_LAST,Memory,2,,,,,,,sunbwyuesflwdpqtgoy.jpg,,,,,0.0,,,,,,,,,1530914366.522771,1530914364.530199
116,KIRSTEN_LAST,Memory,2,,,,,,,suncnkvbhypnivcohyx.jpg,,,,,0.003,1,,,,,,,,1530914369.723968,1530914367.738652
117,KIRSTEN_LAST,Memory,2,,,,,,,sunaahzooisqkwlxwoz.jpg,,,,,0.003,3,,,,,,,,1530914372.925951,1530914370.947536
118,KIRSTEN_LAST,Memory,2,,,,,,,sunaawqdbpihmlbwyyn.jpg,,,,,0.805,1,,,,,,,,1530914376.12703,1530914374.140561
119,KIRSTEN_LAST,Memory,2,,,,,,,00797960620fa.jpg,,,,,0.643,1,,,,,,,,1530914379.345227,1530914377.353685
120,KIRSTEN_LAST,Memory,2,,,,,,,00308940422fb.jpg,,,,,0.759,1,,,,,,,,1530914382.562562,1530914380.571667
121,KIRSTEN_LAST,Memory,2,,,,,,,00753941201fa.jpg,,,,,0.754,1,,,,,,,,1530914385.763641,1530914383.778074
122,KIRSTEN_LAST,Memory,2,,,,,,,00804960530fa.jpg,,,,,0.754,1,,,,,,,,1530914388.964066,1530914386.979276
123,KIRSTEN_LAST,Memory,2,,,,,,,sunabwfvcqqidycwypa.jpg,,,,,0.855,1,,,,,,,,1530914392.16594,1530914390.178594
124,KIRSTEN_LAST,Memory,2,,,,,,,sunaknlirqjqiwbbeeg.jpg,,,,,1.305,3,,,,,,,,1530914395.367027,1530914393.380701
125,KIRSTEN_LAST,Memory,2,,,,,,,sunafgzgbisbopcyslr.jpg,,,,,1.273,1,,,,,,,,1530914398.56824,1530914396.580751
126,KIRSTEN_LAST,Memory,2,,,,,,,00092931230fa.jpg,,,,,1.102,2,,,,,,,,1530914401.785386,1530914399.802107
127,KIRSTEN_LAST,Memory,2,,,,,,,sunaatjesvdupctftmn.jpg,,,,,0.959,4,,,,,,,,1530914405.003035,1530914403.013159
128,KIRSTEN_LAST,Memory,2,,,,,,,sunafcofuuzebuadceo.jpg,,,,,0.924,3,,,,,,,,1530914408.220739,1530914406.232419
129,KIRSTEN_LAST,Memory,2,,,,,,,01005960627fa.jpg,,,,,1.397,2,,,,,,,,1530914411.45512,1530914409.476857
130,KIRSTEN_LAST,Memory,2,,,,,,,00122931230fa.jpg,,,,,1.429,1,,,,,,,,1530914414.672457,1530914412.680326
131,KIRSTEN_LAST,Memory,2,,,,,,,00245940128fa.jpg,,,,,0.905,1,,,,,,,,1530914417.873585,1530914415.887122
132,KIRSTEN_LAST,Memory,2,,,,,,,sunabaergayifsgacxt.jpg,,,,,1.202,1,,,,,,,,1530914421.208429,1530914419.225767
133,KIRSTEN_LAST,Memory,2,,,,,,,sunagwswhkvnsmuszlz.jpg,,,,,1.015,1,,,,,,,,1530914424.408867,1530914422.430167
134,KIRSTEN_LAST,Memory,2,,,,,,,01010960627fa.jpg,,,,,1.216,1,,,,,,,,1530914427.743905,1530914425.763263
135,KIRSTEN_LAST,Memory,2,,,,,,,00882960530fa.jpg,,,,,0.997,3,,,,,,,,1530914430.944012,1530914428.966039
136,KIRSTEN_LAST,Memory,2,,,,,,,sunagufzbeteqdjxais.jpg,,,,,1.742,3,,,,,,,,1530914434.162449,1530914432.17273
137,KIRSTEN_LAST,Memory,2,,,,,,,sunahmhrncocyhsjpxk.jpg,,,,,1.406,2,,,,,,,,1530914437.36359,1530914435.376532
138,KIRSTEN_LAST,Memory,2,,,,,,,sunaaheqzstzxuadglu.jpg,,,,,0.975,4,,,,,,,,1530914440.580547,1530914438.592351
139,KIRSTEN_LAST,Memory,2,,,,,,,00073931230fa.jpg,,,,,1.339,1,,,,,,,,1530914443.781726,1530914441.794875
140,KIRSTEN_LAST,Memory,2,,,,,,,00185940422fb.jpg,,,,,0.955,2,,,,,,,,1530914446.982997,1530914444.996595
141,KIRSTEN_LAST,Memory,2,,,,,,,00762941201fa.jpg,,,,,1.222,3,,,,,,,,1530914450.18326,1530914448.198399
142,KIRSTEN_LAST,Memory,2,,,,,,,sunahgtbwgsmtqeodwh.jpg,,,,,1.927,2,,,,,,,,1530914453.535447,1530914451.544071
143,KIRSTEN_LAST,Memory,2,,,,,,,sunabrlndkruqokhury.jpg,,,,,1.42,2,,,,,,,,1530914456.885465,1530914454.900773
144,KIRSTEN_LAST,Memory,2,,,,,,,00812941205fa.jpg,,,,,1.005,1,,,,,,,,1530914460.086769,1530914458.101854
145,KIRSTEN_LAST,Memory,2,,,,,,,00763941205fa.jpg,,,,,0.873,1,,,,,,,,1530914463.288621,1530914461.301944
146,KIRSTEN_LAST,Memory,2,,,,,,,00145931230fb.jpg,,,,,0.906,1,,,,,,,,1530914466.489067,1530914464.502455
