,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Stimulus Start
100,tsk,Presentation,2,00136931230fb_sunaanptmsknhirrzed.jpg,00093931230fa_sunaahwnmtqsrhocysw.jpg,00136931230fb.jpg,sunaanptmsknhirrzed.jpg,00093931230fa.jpg,sunaahwnmtqsrhocysw.jpg,,,<,Face,0.9968228340148926,,,,1,,,1,,,1530909582.698747,1530909579.639932
101,tsk,Presentation,2,00211940128fa_sunabasphceswhwwqvv.jpg,00062931230fb_sunaaelotvjgibjtjhs.jpg,00211940128fa.jpg,sunabasphceswhwwqvv.jpg,00062931230fb.jpg,sunaaelotvjgibjtjhs.jpg,,,<,Face,0.5141720771789551,,,,1,,,1,,,1530909587.917993,1530909584.916178
102,tsk,Presentation,2,00762941201fa_sunafgzgbisbopcyslr.jpg,00662941121fa_sunadkazmlajmohnwfl.jpg,00762941201fa.jpg,sunafgzgbisbopcyslr.jpg,00662941121fa.jpg,sunadkazmlajmohnwfl.jpg,,,<,Face,0.46335506439208984,,,,0,,,3,,,1530909592.669167,1530909589.669179
103,tsk,Presentation,2,00909960530_sunaobtizabegtwfwul.jpg,00647941031fa_sunadflbrkckmepztql.jpg,00909960530.jpg,sunaobtizabegtwfwul.jpg,00647941031fa.jpg,sunadflbrkckmepztql.jpg,,,<,Face,0.46264004707336426,,,,1,,,1,,,1530909597.35366,1530909594.353209
104,tsk,Presentation,2,00743941201fa_sunaeoghzrjarigmwua.jpg,00973960627fa_sunbbgtoeuzierkkajt.jpg,00743941201fa.jpg,sunaeoghzrjarigmwua.jpg,00973960627fa.jpg,sunbbgtoeuzierkkajt.jpg,,,<,Face,0.43019795417785645,,,,1,,,1,,,1530909602.038953,1530909599.036455
105,tsk,Presentation,2,00194940128fb_sunaayehfdqcyxggsej.jpg,00620940928fa_sunacypmnujalygkunp.jpg,00194940128fb.jpg,sunaayehfdqcyxggsej.jpg,00620940928fa.jpg,sunacypmnujalygkunp.jpg,,,<,Face,0.4630558490753174,,,,1,,,1,,,1530909606.674107,1530909603.677671
106,tsk,Presentation,2,00914960620fa_sunaozisvwfbmlkfhzv.jpg,00749941201fa_sunaeuvjbmdpknaqqaj.jpg,00914960620fa.jpg,sunaozisvwfbmlkfhzv.jpg,00749941201fa.jpg,sunaeuvjbmdpknaqqaj.jpg,,,<,Face,0.446976900100708,,,,1,,,1,,,1530909611.342286,1530909608.348632
107,tsk,Presentation,2,00481940519fa_sunabxsuqbleluwczoy.jpg,00898960530fa_sunamkmeblgteyggink.jpg,00481940519fa.jpg,sunabxsuqbleluwczoy.jpg,00898960530fa.jpg,sunamkmeblgteyggink.jpg,,,<,Face,0.3963029384613037,,,,0,,,3,,,1530909616.009644,1530909613.009136
108,tsk,Presentation,2,00961960627fa_sunawotxrevnqvamsfp.jpg,00803941205fa_sunagvxkjokqimstxpe.jpg,00961960627fa.jpg,sunawotxrevnqvamsfp.jpg,00803941205fa.jpg,sunagvxkjokqimstxpe.jpg,,,<,Face,0.5799329280853271,,,,1,,,1,,,1530909620.611919,1530909617.619373
109,tsk,Presentation,2,00847940307fa_sunaivdjruhkrfywfed.jpg,00719941201fa_sunadvithllcgmfxsrn.jpg,00847940307fa.jpg,sunaivdjruhkrfywfed.jpg,00719941201fa.jpg,sunadvithllcgmfxsrn.jpg,,,<,Face,0.5643210411071777,,,,1,,,1,,,1530909625.412108,1530909622.41595
