,Experiment,Group,Subject,Run,Trial
1220,/sustain,1,31,0,0.0
1221,/sustain,1,31,0,1.0
1222,/sustain,1,31,0,2.0
1223,/sustain,1,31,0,3.0
1224,/sustain,1,31,0,4.0
1225,/sustain,1,31,0,5.0
1226,/sustain,1,31,0,6.0
1227,/sustain,1,31,0,7.0
1228,/sustain,1,31,0,8.0
1229,/sustain,1,31,0,9.0
6430,/sustain,1,8,1,0.0
6431,/sustain,1,8,1,1.0
6432,/sustain,1,8,1,2.0
6433,/sustain,1,8,1,3.0
6434,/sustain,1,8,1,4.0
6435,/sustain,1,8,1,5.0
6436,/sustain,1,8,1,6.0
6437,/sustain,1,8,1,7.0
6438,/sustain,1,8,1,8.0
6439,/sustain,1,8,1,9.0
12300,/sustain,2,34,6,0.0
12301,/sustain,2,34,6,1.0
12302,/sustain,2,34,6,2.0
12303,/sustain,2,34,6,3.0
12304,/sustain,2,34,6,4.0
12305,/sustain,2,34,6,5.0
12306,/sustain,2,34,6,6.0
12307,/sustain,2,34,6,7.0
12308,/sustain,2,34,6,8.0
12309,/sustain,2,34,6,9.0
12850,/sustain,2,7,1,0.0
12851,/sustain,2,7,1,1.0
12852,/sustain,2,7,1,2.0
12853,/sustain,2,7,1,3.0
12854,/sustain,2,7,1,4.0
12855,/sustain,2,7,1,5.0
12856,/sustain,2,7,1,6.0
12857,/sustain,2,7,1,7.0
12858,/sustain,2,7,1,8.0
12859,/sustain,2,7,1,9.0
13050,/sustain,2,7,5,0.0
13051,/sustain,2,7,5,1.0
13052,/sustain,2,7,5,2.0
13053,/sustain,2,7,5,3.0
13054,/sustain,2,7,5,4.0
13055,/sustain,2,7,5,5.0
13056,/sustain,2,7,5,6.0
13057,/sustain,2,7,5,7.0
13058,/sustain,2,7,5,8.0
13059,/sustain,2,7,5,9.0
13150,/sustain,2,7,7,0.0
13151,/sustain,2,7,7,1.0
13152,/sustain,2,7,7,2.0
13400,/sustain,2,13,4,0.0
13401,/sustain,2,13,4,1.0
13402,/sustain,2,13,4,2.0
13450,/sustain,2,13,5,0.0
13451,/sustain,2,13,5,1.0
13452,/sustain,2,13,5,2.0
13453,/sustain,2,13,5,3.0
13454,/sustain,2,13,5,4.0
13455,/sustain,2,13,5,5.0
13456,/sustain,2,13,5,6.0
13457,/sustain,2,13,5,7.0
13458,/sustain,2,13,5,8.0
13459,/sustain,2,13,5,9.0
13500,/sustain,2,13,6,0.0
13501,/sustain,2,13,6,1.0
13502,/sustain,2,13,6,2.0
13503,/sustain,2,13,6,3.0
13504,/sustain,2,13,6,4.0
13505,/sustain,2,13,6,5.0
13506,/sustain,2,13,6,6.0
13507,/sustain,2,13,6,7.0
13508,/sustain,2,13,6,8.0
13509,/sustain,2,13,6,9.0
13700,/sustain,2,39,2,0.0
13701,/sustain,2,39,2,1.0
13702,/sustain,2,39,2,2.0
13703,/sustain,2,39,2,3.0
14100,/sustain,2,16,2,0.0
14101,/sustain,2,16,2,1.0
14102,/sustain,2,16,2,2.0
14103,/sustain,2,16,2,3.0
14104,/sustain,2,16,2,4.0
14105,/sustain,2,16,2,5.0
14106,/sustain,2,16,2,6.0
14107,/sustain,2,16,2,7.0
14108,/sustain,2,16,2,8.0
14109,/sustain,2,16,2,9.0
14150,/sustain,2,16,3,0.0
14151,/sustain,2,16,3,1.0
14152,/sustain,2,16,3,2.0
14153,/sustain,2,16,3,3.0
14154,/sustain,2,16,3,4.0
14155,/sustain,2,16,3,5.0
14156,/sustain,2,16,3,6.0
14157,/sustain,2,16,3,7.0
14158,/sustain,2,16,3,8.0
14159,/sustain,2,16,3,9.0
14550,/sustain,2,2,3,0.0
14551,/sustain,2,2,3,1.0
14552,/sustain,2,2,3,2.0
14553,/sustain,2,2,3,3.0
