,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
160,2,Memory,3,,,,,,,00819940307fa.jpg,,,,,1.424,2.0,,,,,,,1537987042.993102,1537987045.142222,
161,2,Memory,3,,,,,,,sunaampvucecsfbdafn.jpg,,,,,1.375,3.0,,,,,,,1537987046.443683,1537987048.557582,
162,2,Memory,3,,,,,,,sunabyfxcxhdebvdyfd.jpg,,,,,1.274,2.0,,,,,,,1537987049.828699,1537987052.048913,
163,2,Memory,3,,,,,,,sunahqldjibofgsfdgb.jpg,,,,,0.752,4.0,,,,,,,1537987053.347779,1537987055.342673,
164,2,Memory,3,,,,,,,00977960627fa.jpg,,,,,1.17,1.0,,,,,,,1537987056.631113,1537987058.744148,
165,2,Memory,3,,,,,,,sunadbdqzigzwipuipr.jpg,,,,,1.841,3.0,,,,,,,1537987060.032167,1537987062.162769,
166,2,Memory,3,,,,,,,00123931230fb.jpg,,,,,0.783,1.0,,,,,,,1537987063.450263,1537987065.512788,
167,2,Memory,3,,,,,,,00816941205fa.jpg,,,,,0.892,1.0,,,,,,,1537987066.799805,1537987068.86488,
168,2,Memory,3,,,,,,,sunbwtlihsuptkrckid.jpg,,,,,1.086,3.0,,,,,,,1537987070.168946,1537987072.220879,
169,2,Memory,3,,,,,,,00719941201fa.jpg,,,,,0.817,1.0,,,,,,,1537987073.486687,1537987075.474173,
170,2,Memory,3,,,,,,,00529940519fa.jpg,,,,,0.748,1.0,,,,,,,1537987076.737344,1537987078.750779,
171,2,Memory,3,,,,,,,sunabrwnslxalcohfre.jpg,,,,,1.391,2.0,,,,,,,1537987080.056497,1537987082.15274,
172,2,Memory,3,,,,,,,00952960627fa.jpg,,,,,0.984,1.0,,,,,,,1537987083.606894,1537987085.602347,
173,2,Memory,3,,,,,,,00822940307fa.jpg,,,,,1.324,1.0,,,,,,,1537987086.89083,1537987088.95441,
174,2,Memory,3,,,,,,,00096931230fa.jpg,,,,,1.209,1.0,,,,,,,1537987090.242516,1537987092.304896,
175,2,Memory,3,,,,,,,00296940422fa.jpg,,,,,1.086,1.0,,,,,,,1537987093.57734,1537987095.594003,
176,2,Memory,3,,,,,,,sunadvithllcgmfxsrn.jpg,,,,,2.003,3.0,,,,,,,1537987096.860175,1537987098.946619,
