,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
110,24,Memory,2,,,,,,,sunagmwxxwymwojbvgi.jpg,,,,,1.803,1.0,,,,,,,1539779260.436081,1539779262.953605,
111,24,Memory,2,,,,,,,sunaajqmsaavkmgbsth.jpg,,,,,1.47,1.0,,,,,,,1539779264.338234,1539779266.755686,
112,24,Memory,2,,,,,,,00101931230fb.jpg,,,,,1.171,1.0,,,,,,,1539779268.137627,1539779270.590054,
113,24,Memory,2,,,,,,,00061931230fb.jpg,,,,,0.0,,,,,,,,1539779271.939659,1539779274.358387,
114,24,Memory,2,,,,,,,sunaptrqvaooxfvktvw.jpg,,,,,2.153,1.0,,,,,,,1539779275.741506,1539779278.141705,
115,24,Memory,2,,,,,,,00768941205fa.jpg,,,,,1.886,2.0,,,,,,,1539779279.575585,1539779281.926684,
116,24,Memory,2,,,,,,,sunaapxkpvrhpjplsok.jpg,,,,,1.321,1.0,,,,,,,1539779283.293976,1539779285.761205,
117,24,Memory,2,,,,,,,sunarceibpcyacbmfga.jpg,,,,,1.152,1.0,,,,,,,1539779287.161572,1539779289.528905,
118,24,Memory,2,,,,,,,sunaaekxzjzrfgtkwjf.jpg,,,,,1.818,1.0,,,,,,,1539779290.895405,1539779293.396102,
119,24,Memory,2,,,,,,,sunafkmnlytenlsywia.jpg,,,,,1.52,3.0,,,,,,,1539779294.781381,1539779297.181651,
120,24,Memory,2,,,,,,,00071941031fa.jpg,,,,,2.488,1.0,,,,,,,1539779298.59811,1539779301.065741,
121,24,Memory,2,,,,,,,00794960620fa.jpg,,,,,2.34,2.0,,,,,,,1539779302.466316,1539779304.801798,
122,24,Memory,2,,,,,,,sunagountlxpzkytsmp.jpg,,,,,1.17,1.0,,,,,,,1539779306.185058,1539779308.617691,
123,24,Memory,2,,,,,,,00775941205fa.jpg,,,,,1.803,1.0,,,,,,,1539779310.135984,1539779312.453454,
124,24,Memory,2,,,,,,,sunafvwfsmqkjrutjta.jpg,,,,,1.703,1.0,,,,,,,1539779313.905206,1539779316.337809,
125,24,Memory,2,,,,,,,sunalqmfgeadpqsyzpd.jpg,,,,,2.004,3.0,,,,,,,1539779317.75458,1539779320.139134,
126,24,Memory,2,,,,,,,00921960627fa.jpg,,,,,2.152,1.0,,,,,,,1539779321.555963,1539779323.891305,
127,24,Memory,2,,,,,,,00787941205fa.jpg,,,,,2.019,1.0,,,,,,,1539779325.325028,1539779327.591391,
128,24,Memory,2,,,,,,,00939960627fa.jpg,,,,,2.202,3.0,,,,,,,1539779329.008697,1539779331.308852,
129,24,Memory,2,,,,,,,00316940422fa.jpg,,,,,1.588,2.0,,,,,,,1539779332.75955,1539779335.211331,
130,24,Memory,2,,,,,,,sunaaexqbtdswxrqjvz.jpg,,,,,2.322,1.0,,,,,,,1539779336.627809,1539779339.096513,
131,24,Memory,2,,,,,,,sunapqkyghktgtosuuk.jpg,,,,,1.32,1.0,,,,,,,1539779340.511928,1539779342.929691,
132,24,Memory,2,,,,,,,00086931230fa.jpg,,,,,1.636,1.0,,,,,,,1539779344.29733,1539779346.730887,
133,24,Memory,2,,,,,,,00894960620fa.jpg,,,,,0.719,1.0,,,,,,,1539779348.098327,1539779350.649339,
134,24,Memory,2,,,,,,,sunaafynehyrzpsoaml.jpg,,,,,1.055,1.0,,,,,,,1539779352.06578,1539779354.50101,
135,24,Memory,2,,,,,,,00142931230fb.jpg,,,,,1.688,1.0,,,,,,,1539779355.917924,1539779358.401804,
136,24,Memory,2,,,,,,,00788941205fa.jpg,,,,,1.538,1.0,,,,,,,1539779359.785114,1539779362.237098,
137,24,Memory,2,,,,,,,sunabxmguapjekttvwm.jpg,,,,,0.0,,,,,,,,1539779363.769683,1539779366.103662,
138,24,Memory,2,,,,,,,sunacvjlsylseoghjup.jpg,,,,,1.637,1.0,,,,,,,1539779367.53827,1539779369.92216,
