Button,Time
"[['2', 267.0364398956299]]",1553713856.008164
"[['1', 462.7995858192444]]",1553714051.771404
"[['3', 492.84324502944946]]",1553714081.814881
"[['2', 108.84783005714417]]",1553714942.758827
"[['3', 130.44938921928406], ['3', 130.91587209701538], ['3', 131.43253111839294], ['4', 131.70545101165771]]",1553714965.616278
"[['3', 183.6214141845703]]",1553715017.532883
"[['2', 229.1791970729828]]",1553715063.064342
"[['3', 118.2291669845581]]",1553715265.714005
"[['3', 141.30800199508667]]",1553715288.75344
"[['3', 143.04487705230713], ['3', 143.61113214492798]]",1553715291.83856
"[['3', 160.7847421169281]]",1553715308.260213
"[['1', 235.67186498641968]]",1553715383.117417
"[['2', 199.94379997253418]]",1553715678.813218
"[['2', 142.13512802124023]]",1553716326.689548
