,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
250,12,Presentation,5,00185940422fb_sunaawqdbpihmlbwyyn.jpg,00647941031fa_sunadflbrkckmepztql.jpg,00185940422fb.jpg,sunaawqdbpihmlbwyyn.jpg,00647941031fa.jpg,sunadflbrkckmepztql.jpg,,,>,Face,1.6344590187072754,,,,0.0,,,1,,1553715879.362695,1553715882.412665,x
251,12,Presentation,5,00076931230fa_sunaafewhewbxmjiurz.jpg,00895960530fa_sunamczizlzavhzhpay.jpg,00076931230fa.jpg,sunaafewhewbxmjiurz.jpg,00895960530fa.jpg,sunamczizlzavhzhpay.jpg,,,>,Place,1.0009241104125977,,,,1.0,,,1,,1553715887.830345,1553715890.831673,x
252,12,Presentation,5,00221940128fa_sunabcfpwlpolnutyju.jpg,00876960620fa_sunajwqkfsykceonyig.jpg,00221940128fa.jpg,sunabcfpwlpolnutyju.jpg,00876960620fa.jpg,sunajwqkfsykceonyig.jpg,,,>,Face,0.8530089855194092,,,,1.0,,,1,,1553715895.600539,1553715898.600929,x
253,12,Presentation,5,00848940307fa_sunaivdylrawbmhryfp.jpg,00827940307fa_sunahtfxgsrmkiulnwk.jpg,00848940307fa.jpg,sunaivdylrawbmhryfp.jpg,00827940307fa.jpg,sunahtfxgsrmkiulnwk.jpg,,,<,Place,0.8492999076843262,,,,1.0,,,1,,1553715903.218918,1553715906.220324,o
254,12,Presentation,5,00795941205fa_sunagtumacdlmciqamz.jpg,00095931230fa_sunaahzooisqkwlxwoz.jpg,00795941205fa.jpg,sunagtumacdlmciqamz.jpg,00095931230fa.jpg,sunaahzooisqkwlxwoz.jpg,,,<,Face,1.485285997390747,,,,1.0,,,1,,1553715910.838685,1553715913.838864,x
255,12,Presentation,5,00866940307fa_sunajbwkywmsqkldfml.jpg,00543940519fa_sunacepzfrmtkiqonpy.jpg,00866940307fa.jpg,sunajbwkywmsqkldfml.jpg,00543940519fa.jpg,sunacepzfrmtkiqonpy.jpg,,,>,Face,1.0009419918060303,,,,1.0,,,3,,1553715919.090903,1553715922.092152,o
256,12,Presentation,5,00753941201fa_sunafcofuuzebuadceo.jpg,00242940128fa_sunabcuurugvxwparpk.jpg,00753941201fa.jpg,sunafcofuuzebuadceo.jpg,00242940128fa.jpg,sunabcuurugvxwparpk.jpg,,,<,Place,0.7501649856567383,,,,1.0,,,3,,1553715926.860674,1553715929.86181,o
257,12,Presentation,5,00620940928fa_sunacypmnujalygkunp.jpg,00093931230fa_sunaahwnmtqsrhocysw.jpg,00620940928fa.jpg,sunacypmnujalygkunp.jpg,00093931230fa.jpg,sunaahwnmtqsrhocysw.jpg,,,<,Face,1.3013460636138916,,,,0.0,,,1,,1553715934.379853,1553715937.380105,x
258,12,Presentation,5,00925960627fa_sunapqwnqzxlsfvgsjm.jpg,00296940422fa_sunabrwnslxalcohfre.jpg,00925960627fa.jpg,sunapqwnqzxlsfvgsjm.jpg,00296940422fa.jpg,sunabrwnslxalcohfre.jpg,,,<,Place,1.0508129596710205,,,,1.0,,,1,,1553715942.448397,1553715945.45032,x
259,12,Presentation,5,00090931230fa_sunaahedjlmtqekgyvj.jpg,00302940422fa_sunabtlfmiwtljmoues.jpg,00090931230fa.jpg,sunaahedjlmtqekgyvj.jpg,00302940422fa.jpg,sunabtlfmiwtljmoues.jpg,,,>,Place,0.9017250537872314,,,,1.0,,,1,,1553715950.268734,1553715953.268834,x
