,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
100,1,Presentation,2,00727941205fa_sunaeisnjeetzmkbuad.jpg,00761960627fa_sunafgdqbclkwfocdhg.jpg,00727941205fa.jpg,sunaeisnjeetzmkbuad.jpg,00761960627fa.jpg,sunafgdqbclkwfocdhg.jpg,,,>,Place,1.0523629188537598,,,,1.0,,,3,,1550775445.848371,1550775448.919345,o
101,1,Presentation,2,00147931230fb_sunaatpkocdkocwxpkb.jpg,00807941205fa_sunahawfngukizslzsd.jpg,00147931230fb.jpg,sunaatpkocdkocwxpkb.jpg,00807941205fa.jpg,sunahawfngukizslzsd.jpg,,,<,Face,0.7393620014190674,,,,1.0,,,1,,1550775453.95621,1550775456.987485,x
102,1,Presentation,2,00913960530fa_sunaooffzffbhcpirmm.jpg,00791941205fa_sunagrmyoovzukhxmlo.jpg,00913960530fa.jpg,sunaooffzffbhcpirmm.jpg,00791941205fa.jpg,sunagrmyoovzukhxmlo.jpg,,,>,Place,1.119032859802246,,,,1.0,,,1,,1550775461.592129,1550775464.605866,x
103,1,Presentation,2,00194940128fb_sunaayehfdqcyxggsej.jpg,00815941205fa_sunahiphsekjihkafsl.jpg,00194940128fb.jpg,sunaayehfdqcyxggsej.jpg,00815941205fa.jpg,sunahiphsekjihkafsl.jpg,,,>,Face,0.7581989765167236,,,,1.0,,,1,,1550775469.672977,1550775472.69124,x
104,1,Presentation,2,00638941031fa_sunadfktsqjthoglcsm.jpg,00589940928fa_sunacwggadqsfpovdjv.jpg,00638941031fa.jpg,sunadfktsqjthoglcsm.jpg,00589940928fa.jpg,sunacwggadqsfpovdjv.jpg,,,<,Place,1.0813848972320557,,,,1.0,,,3,,1550775477.580559,1550775480.601551,o
105,1,Presentation,2,00796941205fa_sunaguchqqnrtodtezq.jpg,00804960530fa_sunagwswhkvnsmuszlz.jpg,00796941205fa.jpg,sunaguchqqnrtodtezq.jpg,00804960530fa.jpg,sunagwswhkvnsmuszlz.jpg,,,<,Face,0.9175820350646973,,,,1.0,,,3,,1550775485.627898,1550775488.651092,o
106,1,Presentation,2,00102931230fa_sunaajspcoepticvplv.jpg,00892960530fa_sunalntxqqadigcletd.jpg,00102931230fa.jpg,sunaajspcoepticvplv.jpg,00892960530fa.jpg,sunalntxqqadigcletd.jpg,,,<,Place,3.0626418590545654,,,,1.0,,,3,,1550775493.447474,1550775496.467634,o
107,1,Presentation,2,00609940928fa_sunacycdoztxoluxjyk.jpg,00211940128fa_sunabasphceswhwwqvv.jpg,00609940928fa.jpg,sunacycdoztxoluxjyk.jpg,00211940128fa.jpg,sunabasphceswhwwqvv.jpg,,,>,Place,0.7115340232849121,,,,1.0,,,3,,1550775503.405649,1550775506.42351,o
108,1,Presentation,2,00836940307fa_sunainqelldeebvxtcz.jpg,00783941205fa_sunagjeesomrwjsfqie.jpg,00836940307fa.jpg,sunainqelldeebvxtcz.jpg,00783941205fa.jpg,sunagjeesomrwjsfqie.jpg,,,<,Face,0.7979958057403564,,,,1.0,,,1,,1550775510.992059,1550775514.005686,x
109,1,Presentation,2,00292940422fb_sunabrjdpmoedcdjbpo.jpg,00972960627fa_sunbbfqwjpdxniyhies.jpg,00292940422fb.jpg,sunabrjdpmoedcdjbpo.jpg,00972960627fa.jpg,sunbbfqwjpdxniyhies.jpg,,,>,Face,0.6697328090667725,,,,1.0,,,3,,1550775518.672414,1550775521.691736,o
