,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
60,28,Memory,1,,,,,,,00977960627fa.jpg,,,,,1.915,1.0,,,,,,,1556029663.168385,1556029666.247571,
61,28,Memory,1,,,,,,,sunaaekxzjzrfgtkwjf.jpg,,,,,1.126,3.0,,,,,,,1556029667.553537,1556029670.100478,
62,28,Memory,1,,,,,,,sunaapllqyqlykszopd.jpg,,,,,1.335,1.0,,,,,,,1556029671.383375,1556029673.367184,
63,28,Memory,1,,,,,,,00792941205fa.jpg,,,,,1.669,2.0,,,,,,,1556029674.651524,1556029676.636744,
64,28,Memory,1,,,,,,,00061931230fb.jpg,,,,,1.916,1.0,,,,,,,1556029677.9184,1556029679.903428,
65,28,Memory,1,,,,,,,sunahedfrhtcwpneund.jpg,,,,,1.702,3.0,,,,,,,1556029681.286731,1556029683.273235,
66,28,Memory,1,,,,,,,00953960627fa.jpg,,,,,0.916,1.0,,,,,,,1556029684.687903,1556029686.671822,
67,28,Memory,1,,,,,,,00235940128fb.jpg,,,,,1.086,1.0,,,,,,,1556029687.976731,1556029690.008289,
68,28,Memory,1,,,,,,,sunaalltyvjhbzhkmvg.jpg,,,,,1.109,2.0,,,,,,,1556029691.310957,1556029694.174023,
69,28,Memory,1,,,,,,,sunarfdklgdnjgeqfjg.jpg,,,,,1.493,2.0,,,,,,,1556029695.513022,1556029698.258602,
70,28,Memory,1,,,,,,,sunabxsbfwjccqxxzxq.jpg,,,,,1.459,3.0,,,,,,,1556029699.598093,1556029702.542763,
71,28,Memory,1,,,,,,,sunacbeefkxpymwevpk.jpg,,,,,1.793,2.0,,,,,,,1556029703.848652,1556029707.127743,
72,28,Memory,1,,,,,,,sunapqwoeotxshkukbh.jpg,,,,,1.077,2.0,,,,,,,1556029708.433082,1556029711.369427,
73,28,Memory,1,,,,,,,sunajoveqhiprwqgoco.jpg,,,,,0.943,2.0,,,,,,,1556029712.901953,1556029715.736177,
74,28,Memory,1,,,,,,,sunafxokyavhgptyfye.jpg,,,,,1.092,2.0,,,,,,,1556029717.069498,1556029719.599297,
75,28,Memory,1,,,,,,,00973960627fa.jpg,,,,,1.476,3.0,,,,,,,1556029720.887531,1556029723.770362,
76,28,Memory,1,,,,,,,00142931230fb.jpg,,,,,1.392,3.0,,,,,,,1556029725.072705,1556029727.708178,
77,28,Memory,1,,,,,,,sunaapxkpvrhpjplsok.jpg,,,,,1.542,1.0,,,,,,,1556029729.006872,1556029732.057162,
78,28,Memory,1,,,,,,,00063931230fa.jpg,,,,,1.376,1.0,,,,,,,1556029733.358119,1556029736.292392,
79,28,Memory,1,,,,,,,00140931230fb.jpg,,,,,1.776,3.0,,,,,,,1556029737.659431,1556029740.827407,
80,28,Memory,1,,,,,,,00776941205fa.jpg,,,,,1.643,3.0,,,,,,,1556029742.244688,1556029745.161933,
81,28,Memory,1,,,,,,,00529940519fa.jpg,,,,,1.459,1.0,,,,,,,1556029746.529084,1556029749.395711,
82,28,Memory,1,,,,,,,sunabclssnoeuigtawp.jpg,,,,,1.643,1.0,,,,,,,1556029750.697953,1556029753.830216,
83,28,Memory,1,,,,,,,00479940519fa.jpg,,,,,1.291,1.0,,,,,,,1556029755.132482,1556029757.886084,
84,28,Memory,1,,,,,,,00198940128fb.jpg,,,,,1.609,3.0,,,,,,,1556029759.183745,1556029762.170379,
85,28,Memory,1,,,,,,,sunbbgtoeuzierkkajt.jpg,,,,,1.86,1.0,,,,,,,1556029763.467616,1556029766.414424,
86,28,Memory,1,,,,,,,sunaaelyvurpntclgau.jpg,,,,,1.276,1.0,,,,,,,1556029767.719049,1556029770.549257,
87,28,Memory,1,,,,,,,sunbbxkanhzjgbwyxqs.jpg,,,,,1.559,3.0,,,,,,,1556029772.121143,1556029774.80473,
88,28,Memory,1,,,,,,,00811960530fa.jpg,,,,,1.54,3.0,,,,,,,1556029776.105573,1556029778.968337,
89,28,Memory,1,,,,,,,sunaqgjuuwvdcyiccjt.jpg,,,,,0.826,1.0,,,,,,,1556029780.307658,1556029782.661816,
90,28,Memory,1,,,,,,,sunagsiwrmuixqgdimb.jpg,,,,,1.592,2.0,,,,,,,1556029783.958841,1556029786.974933,
91,28,Memory,1,,,,,,,sunatstrpjxhvtbaczf.jpg,,,,,1.393,3.0,,,,,,,1556029788.258303,1556029791.293571,
92,28,Memory,1,,,,,,,sunaanjcbzdvtvblsdy.jpg,,,,,1.093,1.0,,,,,,,1556029792.577627,1556029795.740607,
93,28,Memory,1,,,,,,,sunaazezcsunmhttzxz.jpg,,,,,2.193,3.0,,,,,,,1556029797.028526,1556029800.309144,
94,28,Memory,1,,,,,,,00125931230fa.jpg,,,,,1.177,3.0,,,,,,,1556029801.846966,1556029804.719531,
95,28,Memory,1,,,,,,,00936960627fa.jpg,,,,,1.491,2.0,,,,,,,1556029806.015318,1556029809.095586,
96,28,Memory,1,,,,,,,00942960627fa.jpg,,,,,1.193,2.0,,,,,,,1556029810.400496,1556029813.245225,
97,28,Memory,1,,,,,,,00132931230fb.jpg,,,,,1.127,1.0,,,,,,,1556029814.601905,1556029817.180703,
98,28,Memory,1,,,,,,,00869940307fa.jpg,,,,,0.677,1.0,,,,,,,1556029818.485005,1556029820.969858,
99,28,Memory,1,,,,,,,00926960627Fa.jpg,,,,,2.277,3.0,,,,,,,1556029822.253939,1556029825.33759,
