,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
10,2,Memory,0,,,,,,,00801941205fa.jpg,,,,,1.192,1,,,,,,,1550778776.307122,1550778778.427546,
11,2,Memory,0,,,,,,,01003960627fb.jpg,,,,,1.667,4,,,,,,,1550778779.713576,1550778781.741848,
12,2,Memory,0,,,,,,,sunaecpkgfewqqreqwe.jpg,,,,,1.84,1,,,,,,,1550778783.064609,1550778785.111057,
13,2,Memory,0,,,,,,,sunbloeoiozwjjsiamp.jpg,,,,,1.388,4,,,,,,,1550778786.398785,1550778788.39444,
14,2,Memory,0,,,,,,,sunaibnpvhkdpdnzcnz.jpg,,,,,1.525,1,,,,,,,1550778789.666161,1550778791.729435,
15,2,Memory,0,,,,,,,00745941205fa.jpg,,,,,0.0,,,,,,,,1550778793.001032,1550778794.99653,
16,2,Memory,0,,,,,,,sunayaepykrqvenaqqy.jpg,,,,,1.638,4,,,,,,,1550778796.263893,1550778798.283281,
17,2,Memory,0,,,,,,,sunaazezcsunmhttzxz.jpg,,,,,0.0,,,,,,,,1550778799.586432,1550778801.648999,
18,2,Memory,0,,,,,,,00198940128fb.jpg,,,,,1.916,1,,,,,,,1550778802.970996,1550778804.952588,
19,2,Memory,0,,,,,,,sunakmnfgklupjijsgf.jpg,,,,,0.0,,,,,,,,1550778806.238037,1550778808.251317,
20,2,Memory,0,,,,,,,00987960627fa.jpg,,,,,1.399,4,,,,,,,1550778809.506313,1550778811.490398,
21,2,Memory,0,,,,,,,sunagufzbeteqdjxais.jpg,,,,,1.632,4,,,,,,,1550778812.75273,1550778814.7537,
22,2,Memory,0,,,,,,,00109931230fa.jpg,,,,,0.0,,,,,,,,1550778816.020752,1550778818.021026,
23,2,Memory,0,,,,,,,sunagvprlbprarvgdvj.jpg,,,,,1.433,4,,,,,,,1550778819.271213,1550778821.256021,
24,2,Memory,0,,,,,,,sunabrwnslxalcohfre.jpg,,,,,1.764,1,,,,,,,1550778822.544744,1550778824.578162,
25,2,Memory,0,,,,,,,00753941201fa.jpg,,,,,1.851,4,,,,,,,1550778825.861235,1550778827.841304,
26,2,Memory,0,,,,,,,00915960620fa.jpg,,,,,1.382,4,,,,,,,1550778829.112637,1550778831.15846,
27,2,Memory,0,,,,,,,sunafcofuuzebuadceo.jpg,,,,,1.568,4,,,,,,,1550778832.431666,1550778834.448424,
28,2,Memory,0,,,,,,,sunaeouogqolxvggaoq.jpg,,,,,1.907,4,,,,,,,1550778835.714302,1550778837.694873,
29,2,Memory,0,,,,,,,00880960530fa.jpg,,,,,1.591,1,,,,,,,1550778838.966888,1550778840.995772,
30,2,Memory,0,,,,,,,sunabxsbfwjccqxxzxq.jpg,,,,,1.981,1,,,,,,,1550778842.246611,1550778844.229874,
31,2,Memory,0,,,,,,,sunapileznnbbmrwoei.jpg,,,,,1.687,4,,,,,,,1550778845.50129,1550778847.567311,
32,2,Memory,0,,,,,,,00479940519fa.jpg,,,,,0.0,,,,,,,,1550778848.830666,1550778850.864678,
33,2,Memory,0,,,,,,,00540940519fa.jpg,,,,,1.682,4,,,,,,,1550778852.120328,1550778854.133,
34,2,Memory,0,,,,,,,sunalqmfgeadpqsyzpd.jpg,,,,,1.564,1,,,,,,,1550778855.404692,1550778857.471524,
35,2,Memory,0,,,,,,,00963960627fa.jpg,,,,,1.857,4,,,,,,,1550778858.755183,1550778860.734854,
36,2,Memory,0,,,,,,,sunaakmxzhuceuiryah.jpg,,,,,1.88,1,,,,,,,1550778862.074273,1550778864.036794,
37,2,Memory,0,,,,,,,00747941201fa.jpg,,,,,0.0,,,,,,,,1550778865.290951,1550778867.322354,
38,2,Memory,0,,,,,,,00296940422fa.jpg,,,,,1.486,4,,,,,,,1550778868.575293,1550778870.554937,
39,2,Memory,0,,,,,,,sunaeutbrtswvsozxyk.jpg,,,,,0.0,,,,,,,,1550778871.826798,1550778873.825874,
40,2,Memory,0,,,,,,,00720960620fa.jpg,,,,,1.04,4,,,,,,,1550778875.112019,1550778877.098967,
41,2,Memory,0,,,,,,,00797960620fa.jpg,,,,,1.665,1,,,,,,,1550778878.378224,1550778880.40824,
42,2,Memory,0,,,,,,,00834940307fa.jpg,,,,,0.0,,,,,,,,1550778881.657791,1550778883.712215,
43,2,Memory,0,,,,,,,sunacvzhvcksnwqcqbw.jpg,,,,,1.148,4,,,,,,,1550778884.997666,1550778886.976173,
44,2,Memory,0,,,,,,,sunacdnquypmsshhsbk.jpg,,,,,1.615,1,,,,,,,1550778888.265796,1550778890.245579,
45,2,Memory,0,,,,,,,sunaajuzribjrizdshh.jpg,,,,,1.721,1,,,,,,,1550778891.498659,1550778893.480861,
46,2,Memory,0,,,,,,,00894960620fa.jpg,,,,,1.224,4,,,,,,,1550778894.729725,1550778896.730863,
47,2,Memory,0,,,,,,,00581940928fa.jpg,,,,,1.189,4,,,,,,,1550778897.98331,1550778900.214436,
48,2,Memory,0,,,,,,,sunbwdrdvsweerwsdrj.jpg,,,,,1.909,1,,,,,,,1550778901.497227,1550778903.615973,
49,2,Memory,0,,,,,,,00115931230fa.jpg,,,,,1.316,4,,,,,,,1550778904.904542,1550778906.919036,
