,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
60,327,Memory,1,,,,,,,00864940307fa.jpg,,,,,1.851,1.0,,,,,,,1553697464.299786,1553697466.353517,
61,327,Memory,1,,,,,,,00857940307fa.jpg,,,,,0.0,,,,,,,,1553697467.683748,1553697469.671866,
62,327,Memory,1,,,,,,,sunacvbrcejzwmcgnoq.jpg,,,,,1.482,1.0,,,,,,,1553697470.968033,1553697472.947395,
63,327,Memory,1,,,,,,,00112931230fa.jpg,,,,,1.238,1.0,,,,,,,1553697474.236165,1553697476.232146,
64,327,Memory,1,,,,,,,sunagmwxxwymwojbvgi.jpg,,,,,1.071,1.0,,,,,,,1553697477.504238,1553697479.507825,
65,327,Memory,1,,,,,,,00787941205fa.jpg,,,,,1.352,1.0,,,,,,,1553697480.783027,1553697482.785499,
66,327,Memory,1,,,,,,,sunagwswhkvnsmuszlz.jpg,,,,,1.858,2.0,,,,,,,1553697484.035141,1553697486.034599,
67,327,Memory,1,,,,,,,00562941031fa.jpg,,,,,1.269,2.0,,,,,,,1553697487.306965,1553697489.302707,
68,327,Memory,1,,,,,,,sunajawzbrlrwafowen.jpg,,,,,0.916,2.0,,,,,,,1553697490.574252,1553697492.559634,
69,327,Memory,1,,,,,,,sunaletopenvvozhpxc.jpg,,,,,1.374,2.0,,,,,,,1553697493.820956,1553697495.837943,
70,327,Memory,1,,,,,,,sunahuynahneraqftyz.jpg,,,,,1.739,2.0,,,,,,,1553697497.108934,1553697499.090301,
71,327,Memory,1,,,,,,,00271940422fa.jpg,,,,,1.357,3.0,,,,,,,1553697500.36202,1553697502.340785,
72,327,Memory,1,,,,,,,00905960530fa.jpg,,,,,1.358,3.0,,,,,,,1553697503.612626,1553697505.660791,
73,327,Memory,1,,,,,,,00768941205fa.jpg,,,,,1.286,2.0,,,,,,,1553697506.963828,1553697508.99268,
74,327,Memory,1,,,,,,,00901960530fa.jpg,,,,,1.002,2.0,,,,,,,1553697510.242985,1553697512.229609,
75,327,Memory,1,,,,,,,sunafpfpiiujzoesnqg.jpg,,,,,1.567,1.0,,,,,,,1553697513.499513,1553697515.479682,
76,327,Memory,1,,,,,,,sunaakjaacuzulqckgl.jpg,,,,,1.121,1.0,,,,,,,1553697516.766512,1553697518.766153,
77,327,Memory,1,,,,,,,sunabmbnddafmywtjjj.jpg,,,,,0.739,1.0,,,,,,,1553697520.084859,1553697522.09616,
78,327,Memory,1,,,,,,,sunanmoqeyprjjjfxjt.jpg,,,,,0.0,,,,,,,,1553697523.34718,1553697525.334391,
79,327,Memory,1,,,,,,,sunaiwfobocrruqznsv.jpg,,,,,1.515,1.0,,,,,,,1553697526.637125,1553697528.649624,
80,327,Memory,1,,,,,,,sunammbnoambmhdxdwd.jpg,,,,,1.156,4.0,,,,,,,1553697529.899296,1553697531.88606,
81,327,Memory,1,,,,,,,00804960530fa.jpg,,,,,1.324,2.0,,,,,,,1553697533.149326,1553697535.135125,
82,327,Memory,1,,,,,,,00574940928fa.jpg,,,,,1.155,2.0,,,,,,,1553697536.4068,1553697538.404792,
83,327,Memory,1,,,,,,,sunarpsxqkduedrrzyi.jpg,,,,,1.34,2.0,,,,,,,1553697539.691631,1553697541.688242,
84,327,Memory,1,,,,,,,sunathzzbcwjykldrem.jpg,,,,,1.551,2.0,,,,,,,1553697542.974989,1553697544.954366,
85,327,Memory,1,,,,,,,sunanwjjyqqwzqrqagd.jpg,,,,,1.756,2.0,,,,,,,1553697546.242405,1553697548.22207,
86,327,Memory,1,,,,,,,00952960627fa.jpg,,,,,1.408,2.0,,,,,,,1553697549.477269,1553697551.48981,
87,327,Memory,1,,,,,,,00978960627fa.jpg,,,,,0.967,2.0,,,,,,,1553697552.794495,1553697554.7783,
88,327,Memory,1,,,,,,,00620940928fa.jpg,,,,,0.719,2.0,,,,,,,1553697556.045336,1553697558.03247,
89,327,Memory,1,,,,,,,00943960627fa.jpg,,,,,0.689,2.0,,,,,,,1553697559.313971,1553697561.309332,
90,327,Memory,1,,,,,,,sunafkmnlytenlsywia.jpg,,,,,1.121,4.0,,,,,,,1553697562.597278,1553697564.578046,
91,327,Memory,1,,,,,,,sunaydywdmvlfddbxbk.jpg,,,,,1.97,1.0,,,,,,,1553697565.916284,1553697567.950853,
92,327,Memory,1,,,,,,,00772941201fa.jpg,,,,,1.305,2.0,,,,,,,1553697569.233626,1553697571.213234,
93,327,Memory,1,,,,,,,00908960530fa.jpg,,,,,0.572,2.0,,,,,,,1553697572.462534,1553697574.447549,
94,327,Memory,1,,,,,,,00889960530fa.jpg,,,,,0.658,2.0,,,,,,,1553697575.718734,1553697577.701562,
95,327,Memory,1,,,,,,,00965960627fa.jpg,,,,,0.503,2.0,,,,,,,1553697578.987001,1553697580.967781,
96,327,Memory,1,,,,,,,sunacypmnujalygkunp.jpg,,,,,1.258,2.0,,,,,,,1553697582.270352,1553697584.250932,
97,327,Memory,1,,,,,,,sunacjnahdmqfnjfwqx.jpg,,,,,0.0,,,,,,,,1553697585.517152,1553697587.572582,
98,327,Memory,1,,,,,,,sunbddbivbptlrlauhy.jpg,,,,,0.0,,,,,,,,1553697588.856317,1553697590.840008,
99,327,Memory,1,,,,,,,00828940307fa.jpg,,,,,1.239,1.0,,,,,,,1553697592.085626,1553697594.070477,
