Button,Time
"[['2', 178.7894251346588]]",1551194596.258746
"[['4', 184.78926706314087]]",1551194602.268539
"[['3', 205.5775020122528]]",1551194922.58956
"[['3', 66.00957298278809]]",1551195406.514357
"[['3', 203.89889001846313]]",1551195545.059282
"[['4', 168.37247800827026], ['4', 169.0043911933899], ['4', 169.23070812225342]]",1551195825.37151
"[['4', 183.20584416389465]]",1551195838.878499
"[['1', 38.17061185836792], ['3', 38.30573582649231]]",1551196125.815061
"[['4', 212.16946387290955]]",1551196299.687977
"[['1', 70.43773412704468]]",1551196451.522201
"[['1', 147.1152060031891]]",1551196527.833847
"[['3', 153.28335809707642], ['4', 153.54095816612244], ['3', 153.86828899383545], ['4', 154.14896512031555]]",1551196534.502393
"[['3', 154.46501803398132]]",1551196534.781414
"[['1', 189.2943799495697]]",1551196570.714344
"[['4', 193.83430910110474]]",1551196574.165647
"[['1', 196.6655261516571]]",1551196577.433494
"[['q', 202.48230004310608], ['q', 203.2729160785675]]",1551196584.135981
"[['1', 203.98196005821228]]",1551196584.314594
