,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
60,2,Memory,1,,,,,,,00854940307fa.jpg,,,,,0.0,,,,,,,,1537986445.980458,1537986448.126406,
61,2,Memory,1,,,,,,,00925960627fa.jpg,,,,,1.566,2.0,,,,,,,1537986449.465658,1537986451.718221,
62,2,Memory,1,,,,,,,sunanainkqdvktzoxyl.jpg,,,,,1.959,2.0,,,,,,,1537986453.015995,1537986455.196502,
63,2,Memory,1,,,,,,,sunaafjszryxyavjzln.jpg,,,,,1.068,4.0,,,,,,,1537986456.483614,1537986458.563963,
64,2,Memory,1,,,,,,,sunajwqkfsykceonyig.jpg,,,,,1.39,2.0,,,,,,,1537986459.851484,1537986461.830521,
65,2,Memory,1,,,,,,,00264940128fb.jpg,,,,,1.033,3.0,,,,,,,1537986463.118724,1537986465.182968,
66,2,Memory,1,,,,,,,01002960627fb.jpg,,,,,1.372,2.0,,,,,,,1537986466.487717,1537986468.516936,
67,2,Memory,1,,,,,,,sunalkiibhqpxfamlll.jpg,,,,,1.642,2.0,,,,,,,1537986469.771262,1537986471.906855,
68,2,Memory,1,,,,,,,00805941205fa.jpg,,,,,1.956,2.0,,,,,,,1537986473.190283,1537986475.202306,
69,2,Memory,1,,,,,,,00313940422fa.jpg,,,,,0.0,,,,,,,,1537986476.475572,1537986478.522398,
70,2,Memory,1,,,,,,,sunapqwnqzxlsfvgsjm.jpg,,,,,0.0,,,,,,,,1537986479.807727,1537986481.937445,
71,2,Memory,1,,,,,,,00193940928fa.jpg,,,,,1.202,4.0,,,,,,,1537986483.260666,1537986485.355917,
72,2,Memory,1,,,,,,,sunadakkdovnuzlycvp.jpg,,,,,1.457,2.0,,,,,,,1537986486.62691,1537986488.689922,
73,2,Memory,1,,,,,,,sunaaxjpzcnxligjtjq.jpg,,,,,1.386,3.0,,,,,,,1537986489.978311,1537986492.023798,
74,2,Memory,1,,,,,,,sunaiwduelojtwaqeyh.jpg,,,,,0.0,,,,,,,,1537986493.279354,1537986495.325347,
75,2,Memory,1,,,,,,,sunaffgsyyvoqdlkmnk.jpg,,,,,1.183,4.0,,,,,,,1537986496.597471,1537986498.643675,
76,2,Memory,1,,,,,,,00878960530fa.jpg,,,,,1.431,1.0,,,,,,,1537986499.948608,1537986501.960326,
77,2,Memory,1,,,,,,,00969960627fa.jpg,,,,,1.291,2.0,,,,,,,1537986503.233759,1537986505.262773,
78,2,Memory,1,,,,,,,00730960620fa.jpg,,,,,1.258,2.0,,,,,,,1537986506.532731,1537986508.615105,
79,2,Memory,1,,,,,,,00903960620fa.jpg,,,,,0.933,1.0,,,,,,,1537986509.885302,1537986511.870101,
80,2,Memory,1,,,,,,,sunabqowuarvqqcnipn.jpg,,,,,1.292,4.0,,,,,,,1537986513.169737,1537986515.21588,
81,2,Memory,1,,,,,,,sunaekgzpfilgjxpeyq.jpg,,,,,1.191,4.0,,,,,,,1537986516.487468,1537986518.573348,
82,2,Memory,1,,,,,,,sunagwzdbtlixdhgolm.jpg,,,,,1.024,2.0,,,,,,,1537986519.871732,1537986521.934197,
83,2,Memory,1,,,,,,,00988960627fa.jpg,,,,,1.106,2.0,,,,,,,1537986523.223416,1537986525.210217,
84,2,Memory,1,,,,,,,00630940928fa.jpg,,,,,0.936,3.0,,,,,,,1537986526.507138,1537986528.491439,
85,2,Memory,1,,,,,,,sunaczwgyukesaajxnx.jpg,,,,,1.038,2.0,,,,,,,1537986529.775407,1537986531.778586,
86,2,Memory,1,,,,,,,sunbaoizrfijvhpnnjn.jpg,,,,,1.292,4.0,,,,,,,1537986533.058486,1537986535.05674,
87,2,Memory,1,,,,,,,sunabwjvmoaddlyxfjr.jpg,,,,,1.458,1.0,,,,,,,1537986536.343639,1537986538.45731,
88,2,Memory,1,,,,,,,00080931230fb.jpg,,,,,1.382,2.0,,,,,,,1537986539.727556,1537986541.730631,
89,2,Memory,1,,,,,,,00876960620fa.jpg,,,,,1.492,2.0,,,,,,,1537986543.012092,1537986545.075319,
90,2,Memory,1,,,,,,,sunakgbnzxmfohgehnu.jpg,,,,,1.433,2.0,,,,,,,1537986546.341345,1537986548.377334,
91,2,Memory,1,,,,,,,sunaazzyhbvqjpmazjq.jpg,,,,,1.554,2.0,,,,,,,1537986549.648537,1537986551.710493,
92,2,Memory,1,,,,,,,00891960530fa.jpg,,,,,1.855,2.0,,,,,,,1537986553.015741,1537986555.128434,
