,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
35805,"{'x': 1017.3658, 'y': 564.9557}",True,"{'avg': {'x': 1009.1506, 'y': 584.2366}, 'pcenter': {'x': 0.4747, 'y': 0.3884}, 'psize': 32.1689, 'raw': {'x': 995.9968, 'y': 555.1315}}","{'x': 1010.986, 'y': 570.5798}","{'avg': {'x': 1024.9758, 'y': 590.2528}, 'pcenter': {'x': 0.6227, 'y': 0.4074}, 'psize': 30.1204, 'raw': {'x': 1025.9752, 'y': 586.0281}}",7,550939816,1538149231.784,1025.9752,586.0281,995.9968,555.1315,1010.9860000000001,570.5798,06,19,1,/sustain,0.0,3
35806,"{'x': 1017.2448, 'y': 567.2303}",True,"{'avg': {'x': 1007.5859, 'y': 585.0096}, 'pcenter': {'x': 0.4747, 'y': 0.3887}, 'psize': 32.7335, 'raw': {'x': 990.1582, 'y': 591.3217}}","{'x': 1012.3034, 'y': 605.3941}","{'avg': {'x': 1025.6824, 'y': 592.7934}, 'pcenter': {'x': 0.6227, 'y': 0.4075}, 'psize': 30.1916, 'raw': {'x': 1034.4486, 'y': 619.4665}}",7,550939849,1538149231.817,1034.4486,619.4665,990.1582,591.3217,1012.3034,605.3941,06,19,1,/sustain,0.0,3
35807,"{'x': 1017.0581, 'y': 569.506}",True,"{'avg': {'x': 1007.5746, 'y': 585.8083}, 'pcenter': {'x': 0.4747, 'y': 0.3887}, 'psize': 31.9099, 'raw': {'x': 1008.0778, 'y': 592.848}}","{'x': 1029.3328, 'y': 609.2772}","{'avg': {'x': 1027.277, 'y': 596.1163}, 'pcenter': {'x': 0.6227, 'y': 0.4075}, 'psize': 30.3606, 'raw': {'x': 1050.5878, 'y': 625.7065}}",7,550939893,1538149231.861,1050.5878,625.7065,1008.0778,592.848,1029.3328000000001,609.27725,06,19,1,/sustain,0.0,3
35808,"{'x': 1017.2683, 'y': 571.9659}",True,"{'avg': {'x': 1008.1625, 'y': 587.6015}, 'pcenter': {'x': 0.4747, 'y': 0.3889}, 'psize': 32.8392, 'raw': {'x': 1016.044, 'y': 607.2949}}","{'x': 1027.7106, 'y': 592.7968}","{'avg': {'x': 1028.349, 'y': 596.3339}, 'pcenter': {'x': 0.6226, 'y': 0.4071}, 'psize': 29.9125, 'raw': {'x': 1039.3771, 'y': 578.2986}}",7,550939927,1538149231.895,1039.3771,578.2986,1016.044,607.2949,1027.71055,592.79675,06,19,1,/sustain,0.0,3
35809,"{'x': 1017.3738, 'y': 574.3923}",True,"{'avg': {'x': 1005.5383, 'y': 587.5276}, 'pcenter': {'x': 0.4744, 'y': 0.3885}, 'psize': 32.4056, 'raw': {'x': 972.1241, 'y': 583.6154}}","{'x': 1001.7522, 'y': 609.8336}","{'avg': {'x': 1028.2542, 'y': 600.0484}, 'pcenter': {'x': 0.6225, 'y': 0.4074}, 'psize': 30.2659, 'raw': {'x': 1031.3802, 'y': 636.0518}}",7,550939960,1538149231.928,1031.3802,636.0518,972.1241,583.6154,1001.75215,609.8335999999999,06,19,1,/sustain,0.0,3
35810,"{'x': 1017.0023, 'y': 576.4706}",True,"{'avg': {'x': 1005.1924, 'y': 586.615}, 'pcenter': {'x': 0.4745, 'y': 0.3885}, 'psize': 32.4982, 'raw': {'x': 1002.1795, 'y': 571.8307}}","{'x': 1009.5175, 'y': 610.6676}","{'avg': {'x': 1027.5531, 'y': 604.352}, 'pcenter': {'x': 0.6224, 'y': 0.4076}, 'psize': 30.9565, 'raw': {'x': 1016.8555, 'y': 649.5045}}",7,550940003,1538149231.971,1016.8555,649.5045,1002.1795,571.8307,1009.5174999999999,610.6676,06,19,1,/sustain,0.0,3
35811,"{'x': 1016.7352, 'y': 578.6551}",True,"{'avg': {'x': 1004.9827, 'y': 586.8079}, 'pcenter': {'x': 0.4746, 'y': 0.3886}, 'psize': 33.0686, 'raw': {'x': 1003.7772, 'y': 587.6464}}","{'x': 1014.8854, 'y': 615.3918}","{'avg': {'x': 1027.1448, 'y': 608.606}, 'pcenter': {'x': 0.6225, 'y': 0.4075}, 'psize': 30.6842, 'raw': {'x': 1025.9937, 'y': 643.1372}}",7,550940037,1538149232.005,1025.9937,643.1372,1003.7772,587.6464,1014.88545,615.3918,06,19,1,/sustain,0.0,3
35812,"{'x': 1016.7913, 'y': 581.1553}",True,"{'avg': {'x': 1006.4478, 'y': 588.291}, 'pcenter': {'x': 0.4747, 'y': 0.3887}, 'psize': 33.1434, 'raw': {'x': 1028.9055, 'y': 607.6613}}","{'x': 1017.1255, 'y': 626.4543}","{'avg': {'x': 1026.0612, 'y': 612.4111}, 'pcenter': {'x': 0.6224, 'y': 0.4075}, 'psize': 30.8898, 'raw': {'x': 1005.3456, 'y': 645.2474}}",7,550940071,1538149232.039,1005.3456,645.2474,1028.9055,607.6613,1017.12555,626.45435,06,19,1,/sustain,0.0,3
35813,"{'x': 1016.8284, 'y': 583.6436}",True,"{'avg': {'x': 1004.1644, 'y': 587.9912}, 'pcenter': {'x': 0.4744, 'y': 0.3886}, 'psize': 32.8806, 'raw': {'x': 971.6396, 'y': 581.3487}}","{'x': 1008.4712, 'y': 615.7799}","{'avg': {'x': 1027.0645, 'y': 616.1528}, 'pcenter': {'x': 0.6226, 'y': 0.4076}, 'psize': 31.538, 'raw': {'x': 1045.3027, 'y': 650.2111}}",7,550940114,1538149232.082,1045.3027,650.2111,971.6396,581.3487,1008.47115,615.7799,06,19,1,/sustain,0.0,3
35814,"{'x': 1016.4498, 'y': 585.9681}",True,"{'avg': {'x': 1005.4573, 'y': 590.4474}, 'pcenter': {'x': 0.4746, 'y': 0.389}, 'psize': 33.9441, 'raw': {'x': 1026.7162, 'y': 625.1657}}","{'x': 1016.0963, 'y': 622.2803}","{'avg': {'x': 1024.9404, 'y': 618.6732}, 'pcenter': {'x': 0.6223, 'y': 0.4074}, 'psize': 30.9223, 'raw': {'x': 1005.4765, 'y': 619.395}}",7,550940148,1538149232.116,1005.4765,619.395,1026.7162,625.1657,1016.09635,622.28035,06,19,1,/sustain,0.0,3
