,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
100,6,Presentation,2,00144931230fb_sunaathajvxrgptwhoj.jpg,00635941031fa_sunaddsaeicthrfbkhe.jpg,00144931230fb.jpg,sunaathajvxrgptwhoj.jpg,00635941031fa.jpg,sunaddsaeicthrfbkhe.jpg,,,<,Place,0.7512309551239014,,,,1.0,,,3,,1538148952.974236,1538148956.008101,o
101,6,Presentation,2,00970960627fa_sunbasypfgzjtomktmu.jpg,00947960627fa_sunasmmcxdddtmtazwx.jpg,00970960627fa.jpg,sunbasypfgzjtomktmu.jpg,00947960627fa.jpg,sunasmmcxdddtmtazwx.jpg,,,<,Place,0.5351598262786865,,,,1.0,,,3,,1538148957.992248,1538148960.975639,o
102,6,Presentation,2,00126931230fb_sunaamdjwemxpmmtypi.jpg,00061931230fb_sunaaekxzjzrfgtkwjf.jpg,00126931230fb.jpg,sunaamdjwemxpmmtypi.jpg,00061931230fb.jpg,sunaaekxzjzrfgtkwjf.jpg,,,<,Place,0.6172471046447754,,,,1.0,,,3,,1538148962.759447,1538148965.743949,o
103,6,Presentation,2,00762941201fa_sunafgzgbisbopcyslr.jpg,00997960627fa_sunbtpilbhhbmhmeuzq.jpg,00762941201fa.jpg,sunafgzgbisbopcyslr.jpg,00997960627fa.jpg,sunbtpilbhhbmhmeuzq.jpg,,,<,Place,0.43436503410339355,,,,1.0,,,3,,1538148967.577676,1538148970.562812,o
104,6,Presentation,2,00925960627fa_sunapqwnqzxlsfvgsjm.jpg,00870940307fa_sunajrgtewnualfcerj.jpg,00925960627fa.jpg,sunapqwnqzxlsfvgsjm.jpg,00870940307fa.jpg,sunajrgtewnualfcerj.jpg,,,<,Place,0.519122838973999,,,,1.0,,,3,,1538148972.229939,1538148975.214371,o
105,6,Presentation,2,01003960627fb_sunbwdrdvsweerwsdrj.jpg,00922960627fa_sunapqkyghktgtosuuk.jpg,01003960627fb.jpg,sunbwdrdvsweerwsdrj.jpg,00922960627fa.jpg,sunapqkyghktgtosuuk.jpg,,,<,Place,0.43488597869873047,,,,1.0,,,1,,1538148976.964506,1538148979.948473,x
106,6,Presentation,2,00571940928fa_sunacuatpqpqhyjhjqk.jpg,00778941205fa_sunagcthdfirrcawoic.jpg,00571940928fa.jpg,sunacuatpqpqhyjhjqk.jpg,00778941205fa.jpg,sunagcthdfirrcawoic.jpg,,,<,Place,0.651810884475708,,,,1.0,,,3,,1538148981.599561,1538148984.58464,o
107,6,Presentation,2,00208940128fa_sunaazzyhbvqjpmazjq.jpg,00903960620fa_sunanainkqdvktzoxyl.jpg,00208940128fa.jpg,sunaazzyhbvqjpmazjq.jpg,00903960620fa.jpg,sunanainkqdvktzoxyl.jpg,,,<,Place,0.7020828723907471,,,,1.0,,,3,,1538148986.449967,1538148989.434991,o
108,6,Presentation,2,00071941031fa_sunaaexqbtdswxrqjvz.jpg,00761960627fa_sunafgdqbclkwfocdhg.jpg,00071941031fa.jpg,sunaaexqbtdswxrqjvz.jpg,00761960627fa.jpg,sunafgdqbclkwfocdhg.jpg,,,<,Place,0.5010409355163574,,,,1.0,,,3,,1538148991.352034,1538148994.337152,o
109,6,Presentation,2,00288940422fa_sunabppokiyglaxpcha.jpg,00803941205fa_sunagvxkjokqimstxpe.jpg,00288940422fa.jpg,sunabppokiyglaxpcha.jpg,00803941205fa.jpg,sunagvxkjokqimstxpe.jpg,,,<,Place,0.7679088115692139,,,,1.0,,,1,,1538148996.054257,1538148999.038443,x
