,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
7303,"{'x': 969.9929, 'y': 593.6154}",True,"{'avg': {'x': 918.5133, 'y': 596.534}, 'pcenter': {'x': 0.3964, 'y': 0.4026}, 'psize': 35.1897, 'raw': {'x': 918.3989, 'y': 636.3136}}","{'x': 971.4786, 'y': 604.5267}","{'avg': {'x': 1014.086, 'y': 578.0661}, 'pcenter': {'x': 0.5471, 'y': 0.3974}, 'psize': 34.9326, 'raw': {'x': 1024.5583, 'y': 572.7397}}",7,979565889,1538577857.857,1024.5583,572.7397,918.3989,636.3136,971.4785999999999,604.52665,08,17,1,/sustain,0,3
7304,"{'x': 968.6772, 'y': 593.015}",True,"{'avg': {'x': 918.6729, 'y': 597.7081}, 'pcenter': {'x': 0.3978, 'y': 0.4027}, 'psize': 34.9134, 'raw': {'x': 920.2748, 'y': 609.3638}}","{'x': 970.5939, 'y': 600.008}","{'avg': {'x': 1014.6028, 'y': 578.925}, 'pcenter': {'x': 0.5484, 'y': 0.399}, 'psize': 34.8776, 'raw': {'x': 1020.9129, 'y': 590.6522}}",7,979565933,1538577857.901,1020.9129,590.6522,920.2748,609.3638,970.59385,600.008,08,17,1,/sustain,0,3
7305,"{'x': 965.8673, 'y': 590.5249}",True,"{'avg': {'x': 919.9, 'y': 599.8366}, 'pcenter': {'x': 0.3988, 'y': 0.4028}, 'psize': 35.0489, 'raw': {'x': 935.7464, 'y': 624.3984}}","{'x': 985.1555, 'y': 609.4149}","{'avg': {'x': 1016.0077, 'y': 579.9882}, 'pcenter': {'x': 0.5493, 'y': 0.3996}, 'psize': 35.2176, 'raw': {'x': 1034.5646, 'y': 594.4315}}",7,979565966,1538577857.934,1034.5646,594.4315,935.7464,624.3984,985.1555,609.4149500000001,08,17,1,/sustain,0,3
7306,"{'x': 963.0966, 'y': 589.0889}",True,"{'avg': {'x': 919.4184, 'y': 601.4225}, 'pcenter': {'x': 0.3983, 'y': 0.4044}, 'psize': 35.2956, 'raw': {'x': 911.6293, 'y': 618.5601}}","{'x': 974.2264, 'y': 609.0437}","{'avg': {'x': 1017.4799, 'y': 581.3282}, 'pcenter': {'x': 0.5488, 'y': 0.3999}, 'psize': 35.1582, 'raw': {'x': 1036.8236, 'y': 599.5273}}",7,979565999,1538577857.967,1036.8236,599.5273,911.6293,618.5601,974.2264499999999,609.0437,08,17,1,/sustain,0,3
7307,"{'x': 962.5573, 'y': 587.9658}",True,"{'avg': {'x': 919.7952, 'y': 603.1491}, 'pcenter': {'x': 0.3969, 'y': 0.4067}, 'psize': 34.9059, 'raw': {'x': 924.3182, 'y': 622.3612}}","{'x': 976.9692, 'y': 606.6632}","{'avg': {'x': 1018.4081, 'y': 582.0486}, 'pcenter': {'x': 0.5471, 'y': 0.3997}, 'psize': 35.1043, 'raw': {'x': 1029.6201, 'y': 590.9652}}",7,979566044,1538577858.012,1029.6201,590.9652,924.3182,622.3612,976.9691500000001,606.6632,08,17,1,/sustain,0,3
7308,"{'x': 959.6904, 'y': 588.7073}",True,"{'avg': {'x': 920.7653, 'y': 605.9437}, 'pcenter': {'x': 0.3957, 'y': 0.4088}, 'psize': 35.0447, 'raw': {'x': 933.8759, 'y': 640.6826}}","{'x': 977.9587, 'y': 635.0974}","{'avg': {'x': 1018.8063, 'y': 585.1611}, 'pcenter': {'x': 0.5455, 'y': 0.3996}, 'psize': 35.1162, 'raw': {'x': 1022.0416, 'y': 629.5122}}",7,979566078,1538577858.046,1022.0416,629.5122,933.8759,640.6826,977.95875,635.0974,08,17,1,/sustain,0,3
7309,"{'x': 958.9657, 'y': 589.5619}",True,"{'avg': {'x': 921.199, 'y': 607.8154}, 'pcenter': {'x': 0.3949, 'y': 0.4096}, 'psize': 34.9447, 'raw': {'x': 926.1113, 'y': 628.4824}}","{'x': 975.95, 'y': 618.9769}","{'avg': {'x': 1019.4327, 'y': 587.1459}, 'pcenter': {'x': 0.5445, 'y': 0.3989}, 'psize': 35.1057, 'raw': {'x': 1025.7886, 'y': 609.4715}}",7,979566112,1538577858.08,1025.7886,609.4715,926.1113,628.4824,975.9499500000001,618.97695,08,17,1,/sustain,0,3
7310,"{'x': 959.2696, 'y': 591.1024}",True,"{'avg': {'x': 676.1614, 'y': 580.8607}, 'pcenter': {'x': 0.3918, 'y': 0.4094}, 'psize': 34.9086, 'raw': {'x': 676.1614, 'y': 580.8607}}","{'x': 741.1757, 'y': 589.2937}","{'avg': {'x': 806.1899, 'y': 597.7267}, 'pcenter': {'x': 0.5413, 'y': 0.3977}, 'psize': 34.4229, 'raw': {'x': 806.1899, 'y': 597.7267}}",7,979566157,1538577858.125,806.1899,597.7267,676.1614,580.8607,741.1756499999999,589.2937,08,17,1,/sustain,0,3
7311,"{'x': 700.3568, 'y': 604.9729}",False,"{'avg': {'x': 643.7495, 'y': 577.7944}, 'pcenter': {'x': 0.3914, 'y': 0.4085}, 'psize': 34.6664, 'raw': {'x': 643.7495, 'y': 577.7944}}","{'x': 700.3568, 'y': 604.9729}","{'avg': {'x': 756.9641, 'y': 632.1514}, 'pcenter': {'x': 0.5408, 'y': 0.3973}, 'psize': 34.6552, 'raw': {'x': 756.9641, 'y': 632.1514}}",7,979566192,1538577858.16,756.9641,632.1514,643.7495,577.7944,700.3568,604.9729,08,17,1,/sustain,0,3
7312,"{'x': 697.1946, 'y': 593.2667}",False,"{'avg': {'x': 640.3908, 'y': 567.1162}, 'pcenter': {'x': 0.3918, 'y': 0.4067}, 'psize': 33.9936, 'raw': {'x': 637.0406, 'y': 556.4651}}","{'x': 694.0406, 'y': 581.5901}","{'avg': {'x': 753.9986, 'y': 619.4171}, 'pcenter': {'x': 0.5416, 'y': 0.3967}, 'psize': 34.5604, 'raw': {'x': 751.0405, 'y': 606.7151}}",7,979566226,1538577858.194,751.0405,606.7151,637.0406,556.4651,694.0405499999999,581.5901,08,17,1,/sustain,0,3
