,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
32384,"{'x': 1142.9868, 'y': 268.7304}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.0, 'y': 0.0}, 'psize': 0.0, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 1249.2285, 'y': 162.8125}","{'avg': {'x': 1103.5325, 'y': 289.0341}, 'pcenter': {'x': 0.5205, 'y': 0.4916}, 'psize': 41.5292, 'raw': {'x': 1249.2285, 'y': 162.8125}}",7,295306668,1537893598.636,1249.2285,162.8125,0.0,0.0,624.61425,81.40625,00,13,1,/sustain,0.0,3
32385,"{'x': 1148.069, 'y': 267.8109}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.0, 'y': 0.0}, 'psize': 0.0, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 1343.879, 'y': 191.6225}","{'avg': {'x': 1164.0997, 'y': 264.4596}, 'pcenter': {'x': 0.5205, 'y': 0.4921}, 'psize': 41.5131, 'raw': {'x': 1343.879, 'y': 191.6225}}",7,295306712,1537893598.68,1343.879,191.6225,0.0,0.0,671.9395,95.81125,00,13,1,/sustain,0.0,3
32386,"{'x': 417.5609, 'y': 299.9304}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.0, 'y': 0.0}, 'psize': 0.0, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 1374.9482, 'y': 221.596}","{'avg': {'x': 1374.9482, 'y': 221.596}, 'pcenter': {'x': 0.5204, 'y': 0.4925}, 'psize': 42.2836, 'raw': {'x': 1374.9482, 'y': 221.596}}",7,295306746,1537893598.714,1374.9482,221.596,0.0,0.0,687.4741,110.798,00,13,1,/sustain,0.0,3
32387,"{'x': 1200.9407, 'y': 188.8191}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.0, 'y': 0.0}, 'psize': 0.0, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 1200.9407, 'y': 188.8191}","{'avg': {'x': 1200.9407, 'y': 188.8191}, 'pcenter': {'x': 0.5202, 'y': 0.492}, 'psize': 41.4657, 'raw': {'x': 1200.9407, 'y': 188.8191}}",7,295306779,1537893598.747,1200.9407,188.8191,0.0,0.0,600.47035,94.40955,00,13,1,/sustain,0.0,3
32388,"{'x': 1238.963, 'y': 210.5484}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.3788, 'y': 0.4935}, 'psize': 26.8226, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 1352.6428, 'y': 275.515}","{'avg': {'x': 1276.8885, 'y': 232.2223}, 'pcenter': {'x': 0.5202, 'y': 0.4931}, 'psize': 43.223, 'raw': {'x': 1352.6428, 'y': 275.515}}",7,295306823,1537893598.791,1352.6428,275.515,0.0,0.0,676.3214,137.7575,00,13,1,/sustain,0.0,3
32389,"{'x': 1252.5424, 'y': 210.2471}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.0, 'y': 0.0}, 'psize': 0.0, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 1283.8142, 'y': 164.2384}","{'avg': {'x': 1279.3357, 'y': 209.5383}, 'pcenter': {'x': 0.5205, 'y': 0.4918}, 'psize': 41.4935, 'raw': {'x': 1283.8142, 'y': 164.2384}}",7,295306858,1537893598.826,1283.8142,164.2384,0.0,0.0,641.9071,82.1192,00,13,1,/sustain,0.0,3
32390,"{'x': 1211.6627, 'y': 241.5651}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.3827, 'y': 0.485}, 'psize': 12.5541, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 528.5865, 'y': 704.3231}","{'avg': {'x': 1090.0773, 'y': 334.307}, 'pcenter': {'x': 0.514, 'y': 0.4951}, 'psize': 27.0737, 'raw': {'x': 528.5865, 'y': 704.3231}}",7,295306891,1537893598.859,528.5865,704.3231,0.0,0.0,264.29325,352.16155,00,13,1,/sustain,0.0,3
32391,"{'x': 370.1313, 'y': 341.8766}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.3831, 'y': 0.4845}, 'psize': 14.9776, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 518.8137, 'y': 726.7189}","{'avg': {'x': 518.8137, 'y': 726.7189}, 'pcenter': {'x': 0.514, 'y': 0.4952}, 'psize': 27.4204, 'raw': {'x': 518.8137, 'y': 726.7189}}",7,295306936,1537893598.904,518.8137,726.7189,0.0,0.0,259.40685,363.35945,00,13,1,/sustain,0.0,3
32392,"{'x': 493.5264, 'y': 685.8743}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.0, 'y': 0.0}, 'psize': 0.0, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 493.5264, 'y': 685.8743}","{'avg': {'x': 493.5264, 'y': 685.8743}, 'pcenter': {'x': 0.5139, 'y': 0.4949}, 'psize': 26.8518, 'raw': {'x': 493.5264, 'y': 685.8743}}",7,295306969,1537893598.937,493.5264,685.8743,0.0,0.0,246.7632,342.93715,00,13,1,/sustain,0.0,3
32393,"{'x': 466.7301, 'y': 609.1467}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.0, 'y': 0.0}, 'psize': 0.0, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 386.6143, 'y': 379.7452}","{'avg': {'x': 440.0022, 'y': 532.6145}, 'pcenter': {'x': 0.5139, 'y': 0.4927}, 'psize': 24.1452, 'raw': {'x': 386.6143, 'y': 379.7452}}",7,295307003,1537893598.971,386.6143,379.7452,0.0,0.0,193.30715,189.8726,00,13,1,/sustain,0.0,3
32394,"{'x': 0.0, 'y': 0.0}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.3834, 'y': 0.4847}, 'psize': 10.2625, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 0.0, 'y': 0.0}","{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.5135, 'y': 0.4945}, 'psize': 28.421, 'raw': {'x': 0.0, 'y': 0.0}}",4,295307047,1537893599.015,0.0,0.0,0.0,0.0,0.0,0.0,00,13,1,/sustain,0.0,3
32395,"{'x': 499.3276, 'y': 544.2261}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.0, 'y': 0.0}, 'psize': 0.0, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 811.4213, 'y': 183.8267}","{'avg': {'x': 564.2441, 'y': 415.5979}, 'pcenter': {'x': 0.517, 'y': 0.4917}, 'psize': 40.1568, 'raw': {'x': 811.4213, 'y': 183.8267}}",7,295307080,1537893599.048,811.4213,183.8267,0.0,0.0,405.71065,91.91335,00,13,1,/sustain,0.0,3
32396,"{'x': 509.8185, 'y': 525.2804}",False,"{'avg': {'x': 0.0, 'y': 0.0}, 'pcenter': {'x': 0.383, 'y': 0.4839}, 'psize': 8.281, 'raw': {'x': 0.0, 'y': 0.0}}","{'x': 468.7426, 'y': 635.6914}","{'avg': {'x': 540.5613, 'y': 470.475}, 'pcenter': {'x': 0.5138, 'y': 0.4944}, 'psize': 26.7298, 'raw': {'x': 468.7426, 'y': 635.6914}}",7,295307113,1537893599.081,468.7426,635.6914,0.0,0.0,234.3713,317.8457,00,13,1,/sustain,0.0,3
