,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
200,13,Presentation,4,00242940128fa_sunabcuurugvxwparpk.jpg,00214940128fa_sunabbafjowbzcvbucc.jpg,00242940128fa.jpg,sunabcuurugvxwparpk.jpg,00214940128fa.jpg,sunabbafjowbzcvbucc.jpg,,,<,Face,1.0182809829711914,,,,1.0,,,3,,1539183028.800272,1539183032.167251,o
201,13,Presentation,4,00931960627fa_sunaptrqvaooxfvktvw.jpg,00787960620fa_sunagoufulkpsxrmklt.jpg,00931960627fa.jpg,sunaptrqvaooxfvktvw.jpg,00787960620fa.jpg,sunagoufulkpsxrmklt.jpg,,,<,Face,1.1663930416107178,,,,1.0,,,3,,1539183034.518386,1539183037.869726,o
202,13,Presentation,4,00095931230fa_sunaahzooisqkwlxwoz.jpg,00878960530fa_sunakgbnzxmfohgehnu.jpg,00095931230fa.jpg,sunaahzooisqkwlxwoz.jpg,00878960530fa.jpg,sunakgbnzxmfohgehnu.jpg,,,<,Face,0.6868610382080078,,,,1.0,,,1,,1539183040.420564,1539183043.737124,x
203,13,Presentation,4,00887960530_sunalcrtwiycqobgelp.jpg,00787941205fa_sunagmwxxwymwojbvgi.jpg,00887960530.jpg,sunalcrtwiycqobgelp.jpg,00787941205fa.jpg,sunagmwxxwymwojbvgi.jpg,,,<,Face,0.8683838844299316,,,,1.0,,,1,,1539183045.822035,1539183049.155857,x
204,13,Presentation,4,00921960627fa_sunapqkpqdfvxlbqwyo.jpg,00481940519fa_sunabxsuqbleluwczoy.jpg,00921960627fa.jpg,sunapqkpqdfvxlbqwyo.jpg,00481940519fa.jpg,sunabxsuqbleluwczoy.jpg,,,<,Face,0.7010259628295898,,,,1.0,,,3,,1539183051.389191,1539183054.774498,o
205,13,Presentation,4,00280940422fb_sunabohxbskznglnrhv.jpg,00065931230fb_sunaaemixhfquhnxxlm.jpg,00280940422fb.jpg,sunabohxbskznglnrhv.jpg,00065931230fb.jpg,sunaaemixhfquhnxxlm.jpg,,,<,Face,0.7960309982299805,,,,1.0,,,1,,1539183056.842286,1539183060.125885,x
206,13,Presentation,4,00507940519fa_sunacacflqoyxhsqzhe.jpg,00828940307fa_sunahuynahneraqftyz.jpg,00507940519fa.jpg,sunacacflqoyxhsqzhe.jpg,00828940307fa.jpg,sunahuynahneraqftyz.jpg,,,<,Face,0.7351689338684082,,,,1.0,,,1,,1539183062.343862,1539183065.662093,x
207,13,Presentation,4,00559940519fa_sunacjkmnpawfzbyvae.jpg,00124931230fa_sunaalhlvzmjmitybdn.jpg,00559940519fa.jpg,sunacjkmnpawfzbyvae.jpg,00124931230fa.jpg,sunaalhlvzmjmitybdn.jpg,,,<,Face,0.7024459838867188,,,,1.0,,,1,,1539183067.745009,1539183071.080247,x
208,13,Presentation,4,00743941201fa_sunaeoghzrjarigmwua.jpg,00983960627fa_sunbfyvfqiimvdaxlqn.jpg,00743941201fa.jpg,sunaeoghzrjarigmwua.jpg,00983960627fa.jpg,sunbfyvfqiimvdaxlqn.jpg,,,<,Face,0.9164340496063232,,,,1.0,,,1,,1539183073.246533,1539183076.598882,x
209,13,Presentation,4,00908960530fa_sunanwjjyqqwzqrqagd.jpg,00789960620fa_sunagpancjmxqfazssf.jpg,00908960530fa.jpg,sunanwjjyqqwzqrqagd.jpg,00789960620fa.jpg,sunagpancjmxqfazssf.jpg,,,<,Face,1.4013209342956543,,,,1.0,,,3,,1539183078.948414,1539183082.266414,o
