,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
0,24,Presentation,0,01005960627fa_sunbwyuesflwdpqtgoy.jpg,00993960627fa_sunbprywzqxjcezkbch.jpg,01005960627fa.jpg,sunbwyuesflwdpqtgoy.jpg,00993960627fa.jpg,sunbprywzqxjcezkbch.jpg,,,>,Face,,,,,1,,,,,,,o
1,24,Presentation,0,00747941201fa_sunaeutbrtswvsozxyk.jpg,00950960627fa_sunasrjlmglmjzbmqxb.jpg,00747941201fa.jpg,sunaeutbrtswvsozxyk.jpg,00950960627fa.jpg,sunasrjlmglmjzbmqxb.jpg,,,>,Face,,,,,1,,,,,,,o
2,24,Presentation,0,00866940307fa_sunajbwkywmsqkldfml.jpg,00102931230fa_sunaajspcoepticvplv.jpg,00866940307fa.jpg,sunajbwkywmsqkldfml.jpg,00102931230fa.jpg,sunaajspcoepticvplv.jpg,,,>,Face,,,,,1,,,,,,,x
3,24,Presentation,0,00760960620fa_sunaffstbkappprzxnv.jpg,00070940307fa_sunaaeplwsfslcbtojr.jpg,00760960620fa.jpg,sunaffstbkappprzxnv.jpg,00070940307fa.jpg,sunaaeplwsfslcbtojr.jpg,,,>,Face,,,,,1,,,,,,,o
4,24,Presentation,0,00900960530fa_sunamlotskmmsjeogby.jpg,00073931230fa_sunaafbmtoniaasysgu.jpg,00900960530fa.jpg,sunamlotskmmsjeogby.jpg,00073931230fa.jpg,sunaafbmtoniaasysgu.jpg,,,>,Face,,,,,1,,,,,,,x
5,24,Presentation,0,00784941205fb_sunagjzcrjvmxzqzljx.jpg,00120931230fa_sunaakxgygjfqrzpyoz.jpg,00784941205fb.jpg,sunagjzcrjvmxzqzljx.jpg,00120931230fa.jpg,sunaakxgygjfqrzpyoz.jpg,,,>,Face,,,,,1,,,,,,,o
6,24,Presentation,0,00961960627fa_sunawotxrevnqvamsfp.jpg,00795941205fa_sunagtumacdlmciqamz.jpg,00961960627fa.jpg,sunawotxrevnqvamsfp.jpg,00795941205fa.jpg,sunagtumacdlmciqamz.jpg,,,>,Face,,,,,1,,,,,,,x
7,24,Presentation,0,00314940422fa_sunabwmcbaxwioksdgw.jpg,00060931230fa_sunaaehaikpckyjsety.jpg,00314940422fa.jpg,sunabwmcbaxwioksdgw.jpg,00060931230fa.jpg,sunaaehaikpckyjsety.jpg,,,>,Face,,,,,1,,,,,,,o
8,24,Presentation,0,00762941201fa_sunafgzgbisbopcyslr.jpg,00783941205fa_sunagjeesomrwjsfqie.jpg,00762941201fa.jpg,sunafgzgbisbopcyslr.jpg,00783941205fa.jpg,sunagjeesomrwjsfqie.jpg,,,>,Face,,,,,1,,,,,,,x
9,24,Presentation,0,00093931230fa_sunaahwnmtqsrhocysw.jpg,00080931230fb_sunaafjszryxyavjzln.jpg,00093931230fa.jpg,sunaahwnmtqsrhocysw.jpg,00080931230fb.jpg,sunaafjszryxyavjzln.jpg,,,>,Face,,,,,0,,,,,,,o
