Button,Time
"[['3', 468.0602569580078]]",1539789931.445719
"[['2', 96.37148094177246]]",1539790150.968213
"[['1', 45.0442681312561]]",1539790500.814076
"[['space', 14.246876001358032]]",1539790863.798782
"[['4', 95.00945806503296]]",1539791255.991091
"[['4', 110.93363118171692]]",1539791270.7797
"[['4', 139.09065318107605]]",1539791298.921365
"[['4', 139.92444610595703]]",1539791299.755133
"[['3', 41.946692943573]]",1539792076.589545
"[['1', 58.698845863342285]]",1539792781.150586
"[['1', 82.64039301872253]]",1539792805.092929
"[['4', 186.62465906143188]]",1539792910.576271
