,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
10253,"{'x': 1026.1094, 'y': 487.5486}",True,"{'avg': {'x': 1030.6726, 'y': 495.3259}, 'pcenter': {'x': 0.4631, 'y': 0.4559}, 'psize': 24.3772, 'raw': {'x': 1025.1477, 'y': 517.2672}}","{'x': 1023.4425, 'y': 513.689}","{'avg': {'x': 1030.1798, 'y': 504.0089}, 'pcenter': {'x': 0.5853, 'y': 0.4661}, 'psize': 21.6514, 'raw': {'x': 1021.7374, 'y': 510.1109}}",7,56348321,1539802123.937,1021.7374,510.1109,1025.1477,517.2672,1023.44255,513.68905,27,11,1,/sustain,0.0,3
10254,"{'x': 1026.3916, 'y': 488.8888}",True,"{'avg': {'x': 1030.6588, 'y': 496.6442}, 'pcenter': {'x': 0.4631, 'y': 0.4558}, 'psize': 24.2715, 'raw': {'x': 1025.6003, 'y': 506.2981}}","{'x': 1026.2524, 'y': 522.801}","{'avg': {'x': 1030.2131, 'y': 506.4202}, 'pcenter': {'x': 0.5853, 'y': 0.4663}, 'psize': 21.7842, 'raw': {'x': 1026.9044, 'y': 539.304}}",7,56348354,1539802123.97,1026.9044,539.304,1025.6003,506.2981,1026.25235,522.80105,27,11,1,/sustain,0.0,3
10255,"{'x': 1026.6959, 'y': 490.3008}",True,"{'avg': {'x': 1031.0522, 'y': 496.0017}, 'pcenter': {'x': 0.4631, 'y': 0.4557}, 'psize': 24.2754, 'raw': {'x': 1031.9125, 'y': 482.4284}}","{'x': 1033.0911, 'y': 507.6037}","{'avg': {'x': 1031.1707, 'y': 508.0241}, 'pcenter': {'x': 0.5853, 'y': 0.4663}, 'psize': 22.1338, 'raw': {'x': 1034.2698, 'y': 532.7791}}",7,56348389,1539802124.005,1034.2698,532.7791,1031.9125,482.4284,1033.09115,507.60375,27,11,1,/sustain,0.0,3
10256,"{'x': 1027.0437, 'y': 491.7392}",True,"{'avg': {'x': 1031.948, 'y': 496.0675}, 'pcenter': {'x': 0.4631, 'y': 0.4557}, 'psize': 24.4223, 'raw': {'x': 1039.2086, 'y': 484.2961}}","{'x': 1029.5972, 'y': 497.6677}","{'avg': {'x': 1031.1252, 'y': 508.3152}, 'pcenter': {'x': 0.5852, 'y': 0.4662}, 'psize': 21.8793, 'raw': {'x': 1019.9857, 'y': 511.0393}}",7,56348433,1539802124.049,1019.9857,511.0393,1039.2086,484.2961,1029.59715,497.6677,27,11,1,/sustain,0.0,3
10257,"{'x': 1027.4415, 'y': 493.4678}",True,"{'avg': {'x': 1033.5181, 'y': 499.5141}, 'pcenter': {'x': 0.4631, 'y': 0.456}, 'psize': 24.8599, 'raw': {'x': 1055.6884, 'y': 534.8174}}","{'x': 1044.3389, 'y': 535.0331}","{'avg': {'x': 1031.6346, 'y': 510.408}, 'pcenter': {'x': 0.5852, 'y': 0.4663}, 'psize': 22.177, 'raw': {'x': 1032.9893, 'y': 535.2489}}",7,56348467,1539802124.083,1032.9893,535.2489,1055.6884,534.8174,1044.33885,535.03315,27,11,1,/sustain,0.0,3
10258,"{'x': 1027.9033, 'y': 494.9182}",True,"{'avg': {'x': 1034.1528, 'y': 499.7911}, 'pcenter': {'x': 0.463, 'y': 0.4558}, 'psize': 24.3932, 'raw': {'x': 1043.1353, 'y': 492.9318}}","{'x': 1044.4458, 'y': 503.9234}","{'avg': {'x': 1033.2163, 'y': 511.0157}, 'pcenter': {'x': 0.5853, 'y': 0.4662}, 'psize': 22.0773, 'raw': {'x': 1045.7563, 'y': 514.915}}",7,56348501,1539802124.117,1045.7563,514.915,1043.1353,492.9318,1044.4458,503.9234,27,11,1,/sustain,0.0,3
10259,"{'x': 1028.8174, 'y': 495.5626}",True,"{'avg': {'x': 1043.4963, 'y': 498.4374}, 'pcenter': {'x': 0.4645, 'y': 0.4556}, 'psize': 24.6015, 'raw': {'x': 1174.3226, 'y': 481.8581}}","{'x': 1192.2458, 'y': 496.3445}","{'avg': {'x': 1210.1689, 'y': 510.831}, 'pcenter': {'x': 0.587, 'y': 0.4662}, 'psize': 22.5009, 'raw': {'x': 1210.1689, 'y': 510.831}}",7,56348536,1539802124.152,1210.1689,510.831,1174.3226,481.8581,1192.24575,496.34455,27,11,1,/sustain,0.0,3
10260,"{'x': 1265.9985, 'y': 537.293}",False,"{'avg': {'x': 1253.7307, 'y': 488.4086}, 'pcenter': {'x': 0.4655, 'y': 0.4557}, 'psize': 24.4849, 'raw': {'x': 1253.7307, 'y': 488.4086}}","{'x': 1259.8646, 'y': 512.8508}","{'avg': {'x': 1265.9985, 'y': 537.293}, 'pcenter': {'x': 0.5877, 'y': 0.4664}, 'psize': 22.3836, 'raw': {'x': 1265.9985, 'y': 537.293}}",7,56348579,1539802124.195,1265.9985,537.293,1253.7307,488.4086,1259.8645999999999,512.8507999999999,27,11,1,/sustain,0.0,3
10261,"{'x': 1271.6182, 'y': 518.9384}",False,"{'avg': {'x': 1272.1222, 'y': 513.2483}, 'pcenter': {'x': 0.4657, 'y': 0.4559}, 'psize': 24.5839, 'raw': {'x': 1272.1222, 'y': 513.2483}}","{'x': 1273.7988, 'y': 516.8098}","{'avg': {'x': 1270.743, 'y': 528.8214}, 'pcenter': {'x': 0.5878, 'y': 0.4663}, 'psize': 22.5905, 'raw': {'x': 1275.4755, 'y': 520.3712}}",7,56348613,1539802124.229,1275.4755,520.3712,1272.1222,513.2483,1273.7988500000001,516.80975,27,11,1,/sustain,0.0,3
10262,"{'x': 1269.3373, 'y': 518.5899}",False,"{'avg': {'x': 1259.2841, 'y': 502.6544}, 'pcenter': {'x': 0.4656, 'y': 0.4557}, 'psize': 23.9497, 'raw': {'x': 1246.4789, 'y': 492.0876}}","{'x': 1265.9962, 'y': 520.5173}","{'avg': {'x': 1275.6956, 'y': 535.5441}, 'pcenter': {'x': 0.5879, 'y': 0.4665}, 'psize': 22.5585, 'raw': {'x': 1285.5135, 'y': 548.9471}}",7,56348647,1539802124.263,1285.5135,548.9471,1246.4789,492.0876,1265.9962,520.51735,27,11,1,/sustain,0.0,3
