,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
360,11,Memory,7,,,,,,,sunaeutbrtswvsozxyk.jpg,,,,,1.81,4.0,,,,,,,,,
361,11,Memory,7,,,,,,,sunarpsxqkduedrrzyi.jpg,,,,,0.971,2.0,,,,,,,,,
362,11,Memory,7,,,,,,,sunadnjjzohjhbohlwq.jpg,,,,,0.888,1.0,,,,,,,,,
363,11,Memory,7,,,,,,,00915960620fa.jpg,,,,,1.724,1.0,,,,,,,,,
364,11,Memory,7,,,,,,,sunaddtdkycxbqlpfqa.jpg,,,,,1.004,1.0,,,,,,,,,
365,11,Memory,7,,,,,,,sunapileznnbbmrwoei.jpg,,,,,0.685,1.0,,,,,,,,,
366,11,Memory,7,,,,,,,sunacfdkbsrughwqwtt.jpg,,,,,0.728,1.0,,,,,,,,,
367,11,Memory,7,,,,,,,00540940519fa.jpg,,,,,1.385,2.0,,,,,,,,,
368,11,Memory,7,,,,,,,sunaajqmsaavkmgbsth.jpg,,,,,0.852,1.0,,,,,,,,,
369,11,Memory,7,,,,,,,sunabkngeblodihjvbk.jpg,,,,,1.862,2.0,,,,,,,,,
370,11,Memory,7,,,,,,,00816941205fa.jpg,,,,,1.128,3.0,,,,,,,,,
371,11,Memory,7,,,,,,,sunbvzmgrdvaakxusbu.jpg,,,,,0.786,1.0,,,,,,,,,
372,11,Memory,7,,,,,,,00747941201fa.jpg,,,,,0.788,4.0,,,,,,,,,
373,11,Memory,7,,,,,,,sunaeoghzrjarigmwua.jpg,,,,,1.261,3.0,,,,,,,,,
374,11,Memory,7,,,,,,,sunacdnquypmsshhsbk.jpg,,,,,0.937,2.0,,,,,,,,,
375,11,Memory,7,,,,,,,00266940128fb.jpg,,,,,1.228,3.0,,,,,,,,,
376,11,Memory,7,,,,,,,01000960627fa.jpg,,,,,1.109,4.0,,,,,,,,,
377,11,Memory,7,,,,,,,sunbaoizrfijvhpnnjn.jpg,,,,,0.703,1.0,,,,,,,,,
378,11,Memory,7,,,,,,,sunahmhrncocyhsjpxk.jpg,,,,,1.127,1.0,,,,,,,,,
379,11,Memory,7,,,,,,,00787960620fa.jpg,,,,,0.802,4.0,,,,,,,,,
380,11,Memory,7,,,,,,,00313940422fa.jpg,,,,,0.896,3.0,,,,,,,,,
381,11,Memory,7,,,,,,,00858940307fa.jpg,,,,,1.057,4.0,,,,,,,,,
382,11,Memory,7,,,,,,,00775941205fa.jpg,,,,,0.956,2.0,,,,,,,,,
383,11,Memory,7,,,,,,,sunabanoxjtqxamkucc.jpg,,,,,0.836,1.0,,,,,,,,,
384,11,Memory,7,,,,,,,00548940519fa.jpg,,,,,0.974,3.0,,,,,,,,,
385,11,Memory,7,,,,,,,00210940128fb.jpg,,,,,0.885,3.0,,,,,,,,,
386,11,Memory,7,,,,,,,sunaixpqndlwhwjtjek.jpg,,,,,0.0,,,,,,,,,,
387,11,Memory,7,,,,,,,00762941201fa.jpg,,,,,1.053,4.0,,,,,,,,,
388,11,Memory,7,,,,,,,sunabwjvmoaddlyxfjr.jpg,,,,,0.978,1.0,,,,,,,,,
389,11,Memory,7,,,,,,,sunafvwfsmqkjrutjta.jpg,,,,,1.387,4.0,,,,,,,,,
390,11,Memory,7,,,,,,,00101931230fb.jpg,,,,,1.586,3.0,,,,,,,,,
391,11,Memory,7,,,,,,,sunacerqowiaeoqkmsq.jpg,,,,,0.819,1.0,,,,,,,,,
392,11,Memory,7,,,,,,,00943960627fa.jpg,,,,,1.007,4.0,,,,,,,,,
393,11,Memory,7,,,,,,,00969960627fa.jpg,,,,,1.002,4.0,,,,,,,,,
394,11,Memory,7,,,,,,,00554940519fa.jpg,,,,,1.159,4.0,,,,,,,,,
395,11,Memory,7,,,,,,,00743941201fa.jpg,,,,,0.735,1.0,,,,,,,,,
396,11,Memory,7,,,,,,,00663941121fa.jpg,,,,,1.488,2.0,,,,,,,,,
397,11,Memory,7,,,,,,,sunagoufulkpsxrmklt.jpg,,,,,1.295,2.0,,,,,,,,,
398,11,Memory,7,,,,,,,sunafgzgbisbopcyslr.jpg,,,,,1.172,4.0,,,,,,,,,
399,11,Memory,7,,,,,,,00636941031fa.jpg,,,,,1.196,2.0,,,,,,,,,
