,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
150,11,Presentation,3,00978960627fa_sunbddbivbptlrlauhy.jpg,00919960620fa_sunapmfmzadmosuogaz.jpg,00978960627fa.jpg,sunbddbivbptlrlauhy.jpg,00919960620fa.jpg,sunapmfmzadmosuogaz.jpg,,,<,Place,16.87682604789734,,,,1.0,,,3,,,,o
151,11,Presentation,3,00694941121fa_sunadrmfzmstgdjdcod.jpg,00111931230fb_sunaakgekhjklxmvulj.jpg,00694941121fa.jpg,sunadrmfzmstgdjdcod.jpg,00111931230fb.jpg,sunaakgekhjklxmvulj.jpg,,,<,Place,22.195858001708984,,,,1.0,,,1,,,,x
152,11,Presentation,3,00828940307fa_sunahuynahneraqftyz.jpg,00961960627fa_sunawotxrevnqvamsfp.jpg,00828940307fa.jpg,sunahuynahneraqftyz.jpg,00961960627fa.jpg,sunawotxrevnqvamsfp.jpg,,,<,Place,27.268145084381104,,,,1.0,,,3,,,,o
153,11,Presentation,3,00797960620fa_sunagufzbeteqdjxais.jpg,00146960620fb_sunaatpeezlljqaxlhj.jpg,00797960620fa.jpg,sunagufzbeteqdjxais.jpg,00146960620fb.jpg,sunaatpeezlljqaxlhj.jpg,,,<,Place,31.90799617767334,,,,1.0,,,1,,,,o
154,11,Presentation,3,00700941121fa_sunadsgmtznewzyasnk.jpg,00292940422fb_sunabrjdpmoedcdjbpo.jpg,00700941121fa.jpg,sunadsgmtznewzyasnk.jpg,00292940422fb.jpg,sunabrjdpmoedcdjbpo.jpg,,,<,Place,36.747703075408936,,,,1.0,,,3,,,,o
155,11,Presentation,3,00214940128fa_sunabbafjowbzcvbucc.jpg,00093931230fa_sunaahwnmtqsrhocysw.jpg,00214940128fa.jpg,sunabbafjowbzcvbucc.jpg,00093931230fa.jpg,sunaahwnmtqsrhocysw.jpg,,,<,Place,41.803755044937134,,,,1.0,,,1,,,,x
156,11,Presentation,3,00851940307fa_sunaivflshbyfrfzhqb.jpg,00815941205fa_sunahiphsekjihkafsl.jpg,00851940307fa.jpg,sunaivflshbyfrfzhqb.jpg,00815941205fa.jpg,sunahiphsekjihkafsl.jpg,,,<,Place,46.57982611656189,,,,1.0,,,3,,,,o
157,11,Presentation,3,00149931230fa_sunaauglwmctnkxyird.jpg,00235940128fb_sunabclssnoeuigtawp.jpg,00149931230fa.jpg,sunaauglwmctnkxyird.jpg,00235940128fb.jpg,sunabclssnoeuigtawp.jpg,,,<,Place,51.475785970687866,,,,1.0,,,1,,,,x
158,11,Presentation,3,00280940422fb_sunabohxbskznglnrhv.jpg,00132931230fb_sunaanjcbzdvtvblsdy.jpg,00280940422fb.jpg,sunabohxbskznglnrhv.jpg,00132931230fb.jpg,sunaanjcbzdvtvblsdy.jpg,,,<,Place,56.387531995773315,,,,1.0,,,3,,,,o
159,11,Presentation,3,00979960627fa_sunbdycacjfaujxitbw.jpg,00866940307fa_sunajbwkywmsqkldfml.jpg,00979960627fa.jpg,sunbdycacjfaujxitbw.jpg,00866940307fa.jpg,sunajbwkywmsqkldfml.jpg,,,<,Place,61.32382416725159,,,,1.0,,,1,,,,x
