,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
110,18,Memory,2,,,,,,,00835940307fa.jpg,,,,,1.061,1.0,,,,,,,,,
111,18,Memory,2,,,,,,,sunagwswhkvnsmuszlz.jpg,,,,,1.212,2.0,,,,,,,,,
112,18,Memory,2,,,,,,,sunahbvlpavurqoxdeq.jpg,,,,,0.947,1.0,,,,,,,,,
113,18,Memory,2,,,,,,,00306940422fa.jpg,,,,,1.059,1.0,,,,,,,,,
114,18,Memory,2,,,,,,,sunabueyoajufbkraki.jpg,,,,,0.969,1.0,,,,,,,,,
115,18,Memory,2,,,,,,,sunaiwduelojtwaqeyh.jpg,,,,,1.003,4.0,,,,,,,,,
116,18,Memory,2,,,,,,,00227940128fa.jpg,,,,,0.764,1.0,,,,,,,,,
117,18,Memory,2,,,,,,,00728941205fa.jpg,,,,,0.972,2.0,,,,,,,,,
118,18,Memory,2,,,,,,,00804960530fa.jpg,,,,,0.756,1.0,,,,,,,,,
119,18,Memory,2,,,,,,,sunaaelotvjgibjtjhs.jpg,,,,,0.975,4.0,,,,,,,,,
120,18,Memory,2,,,,,,,00809960620fa.jpg,,,,,0.861,1.0,,,,,,,,,
121,18,Memory,2,,,,,,,sunaijsqpvodplbwxkf.jpg,,,,,1.372,3.0,,,,,,,,,
122,18,Memory,2,,,,,,,sunaakmxzhuceuiryah.jpg,,,,,0.886,1.0,,,,,,,,,
123,18,Memory,2,,,,,,,00771941205fa.jpg,,,,,0.636,1.0,,,,,,,,,
124,18,Memory,2,,,,,,,00936960627fa.jpg,,,,,1.321,4.0,,,,,,,,,
125,18,Memory,2,,,,,,,sunadtlxenqqxsyjvix.jpg,,,,,1.564,3.0,,,,,,,,,
126,18,Memory,2,,,,,,,00082931230fa.jpg,,,,,0.782,1.0,,,,,,,,,
127,18,Memory,2,,,,,,,sunabckqabszusgcykj.jpg,,,,,1.089,1.0,,,,,,,,,
128,18,Memory,2,,,,,,,sunacypmnujalygkunp.jpg,,,,,1.162,1.0,,,,,,,,,
129,18,Memory,2,,,,,,,sunaqgjuuwvdcyiccjt.jpg,,,,,1.114,2.0,,,,,,,,,
130,18,Memory,2,,,,,,,sunajoveqhiprwqgoco.jpg,,,,,0.838,4.0,,,,,,,,,
131,18,Memory,2,,,,,,,00869940307fa.jpg,,,,,1.024,1.0,,,,,,,,,
132,18,Memory,2,,,,,,,00543940519fa.jpg,,,,,0.691,1.0,,,,,,,,,
133,18,Memory,2,,,,,,,00620940928fa.jpg,,,,,1.129,2.0,,,,,,,,,
134,18,Memory,2,,,,,,,00211940128fa.jpg,,,,,0.761,1.0,,,,,,,,,
135,18,Memory,2,,,,,,,sunaflojskatpeqyzqp.jpg,,,,,0.886,4.0,,,,,,,,,
136,18,Memory,2,,,,,,,00705941205fa.jpg,,,,,0.999,1.0,,,,,,,,,
137,18,Memory,2,,,,,,,sunaafvitpexrpvumsa.jpg,,,,,1.044,3.0,,,,,,,,,
138,18,Memory,2,,,,,,,sunabasphceswhwwqvv.jpg,,,,,0.806,4.0,,,,,,,,,
139,18,Memory,2,,,,,,,sunacepzfrmtkiqonpy.jpg,,,,,1.129,1.0,,,,,,,,,
140,18,Memory,2,,,,,,,sunagtjwilqjvxohypn.jpg,,,,,0.941,1.0,,,,,,,,,
141,18,Memory,2,,,,,,,00793941205fa.jpg,,,,,0.623,1.0,,,,,,,,,
142,18,Memory,2,,,,,,,00115931230fa.jpg,,,,,0.751,1.0,,,,,,,,,
143,18,Memory,2,,,,,,,sunavxokzybtomhbmvm.jpg,,,,,1.68,2.0,,,,,,,,,
144,18,Memory,2,,,,,,,00770941201fa.jpg,,,,,0.946,1.0,,,,,,,,,
145,18,Memory,2,,,,,,,00959960627fa.jpg,,,,,0.704,2.0,,,,,,,,,
146,18,Memory,2,,,,,,,00854940307fa.jpg,,,,,0.697,1.0,,,,,,,,,
147,18,Memory,2,,,,,,,sunafowswglhxcsufpo.jpg,,,,,1.074,1.0,,,,,,,,,
148,18,Memory,2,,,,,,,00062931230fb.jpg,,,,,0.663,1.0,,,,,,,,,
149,18,Memory,2,,,,,,,sunaejnvnpltdmhbcsi.jpg,,,,,1.119,1.0,,,,,,,,,
