,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
55917,"{'x': 1058.4771, 'y': 513.9845}",True,"{'avg': {'x': 1082.3776, 'y': 555.7489}, 'pcenter': {'x': 0.4445, 'y': 0.4597}, 'psize': 35.4798, 'raw': {'x': 1071.3489, 'y': 560.0707}}","{'x': 1051.5529, 'y': 517.5969}","{'avg': {'x': 1026.03, 'y': 475.9784}, 'pcenter': {'x': 0.5861, 'y': 0.4583}, 'psize': 35.0642, 'raw': {'x': 1031.7568, 'y': 475.123}}",7,264299009,1571148587.521,1031.7568,475.123,1071.3489,560.0707,1051.55285,517.59685,19,43,2,/sustain,0.0,0
55918,"{'x': 1058.1418, 'y': 514.3058}",True,"{'avg': {'x': 1082.6901, 'y': 555.1921}, 'pcenter': {'x': 0.4445, 'y': 0.4596}, 'psize': 35.3512, 'raw': {'x': 1090.1106, 'y': 546.2335}}","{'x': 1057.6616, 'y': 517.4514}","{'avg': {'x': 1025.976, 'y': 477.3006}, 'pcenter': {'x': 0.5859, 'y': 0.4584}, 'psize': 35.3656, 'raw': {'x': 1025.2128, 'y': 488.6694}}",7,264299041,1571148587.553,1025.2128,488.6694,1090.1106,546.2335,1057.6617,517.45145,19,43,2,/sustain,0.0,0
55919,"{'x': 1058.104, 'y': 514.996}",True,"{'avg': {'x': 1082.9807, 'y': 555.3073}, 'pcenter': {'x': 0.4445, 'y': 0.4596}, 'psize': 35.6886, 'raw': {'x': 1089.0568, 'y': 557.7455}}","{'x': 1053.0537, 'y': 516.8817}","{'avg': {'x': 1025.4449, 'y': 477.431}, 'pcenter': {'x': 0.586, 'y': 0.4583}, 'psize': 35.2724, 'raw': {'x': 1017.0506, 'y': 476.018}}",7,264299085,1571148587.597,1017.0506,476.018,1089.0568,557.7455,1053.0537,516.88175,19,43,2,/sustain,0.0,0
55920,"{'x': 1058.5967, 'y': 516.4172}",True,"{'avg': {'x': 1082.9043, 'y': 555.5651}, 'pcenter': {'x': 0.4446, 'y': 0.4596}, 'psize': 36.0437, 'raw': {'x': 1081.9904, 'y': 557.5616}}","{'x': 1048.2343, 'y': 520.3531}","{'avg': {'x': 1024.7413, 'y': 478.0621}, 'pcenter': {'x': 0.586, 'y': 0.4583}, 'psize': 35.1824, 'raw': {'x': 1014.4782, 'y': 483.1447}}",7,264299118,1571148587.63,1014.4782,483.1447,1081.9904,557.5616,1048.2343,520.35315,19,43,2,/sustain,0.0,0
55921,"{'x': 1058.0273, 'y': 516.4382}",True,"{'avg': {'x': 1082.6951, 'y': 556.3683}, 'pcenter': {'x': 0.4446, 'y': 0.4595}, 'psize': 35.7592, 'raw': {'x': 1083.0837, 'y': 569.4899}}","{'x': 1055.3555, 'y': 527.7643}","{'avg': {'x': 1024.8904, 'y': 478.8664}, 'pcenter': {'x': 0.5861, 'y': 0.4584}, 'psize': 35.6786, 'raw': {'x': 1027.6273, 'y': 486.0387}}",7,264299151,1571148587.663,1027.6273,486.0387,1083.0837,569.4899,1055.3555000000001,527.7643,19,43,2,/sustain,0.0,0
55922,"{'x': 1058.5079, 'y': 517.8986}",True,"{'avg': {'x': 1082.4491, 'y': 556.5659}, 'pcenter': {'x': 0.4447, 'y': 0.4594}, 'psize': 35.8708, 'raw': {'x': 1081.0063, 'y': 556.5858}}","{'x': 1051.4341, 'y': 524.5117}","{'avg': {'x': 1024.5022, 'y': 480.145}, 'pcenter': {'x': 0.5862, 'y': 0.4584}, 'psize': 35.5317, 'raw': {'x': 1021.8618, 'y': 492.4375}}",7,264299194,1571148587.706,1021.8618,492.4375,1081.0063,556.5858,1051.43405,524.5116499999999,19,43,2,/sustain,0.0,0
55923,"{'x': 1060.0209, 'y': 520.6375}",True,"{'avg': {'x': 1082.9799, 'y': 556.8652}, 'pcenter': {'x': 0.4449, 'y': 0.4595}, 'psize': 35.8488, 'raw': {'x': 1092.5951, 'y': 563.8313}}","{'x': 1056.7222, 'y': 532.5098}","{'avg': {'x': 1024.1387, 'y': 481.4252}, 'pcenter': {'x': 0.5863, 'y': 0.4585}, 'psize': 35.742, 'raw': {'x': 1020.8493, 'y': 501.1882}}",7,264299227,1571148587.739,1020.8493,501.1882,1092.5951,563.8313,1056.7222,532.50975,19,43,2,/sustain,0.0,0
55924,"{'x': 1058.8182, 'y': 519.8145}",True,"{'avg': {'x': 1083.0319, 'y': 557.5365}, 'pcenter': {'x': 0.4449, 'y': 0.4595}, 'psize': 36.0772, 'raw': {'x': 1087.1844, 'y': 567.9915}}","{'x': 1054.2521, 'y': 526.1058}","{'avg': {'x': 1024.1058, 'y': 481.8379}, 'pcenter': {'x': 0.5863, 'y': 0.4584}, 'psize': 35.5011, 'raw': {'x': 1021.3196, 'y': 484.2202}}",7,264299270,1571148587.782,1021.3196,484.2202,1087.1844,567.9915,1054.252,526.1058499999999,19,43,2,/sustain,0.0,0
55925,"{'x': 1058.7167, 'y': 520.4787}",True,"{'avg': {'x': 1083.8605, 'y': 558.2643}, 'pcenter': {'x': 0.445, 'y': 0.4594}, 'psize': 35.901, 'raw': {'x': 1094.6385, 'y': 565.343}}","{'x': 1058.3789, 'y': 531.6799}","{'avg': {'x': 1023.8434, 'y': 483.1984}, 'pcenter': {'x': 0.5864, 'y': 0.4585}, 'psize': 35.5278, 'raw': {'x': 1022.1192, 'y': 498.0169}}",7,264299303,1571148587.815,1022.1192,498.0169,1094.6385,565.343,1058.37885,531.67995,19,43,2,/sustain,0.0,0
55926,"{'x': 1056.611, 'y': 518.5189}",True,"{'avg': {'x': 1085.1594, 'y': 559.066}, 'pcenter': {'x': 0.445, 'y': 0.4594}, 'psize': 35.2541, 'raw': {'x': 1103.9023, 'y': 568.6777}}","{'x': 1068.5822, 'y': 519.8848}","{'avg': {'x': 1024.3256, 'y': 482.8637}, 'pcenter': {'x': 0.5863, 'y': 0.4582}, 'psize': 34.5698, 'raw': {'x': 1033.262, 'y': 471.0918}}",7,264299336,1571148587.848,1033.262,471.0918,1103.9023,568.6777,1068.58215,519.8847499999999,19,43,2,/sustain,0.0,0
