,avg,fix,lefteye,raw,righteye,state,time,timestamp,Run,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Behavior_Image_Start
31338,"{'x': 1017.1182, 'y': 533.6758}",True,"{'avg': {'x': 1013.9269, 'y': 531.6976}, 'pcenter': {'x': 0.3892, 'y': 0.397}, 'psize': 35.1372, 'raw': {'x': 1002.6027, 'y': 539.4317}}","{'x': 1017.9663, 'y': 542.4569}","{'avg': {'x': 1021.2253, 'y': 525.5815}, 'pcenter': {'x': 0.5457, 'y': 0.4007}, 'psize': 36.2356, 'raw': {'x': 1033.33, 'y': 545.4822}}",7,757044957,1570567591.645,0,1033.33,545.4822,1002.6027,539.4317,1017.9663499999999,542.45695,25,58,2,/sustain,0.0,1570567591.6432
31339,"{'x': 1017.0447, 'y': 532.6891}",True,"{'avg': {'x': 1013.8073, 'y': 532.1105}, 'pcenter': {'x': 0.3893, 'y': 0.397}, 'psize': 35.0605, 'raw': {'x': 1016.918, 'y': 541.3005}}","{'x': 1032.2368, 'y': 538.0325}","{'avg': {'x': 1023.4307, 'y': 526.1885}, 'pcenter': {'x': 0.5459, 'y': 0.4006}, 'psize': 36.069, 'raw': {'x': 1047.5555, 'y': 534.7645}}",7,757044990,1570567591.678,0,1047.5555,534.7645,1016.918,541.3005,1032.23675,538.0325,25,58,2,/sustain,0.0,1570567591.6432
31340,"{'x': 1017.2316, 'y': 531.7055}",True,"{'avg': {'x': 1012.718, 'y': 532.3738}, 'pcenter': {'x': 0.3892, 'y': 0.3969}, 'psize': 35.3095, 'raw': {'x': 997.8, 'y': 533.096}}","{'x': 1014.8882, 'y': 526.9695}","{'avg': {'x': 1024.7236, 'y': 525.8289}, 'pcenter': {'x': 0.5458, 'y': 0.4005}, 'psize': 36.4432, 'raw': {'x': 1031.9764, 'y': 520.843}}",7,757045023,1570567591.711,0,1031.9764,520.843,997.8,533.096,1014.8882,526.9694999999999,25,58,2,/sustain,0.0,1570567591.6432
31341,"{'x': 1017.126, 'y': 531.05}",True,"{'avg': {'x': 1012.8794, 'y': 533.0373}, 'pcenter': {'x': 0.3894, 'y': 0.397}, 'psize': 34.939, 'raw': {'x': 1020.0679, 'y': 538.6285}}","{'x': 1005.1112, 'y': 531.7637}","{'avg': {'x': 1023.0263, 'y': 526.3865}, 'pcenter': {'x': 0.5455, 'y': 0.4006}, 'psize': 35.9299, 'raw': {'x': 990.1544, 'y': 524.8989}}",7,757045067,1570567591.755,0,990.1544,524.8989,1020.0679,538.6285,1005.11115,531.7637,25,58,2,/sustain,0.0,1570567591.6432
31342,"{'x': 1017.2136, 'y': 530.4084}",True,"{'avg': {'x': 1012.4213, 'y': 533.5184}, 'pcenter': {'x': 0.3893, 'y': 0.397}, 'psize': 34.8175, 'raw': {'x': 1009.2075, 'y': 542.1132}}","{'x': 1019.804, 'y': 534.4884}","{'avg': {'x': 1023.946, 'y': 526.0887}, 'pcenter': {'x': 0.5458, 'y': 0.4006}, 'psize': 36.2045, 'raw': {'x': 1030.4005, 'y': 526.8636}}",7,757045101,1570567591.789,0,1030.4005,526.8636,1009.2075,542.1132,1019.804,534.4884,25,58,2,/sustain,0.0,1570567591.6432
31343,"{'x': 1017.1494, 'y': 530.0036}",True,"{'avg': {'x': 1011.8767, 'y': 533.348}, 'pcenter': {'x': 0.3893, 'y': 0.3969}, 'psize': 35.0745, 'raw': {'x': 1011.0898, 'y': 533.6368}}","{'x': 1014.1716, 'y': 538.1346}","{'avg': {'x': 1023.9976, 'y': 527.0455}, 'pcenter': {'x': 0.5457, 'y': 0.4007}, 'psize': 36.1773, 'raw': {'x': 1017.2534, 'y': 542.6324}}",7,757045134,1570567591.822,0,1017.2534,542.6324,1011.0898,533.6368,1014.1716,538.1346,25,58,2,/sustain,0.0,1570567591.6432
31344,"{'x': 1016.9186, 'y': 529.8057}",True,"{'avg': {'x': 775.5864, 'y': 593.8267}, 'pcenter': {'x': 0.3866, 'y': 0.3978}, 'psize': 35.5146, 'raw': {'x': 775.5864, 'y': 593.8267}}","{'x': 776.4092, 'y': 581.3237}","{'avg': {'x': 777.232, 'y': 568.8209}, 'pcenter': {'x': 0.5426, 'y': 0.401}, 'psize': 35.3795, 'raw': {'x': 777.232, 'y': 568.8209}}",7,757045178,1570567591.866,0,777.232,568.8209,775.5864,593.8267,776.4092,581.3238,25,58,2,/sustain,0.0,1570567591.6432
31345,"{'x': 723.5126, 'y': 579.0035}",False,"{'avg': {'x': 716.1459, 'y': 576.0833}, 'pcenter': {'x': 0.3859, 'y': 0.3978}, 'psize': 35.8917, 'raw': {'x': 716.1459, 'y': 576.0833}}","{'x': 723.5126, 'y': 579.0035}","{'avg': {'x': 730.8793, 'y': 581.9236}, 'pcenter': {'x': 0.5421, 'y': 0.4012}, 'psize': 35.2529, 'raw': {'x': 730.8793, 'y': 581.9236}}",7,757045212,1570567591.9,0,730.8793,581.9236,716.1459,576.0833,723.5126,579.0034499999999,25,58,2,/sustain,0.0,1570567591.6432
31346,"{'x': 727.3921, 'y': 572.8706}",False,"{'avg': {'x': 722.2504, 'y': 571.5737}, 'pcenter': {'x': 0.386, 'y': 0.3977}, 'psize': 35.4797, 'raw': {'x': 728.3393, 'y': 567.0755}}","{'x': 731.2617, 'y': 566.7534}","{'avg': {'x': 732.5338, 'y': 574.1676}, 'pcenter': {'x': 0.5421, 'y': 0.4011}, 'psize': 35.2994, 'raw': {'x': 734.1841, 'y': 566.4313}}",7,757045245,1570567591.933,0,734.1841,566.4313,728.3393,567.0755,731.2617,566.7534,25,58,2,/sustain,0.0,1570567591.6432
31347,"{'x': 728.5403, 'y': 571.8661}",False,"{'avg': {'x': 726.2065, 'y': 571.7823}, 'pcenter': {'x': 0.386, 'y': 0.3978}, 'psize': 35.3647, 'raw': {'x': 734.0374, 'y': 572.2198}}","{'x': 735.4265, 'y': 566.5911}","{'avg': {'x': 733.97, 'y': 569.734}, 'pcenter': {'x': 0.5422, 'y': 0.401}, 'psize': 35.5908, 'raw': {'x': 736.8157, 'y': 560.9623}}",7,757045290,1570567591.978,0,736.8157,560.9623,734.0374,572.2198,735.42655,566.59105,25,58,2,/sustain,0.0,1570567591.6432
