0.0002 	WARNING 	warning
0.0002 	EXP 	experiment
0.0002 	DATA 	data
0.0002 	INFO 	info
0.0002 	INFO 	current time: 1571324559.67
5.9458 	DEBUG 	handleLineEditChange: inputFieldName=1. age, type=<type 'str'>, value=a
7.6497 	DEBUG 	handleLineEditChange: inputFieldName=1. age, type=<type 'str'>, value=
8.9861 	DEBUG 	handleLineEditChange: inputFieldName=1. age, type=<type 'str'>, value=2
9.0739 	DEBUG 	handleLineEditChange: inputFieldName=1. age, type=<type 'str'>, value=20
13.2136 	DEBUG 	handleCurrentIndexChanged: inputFieldName=2. sex:, selected=Male, type: <type 'str'>
17.0015 	DEBUG 	handleCurrentIndexChanged: inputFieldName=3. Are you hispanic or latino?, selected=No, type: <type 'str'>
19.3376 	DEBUG 	handleCheckboxChange: inputFieldName=White, checked=True
20.5832 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=some high school, type: <type 'str'>
20.5937 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=high school graduate, type: <type 'str'>
20.6046 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=some college, type: <type 'str'>
20.6363 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=college graduate, type: <type 'str'>
20.6364 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=some college, type: <type 'str'>
20.6535 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=college graduate, type: <type 'str'>
20.6536 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=some college, type: <type 'str'>
20.6705 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=college graduate, type: <type 'str'>
20.6705 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=some college, type: <type 'str'>
20.6863 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=college graduate, type: <type 'str'>
20.6864 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=some college, type: <type 'str'>
20.7038 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=college graduate, type: <type 'str'>
25.1431 	DEBUG 	handleCurrentIndexChanged: inputFieldName=5. Highest Degree Achieved:, selected=some college, type: <type 'str'>
28.5704 	DEBUG 	handleCurrentIndexChanged: inputFieldName=(e.g. dyslexia, uncorrected far-sightedness, etc.), selected=Yes, type: <type 'str'>
34.1454 	DEBUG 	handleCurrentIndexChanged: inputFieldName=7. Do you have normal color vision?, selected=Yes, type: <type 'str'>
41.9550 	DEBUG 	handleCurrentIndexChanged: inputFieldName=affect your memory or attention?, selected=Yes, type: <type 'str'>
45.6736 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=C
46.1375 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Co
46.3222 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Con
46.4256 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Conc
46.9134 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concu
47.1137 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concus
47.2657 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concuss
47.3698 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussi
47.3930 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussiu
47.4975 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussiuo
47.9695 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussiu
49.1136 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussi
50.0737 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussio
50.2735 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion
50.4495 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion 
50.8976 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion o
51.0981 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion ov
51.3136 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion ove
51.3856 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over
51.5536 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over 
51.7455 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a
51.8175 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a 
52.0096 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a y
52.0975 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a ye
52.2815 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a yea
52.4497 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year
52.6015 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year 
52.6897 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year a
52.8656 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ag
53.0096 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago
53.2576 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago 
53.5135 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago n
53.6338 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago no
53.7776 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now
54.2095 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now 
54.3777 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now b
54.5215 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now bu
54.6016 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but
54.8254 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but 
55.0977 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I
55.2334 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I 
55.4256 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I d
55.6496 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do
55.7855 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do 
55.8977 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do t
55.9456 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do th
56.3616 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do thi
56.6978 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do thin
56.7858 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think
56.9456 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think 
57.0495 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think i
57.1296 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it
57.2815 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it 
57.5378 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it h
57.6336 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it ha
57.7135 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has
57.8575 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has 
60.2015 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has a
60.5535 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has af
60.6816 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has aff
60.8255 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affe
61.0175 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affec
61.1936 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affect
61.4736 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affectd
61.8332 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affect
62.0652 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affecte
62.2584 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affected
62.3773 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affected 
62.5535 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affected m
62.8257 	DEBUG 	handleLineEditChange: inputFieldName=9. If yes to question above, describe, type=<type 'str'>, value=Concussion over a year ago now but I do think it has affected my
