,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
34978,"{'x': 1097.1766, 'y': 379.0785}",True,"{'avg': {'x': 1064.7164, 'y': 525.0814}, 'pcenter': {'x': 0.5081, 'y': 0.5878}, 'psize': 32.0717, 'raw': {'x': 1072.7823, 'y': 531.628}}","{'x': 1160.4546, 'y': 333.3199}","{'avg': {'x': 1248.1268, 'y': 135.0119}, 'pcenter': {'x': 0.6796, 'y': 0.609}, 'psize': 30.2551, 'raw': {'x': 1248.1268, 'y': 135.0119}}",7,116691287,1571000979.799,1248.1268,135.0119,1072.7823,531.628,1160.45455,333.31995,8,37,2,/sustain,0.0,0
34979,"{'x': 1097.1766, 'y': 379.0785}",True,"{'avg': {'x': 1064.7164, 'y': 525.0814}, 'pcenter': {'x': 0.5081, 'y': 0.5878}, 'psize': 32.0717, 'raw': {'x': 1072.7823, 'y': 531.628}}","{'x': 1160.4546, 'y': 333.3199}","{'avg': {'x': 1248.1268, 'y': 135.0119}, 'pcenter': {'x': 0.6796, 'y': 0.609}, 'psize': 30.2551, 'raw': {'x': 1248.1268, 'y': 135.0119}}",7,116691287,1571000979.799,1248.1268,135.0119,1072.7823,531.628,1160.45455,333.31995,8,37,2,/sustain,0.0,0
34980,"{'x': 1097.1766, 'y': 379.0785}",True,"{'avg': {'x': 1064.7164, 'y': 525.0814}, 'pcenter': {'x': 0.5081, 'y': 0.5878}, 'psize': 32.0717, 'raw': {'x': 1072.7823, 'y': 531.628}}","{'x': 1160.4546, 'y': 333.3199}","{'avg': {'x': 1248.1268, 'y': 135.0119}, 'pcenter': {'x': 0.6796, 'y': 0.609}, 'psize': 30.2551, 'raw': {'x': 1248.1268, 'y': 135.0119}}",7,116691287,1571000979.799,1248.1268,135.0119,1072.7823,531.628,1160.45455,333.31995,8,37,2,/sustain,0.0,0
34981,"{'x': 1097.1766, 'y': 379.0785}",True,"{'avg': {'x': 1064.7164, 'y': 525.0814}, 'pcenter': {'x': 0.5081, 'y': 0.5878}, 'psize': 32.0717, 'raw': {'x': 1072.7823, 'y': 531.628}}","{'x': 1160.4546, 'y': 333.3199}","{'avg': {'x': 1248.1268, 'y': 135.0119}, 'pcenter': {'x': 0.6796, 'y': 0.609}, 'psize': 30.2551, 'raw': {'x': 1248.1268, 'y': 135.0119}}",7,116691287,1571000979.799,1248.1268,135.0119,1072.7823,531.628,1160.45455,333.31995,8,37,2,/sustain,0.0,0
34982,"{'x': 1097.1766, 'y': 379.0785}",True,"{'avg': {'x': 1064.7164, 'y': 525.0814}, 'pcenter': {'x': 0.5081, 'y': 0.5878}, 'psize': 32.0717, 'raw': {'x': 1072.7823, 'y': 531.628}}","{'x': 1160.4546, 'y': 333.3199}","{'avg': {'x': 1248.1268, 'y': 135.0119}, 'pcenter': {'x': 0.6796, 'y': 0.609}, 'psize': 30.2551, 'raw': {'x': 1248.1268, 'y': 135.0119}}",7,116691287,1571000979.799,1248.1268,135.0119,1072.7823,531.628,1160.45455,333.31995,8,37,2,/sustain,0.0,0
34983,"{'x': 1096.6445, 'y': 382.9022}",True,"{'avg': {'x': 1065.4778, 'y': 527.9236}, 'pcenter': {'x': 0.5082, 'y': 0.5878}, 'psize': 32.2049, 'raw': {'x': 1075.9669, 'y': 535.9867}}","{'x': 1091.8333, 'y': 429.2263}","{'avg': {'x': 1107.6996, 'y': 322.4659}, 'pcenter': {'x': 0.6791, 'y': 0.61}, 'psize': 32.0543, 'raw': {'x': 1107.6996, 'y': 322.4659}}",7,116691322,1571000979.834,1107.6996,322.4659,1075.9669,535.9867,1091.83325,429.22630000000004,8,37,2,/sustain,0.0,0
34984,"{'x': 1096.6445, 'y': 382.9022}",True,"{'avg': {'x': 1065.4778, 'y': 527.9236}, 'pcenter': {'x': 0.5082, 'y': 0.5878}, 'psize': 32.2049, 'raw': {'x': 1075.9669, 'y': 535.9867}}","{'x': 1091.8333, 'y': 429.2263}","{'avg': {'x': 1107.6996, 'y': 322.4659}, 'pcenter': {'x': 0.6791, 'y': 0.61}, 'psize': 32.0543, 'raw': {'x': 1107.6996, 'y': 322.4659}}",7,116691322,1571000979.834,1107.6996,322.4659,1075.9669,535.9867,1091.83325,429.22630000000004,8,37,2,/sustain,0.0,0
34985,"{'x': 1096.6445, 'y': 382.9022}",True,"{'avg': {'x': 1065.4778, 'y': 527.9236}, 'pcenter': {'x': 0.5082, 'y': 0.5878}, 'psize': 32.2049, 'raw': {'x': 1075.9669, 'y': 535.9867}}","{'x': 1091.8333, 'y': 429.2263}","{'avg': {'x': 1107.6996, 'y': 322.4659}, 'pcenter': {'x': 0.6791, 'y': 0.61}, 'psize': 32.0543, 'raw': {'x': 1107.6996, 'y': 322.4659}}",7,116691322,1571000979.834,1107.6996,322.4659,1075.9669,535.9867,1091.83325,429.22630000000004,8,37,2,/sustain,0.0,0
34986,"{'x': 1096.6445, 'y': 382.9022}",True,"{'avg': {'x': 1065.4778, 'y': 527.9236}, 'pcenter': {'x': 0.5082, 'y': 0.5878}, 'psize': 32.2049, 'raw': {'x': 1075.9669, 'y': 535.9867}}","{'x': 1091.8333, 'y': 429.2263}","{'avg': {'x': 1107.6996, 'y': 322.4659}, 'pcenter': {'x': 0.6791, 'y': 0.61}, 'psize': 32.0543, 'raw': {'x': 1107.6996, 'y': 322.4659}}",7,116691322,1571000979.834,1107.6996,322.4659,1075.9669,535.9867,1091.83325,429.22630000000004,8,37,2,/sustain,0.0,0
34987,"{'x': 1096.6445, 'y': 382.9022}",True,"{'avg': {'x': 1065.4778, 'y': 527.9236}, 'pcenter': {'x': 0.5082, 'y': 0.5878}, 'psize': 32.2049, 'raw': {'x': 1075.9669, 'y': 535.9867}}","{'x': 1091.8333, 'y': 429.2263}","{'avg': {'x': 1107.6996, 'y': 322.4659}, 'pcenter': {'x': 0.6791, 'y': 0.61}, 'psize': 32.0543, 'raw': {'x': 1107.6996, 'y': 322.4659}}",7,116691322,1571000979.834,1107.6996,322.4659,1075.9669,535.9867,1091.83325,429.22630000000004,8,37,2,/sustain,0.0,0
34988,"{'x': 1095.9443, 'y': 386.983}",True,"{'avg': {'x': 1064.6932, 'y': 531.2065}, 'pcenter': {'x': 0.5081, 'y': 0.5878}, 'psize': 32.2616, 'raw': {'x': 1052.172, 'y': 548.3081}}","{'x': 1078.8748, 'y': 428.1191}","{'avg': {'x': 1106.6372, 'y': 315.1888}, 'pcenter': {'x': 0.679, 'y': 0.6099}, 'psize': 32.4062, 'raw': {'x': 1105.5776, 'y': 307.9301}}",7,116691355,1571000979.867,1105.5776,307.9301,1052.172,548.3081,1078.8748,428.1191,8,37,2,/sustain,0.0,0
34989,"{'x': 1095.9443, 'y': 386.983}",True,"{'avg': {'x': 1064.6932, 'y': 531.2065}, 'pcenter': {'x': 0.5081, 'y': 0.5878}, 'psize': 32.2616, 'raw': {'x': 1052.172, 'y': 548.3081}}","{'x': 1078.8748, 'y': 428.1191}","{'avg': {'x': 1106.6372, 'y': 315.1888}, 'pcenter': {'x': 0.679, 'y': 0.6099}, 'psize': 32.4062, 'raw': {'x': 1105.5776, 'y': 307.9301}}",7,116691355,1571000979.867,1105.5776,307.9301,1052.172,548.3081,1078.8748,428.1191,8,37,2,/sustain,0.0,0
34990,"{'x': 1095.9443, 'y': 386.983}",True,"{'avg': {'x': 1064.6932, 'y': 531.2065}, 'pcenter': {'x': 0.5081, 'y': 0.5878}, 'psize': 32.2616, 'raw': {'x': 1052.172, 'y': 548.3081}}","{'x': 1078.8748, 'y': 428.1191}","{'avg': {'x': 1106.6372, 'y': 315.1888}, 'pcenter': {'x': 0.679, 'y': 0.6099}, 'psize': 32.4062, 'raw': {'x': 1105.5776, 'y': 307.9301}}",7,116691355,1571000979.867,1105.5776,307.9301,1052.172,548.3081,1078.8748,428.1191,8,37,2,/sustain,0.0,0
