,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
60,0,Memory,1,,,,,,,sunagufzbeteqdjxais.jpg,,,,,0.0,,,,,,,,1550770680.797188,1550770682.86431,
61,0,Memory,1,,,,,,,00290940422fa.jpg,,,,,1.787,2.0,,,,,,,1550770684.131244,1550770686.132447,
62,0,Memory,1,,,,,,,00730960620fa.jpg,,,,,1.854,2.0,,,,,,,1550770687.399532,1550770689.399892,
63,0,Memory,1,,,,,,,00803941205fa.jpg,,,,,2.002,1.0,,,,,,,1550770690.650847,1550770692.651002,
64,0,Memory,1,,,,,,,00822940307fa.jpg,,,,,0.0,,,,,,,,1550770693.901043,1550770695.902203,
65,0,Memory,1,,,,,,,sunahqldjibofgsfdgb.jpg,,,,,1.336,4.0,,,,,,,1550770697.302412,1550770699.303381,
66,0,Memory,1,,,,,,,00819940307fa.jpg,,,,,1.387,1.0,,,,,,,1550770700.570454,1550770702.570605,
67,0,Memory,1,,,,,,,00482940519fa.jpg,,,,,1.821,2.0,,,,,,,1550770703.937272,1550770705.938523,
68,0,Memory,1,,,,,,,sunadnjjzohjhbohlwq.jpg,,,,,1.22,4.0,,,,,,,1550770707.205744,1550770709.205844,
69,0,Memory,1,,,,,,,sunaixpqndlwhwjtjek.jpg,,,,,0.0,,,,,,,,1550770710.473912,1550770712.474714,
70,0,Memory,1,,,,,,,sunahqrxievfeusiqlt.jpg,,,,,1.188,4.0,,,,,,,1550770713.82385,1550770715.825063,
71,0,Memory,1,,,,,,,sunagjeesomrwjsfqie.jpg,,,,,1.337,3.0,,,,,,,1550770717.075175,1550770719.076342,
72,0,Memory,1,,,,,,,00663941121fa.jpg,,,,,0.0,,,,,,,,1550770720.41045,1550770722.410664,
73,0,Memory,1,,,,,,,00797960620fa.jpg,,,,,0.753,2.0,,,,,,,1550770723.660703,1550770725.662652,
74,0,Memory,1,,,,,,,sunaajuzribjrizdshh.jpg,,,,,1.585,2.0,,,,,,,1550770726.928938,1550770728.928971,
75,0,Memory,1,,,,,,,00943960627fa.jpg,,,,,1.72,1.0,,,,,,,1550770730.179859,1550770732.180834,
76,0,Memory,1,,,,,,,sunabyfxcxhdebvdyfd.jpg,,,,,1.371,2.0,,,,,,,1550770733.447031,1550770735.448462,
77,0,Memory,1,,,,,,,00993960627fa.jpg,,,,,1.486,2.0,,,,,,,1550770736.715197,1550770738.715272,
78,0,Memory,1,,,,,,,sunadfktsqjthoglcsm.jpg,,,,,1.553,2.0,,,,,,,1550770739.966463,1550770741.967644,
79,0,Memory,1,,,,,,,sunacvjlsylseoghjup.jpg,,,,,1.238,1.0,,,,,,,1550770743.233762,1550770745.234786,
80,0,Memory,1,,,,,,,sunaaexqbtdswxrqjvz.jpg,,,,,0.0,,,,,,,,1550770746.484988,1550770748.485107,
81,0,Memory,1,,,,,,,00576941031fa.jpg,,,,,0.987,1.0,,,,,,,1550770749.886929,1550770751.887332,
82,0,Memory,1,,,,,,,sunavhxgmgrqsaptynb.jpg,,,,,1.371,4.0,,,,,,,1550770753.154107,1550770755.155301,
83,0,Memory,1,,,,,,,sunahgtbwgsmtqeodwh.jpg,,,,,1.303,1.0,,,,,,,1550770756.421359,1550770758.422538,
84,0,Memory,1,,,,,,,00638941031fa.jpg,,,,,0.936,2.0,,,,,,,1550770759.689483,1550770761.690029,
85,0,Memory,1,,,,,,,00874940307fa.jpg,,,,,0.0,,,,,,,,1550770762.939894,1550770764.941009,
86,0,Memory,1,,,,,,,00071941031fa.jpg,,,,,1.319,3.0,,,,,,,1550770766.324891,1550770768.325095,
87,0,Memory,1,,,,,,,sunbprywzqxjcezkbch.jpg,,,,,1.719,1.0,,,,,,,1550770769.592339,1550770771.594133,
88,0,Memory,1,,,,,,,sunabqowuarvqqcnipn.jpg,,,,,0.0,,,,,,,,1550770772.960614,1550770774.961472,
89,0,Memory,1,,,,,,,00858940307fa.jpg,,,,,1.053,1.0,,,,,,,1550770776.378675,1550770778.379366,
90,0,Memory,1,,,,,,,sunagvxkjokqimstxpe.jpg,,,,,1.253,2.0,,,,,,,1550770779.663509,1550770781.662821,
91,0,Memory,1,,,,,,,sunajtrfunvzdfticna.jpg,,,,,1.904,2.0,,,,,,,1550770782.913922,1550770784.915085,
