,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
260,10,Memory,5,,,,,,,sunagmwxxwymwojbvgi.jpg,,,,,0.992,1.0,,,,,,,1553711931.23728,1553711933.667532,
261,10,Memory,5,,,,,,,01003960627fb.jpg,,,,,0.677,1.0,,,,,,,1553711934.938682,1553711937.153405,
262,10,Memory,5,,,,,,,00747941201fa.jpg,,,,,1.193,1.0,,,,,,,1553711938.406983,1553711940.923949,
263,10,Memory,5,,,,,,,00109931230fa.jpg,,,,,1.226,3.0,,,,,,,1553711942.190957,1553711944.823666,
264,10,Memory,5,,,,,,,00857940307fa.jpg,,,,,0.824,1.0,,,,,,,1553711946.092954,1553711948.430649,
265,10,Memory,5,,,,,,,00288940422fa.jpg,,,,,1.009,1.0,,,,,,,1553711949.676787,1553711952.072052,
266,10,Memory,5,,,,,,,01207940128fa.jpg,,,,,1.759,3.0,,,,,,,1553711953.311949,1553711955.923307,
267,10,Memory,5,,,,,,,00800941205fb.jpg,,,,,1.643,2.0,,,,,,,1553711957.162864,1553711959.81229,
268,10,Memory,5,,,,,,,sunaiwfobocrruqznsv.jpg,,,,,2.027,3.0,,,,,,,1553711961.097353,1553711963.877369,
269,10,Memory,5,,,,,,,sunaeutbrtswvsozxyk.jpg,,,,,0.976,1.0,,,,,,,1553711965.148303,1553711967.614269,
270,10,Memory,5,,,,,,,sunaeuvjbmdpknaqqaj.jpg,,,,,0.841,1.0,,,,,,,1553711968.866436,1553711971.136839,
271,10,Memory,5,,,,,,,00783941205fa.jpg,,,,,1.844,1.0,,,,,,,1553711972.350316,1553711975.302232,
272,10,Memory,5,,,,,,,sunafkmnlytenlsywia.jpg,,,,,1.108,1.0,,,,,,,1553711976.552212,1553711979.104353,
273,10,Memory,5,,,,,,,sunbmaiocftdtvnzgap.jpg,,,,,1.976,4.0,,,,,,,1553711980.353955,1553711983.200131,
274,10,Memory,5,,,,,,,sunaahedjlmtqekgyvj.jpg,,,,,1.159,1.0,,,,,,,1553711984.438379,1553711986.967403,
275,10,Memory,5,,,,,,,00077931230fb.jpg,,,,,1.275,3.0,,,,,,,1553711988.222868,1553711990.856978,
