Button,Time
"[['4', 215.59332513809204]]",1553876874.070023
"[['3', 368.21039605140686]]",1553877026.719501
"[['1', 55.67192196846008]]",1553877464.062106
"[['1', 31.072972059249878]]",1553877758.590885
"[['1', 118.71924591064453]]",1553877845.23965
"[['1', 125.29029583930969]]",1553877851.787352
"[['2', 124.99760293960571]]",1553878193.652859
"[['2', 151.11892080307007]]",1553878219.774396
"[['2', 172.37475299835205]]",1553878241.030129
"[['1', 78.0764741897583]]",1553878494.480065
"[['2', 103.01058602333069]]",1553878518.430209
"[['2', 126.063796043396]]",1553878541.483481
"[['2', 136.4321870803833]]",1553878551.851851
"[['2', 146.16529417037964]]",1553878561.585033
"[['2', 163.24266505241394]]",1553878578.662271
"[['2', 179.5807249546051]]",1553878595.000353
"[['3', 16.494606018066406]]",1553878766.051341
"[['2', 158.3050878047943]]",1553878907.832406
"[['3', 135.98598790168762]]",1553879189.376967
"[['1', 177.76464986801147]]",1553879231.969882
"[['2', 159.6721329689026]]",1553879522.302565
"[['2', 167.77240586280823]]",1553879529.337583
