,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
260,25,Memory,5,,,,,,,00787941205fa.jpg,,,,,1.232,2.0,,,,,,,1555440382.945437,1555440385.140617,
261,25,Memory,5,,,,,,,sunaaxjpzcnxligjtjq.jpg,,,,,1.259,3.0,,,,,,,1555440386.445861,1555440388.709376,
262,25,Memory,5,,,,,,,sunaaiqiqcggrskoqgy.jpg,,,,,1.067,2.0,,,,,,,1555440390.012282,1555440392.076667,
263,25,Memory,5,,,,,,,sunagcthdfirrcawoic.jpg,,,,,1.101,1.0,,,,,,,1555440393.347319,1555440395.615498,
264,25,Memory,5,,,,,,,00096931230fa.jpg,,,,,1.57,1.0,,,,,,,1555440396.91636,1555440399.113229,
265,25,Memory,5,,,,,,,sunawksfbacycuhbrsc.jpg,,,,,2.059,1.0,,,,,,,1555440400.417386,1555440402.953953,
266,25,Memory,5,,,,,,,sunaafvitpexrpvumsa.jpg,,,,,2.477,2.0,,,,,,,1555440404.251794,1555440406.752,
267,25,Memory,5,,,,,,,00836940307fa.jpg,,,,,1.342,2.0,,,,,,,1555440408.019908,1555440410.58313,
268,25,Memory,5,,,,,,,sunabllobxadqcyttej.jpg,,,,,1.191,1.0,,,,,,,1555440411.855153,1555440414.349737,
269,25,Memory,5,,,,,,,sunacwggadqsfpovdjv.jpg,,,,,2.475,2.0,,,,,,,1555440415.62234,1555440418.493144,
270,25,Memory,5,,,,,,,sunasbbntuiheekqyaq.jpg,,,,,1.761,2.0,,,,,,,1555440419.773517,1555440422.504002,
271,25,Memory,5,,,,,,,00082931230fa.jpg,,,,,1.392,1.0,,,,,,,1555440423.791297,1555440425.897937,
272,25,Memory,5,,,,,,,sunbmaiocftdtvnzgap.jpg,,,,,2.392,1.0,,,,,,,1555440427.159979,1555440429.807106,
273,25,Memory,5,,,,,,,00210940128fb.jpg,,,,,1.092,3.0,,,,,,,1555440431.078197,1555440433.322864,
274,25,Memory,5,,,,,,,sunadfndyrtqqiasoig.jpg,,,,,2.303,2.0,,,,,,,1555440434.595531,1555440437.015386,
275,25,Memory,5,,,,,,,00838940307fa.jpg,,,,,1.339,3.0,,,,,,,1555440438.295749,1555440440.342875,
276,25,Memory,5,,,,,,,00589940928fa.jpg,,,,,0.96,3.0,,,,,,,1555440441.61372,1555440443.878485,
277,25,Memory,5,,,,,,,sunabanoxjtqxamkucc.jpg,,,,,1.061,2.0,,,,,,,1555440445.148332,1555440447.578009,
278,25,Memory,5,,,,,,,00960960627fa.jpg,,,,,1.951,3.0,,,,,,,1555440448.849926,1555440451.364506,
279,25,Memory,5,,,,,,,sunaaelotvjgibjtjhs.jpg,,,,,1.309,2.0,,,,,,,1555440452.650562,1555440455.221196,
280,25,Memory,5,,,,,,,00971960627fa.jpg,,,,,1.559,3.0,,,,,,,1555440456.5027,1555440458.981363,
281,25,Memory,5,,,,,,,00944960627fa.jpg,,,,,0.994,2.0,,,,,,,1555440460.252874,1555440462.599453,
282,25,Memory,5,,,,,,,sunadqmjrhfjyuzyvdd.jpg,,,,,1.482,4.0,,,,,,,1555440463.887227,1555440466.353109,
283,25,Memory,5,,,,,,,00681941121fa.jpg,,,,,1.742,3.0,,,,,,,1555440467.62203,1555440470.272548,
284,25,Memory,5,,,,,,,sunacepzfrmtkiqonpy.jpg,,,,,0.692,2.0,,,,,,,1555440471.539488,1555440473.886918,
285,25,Memory,5,,,,,,,00648941031fa.jpg,,,,,0.0,,,,,,,,1555440475.157666,1555440477.825751,
286,25,Memory,5,,,,,,,00543940519fa.jpg,,,,,0.908,1.0,,,,,,,1555440479.142683,1555440481.507358,
287,25,Memory,5,,,,,,,sunainqelldeebvxtcz.jpg,,,,,1.494,1.0,,,,,,,1555440482.777327,1555440485.09082,
288,25,Memory,5,,,,,,,00062931230fb.jpg,,,,,1.326,1.0,,,,,,,1555440486.378544,1555440488.931262,
289,25,Memory,5,,,,,,,00211940128fa.jpg,,,,,1.278,1.0,,,,,,,1555440490.19131,1555440492.383088,
290,25,Memory,5,,,,,,,sunabasphceswhwwqvv.jpg,,,,,0.95,1.0,,,,,,,1555440493.66395,1555440495.931668,
291,25,Memory,5,,,,,,,sunagmwxxwymwojbvgi.jpg,,,,,1.191,2.0,,,,,,,1555440497.215374,1555440499.763961,
292,25,Memory,5,,,,,,,00270940422fb.jpg,,,,,0.359,2.0,,,,,,,1555440501.050298,1555440503.28125,
293,25,Memory,5,,,,,,,00988960627fa.jpg,,,,,1.927,1.0,,,,,,,1555440504.567149,1555440507.166514,
294,25,Memory,5,,,,,,,sunbbegcweqnetpdlrh.jpg,,,,,1.393,1.0,,,,,,,1555440508.468773,1555440510.817719,
295,25,Memory,5,,,,,,,00955960627fb.jpg,,,,,1.402,2.0,,,,,,,1555440512.087532,1555440514.499212,
296,25,Memory,5,,,,,,,00193940928fa.jpg,,,,,1.943,1.0,,,,,,,1555440515.789156,1555440518.284548,
297,25,Memory,5,,,,,,,sunaiozxhxgtfrmoagh.jpg,,,,,1.461,2.0,,,,,,,1555440519.538429,1555440522.059562,
298,25,Memory,5,,,,,,,00778941205fa.jpg,,,,,0.0,,,,,,,,1555440523.357543,1555440525.792522,
299,25,Memory,5,,,,,,,sunauburywlkjszngcq.jpg,,,,,1.815,2.0,,,,,,,1555440527.091782,1555440529.707713,
