,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
200,8,Presentation,4,00694941121fa_sunadrmfzmstgdjdcod.jpg,00635941031fa_sunaddsaeicthrfbkhe.jpg,00694941121fa.jpg,sunadrmfzmstgdjdcod.jpg,00635941031fa.jpg,sunaddsaeicthrfbkhe.jpg,,,>,Face,1.000849962234497,,,,1.0,,,3,,1551381569.268835,1551381572.301736,o
201,8,Presentation,4,00719941201fa_sunadvithllcgmfxsrn.jpg,00878960530fa_sunakgbnzxmfohgehnu.jpg,00719941201fa.jpg,sunadvithllcgmfxsrn.jpg,00878960530fa.jpg,sunakgbnzxmfohgehnu.jpg,,,>,Face,0.91658616065979,,,,1.0,,,3,,1551381577.140218,1551381580.1213,o
202,8,Presentation,4,00638941031fa_sunadfktsqjthoglcsm.jpg,00961960627fa_sunawotxrevnqvamsfp.jpg,00638941031fa.jpg,sunadfktsqjthoglcsm.jpg,00961960627fa.jpg,sunawotxrevnqvamsfp.jpg,,,<,Place,1.100783109664917,,,,0.0,,,1,,1551381584.82626,1551381587.807004,x
203,8,Presentation,4,00931960627fa_sunaptrqvaooxfvktvw.jpg,00990960627fa_sunbpflsdaxnddnwcqi.jpg,00931960627fa.jpg,sunaptrqvaooxfvktvw.jpg,00990960627fa.jpg,sunbpflsdaxnddnwcqi.jpg,,,<,Face,0.7884070873260498,,,,1.0,,,3,,1551381592.729289,1551381595.70929,o
204,8,Presentation,4,00885960530fa_sunakwlvxjpddialozd.jpg,01000960627fa_sunbvzmgrdvaakxusbu.jpg,00885960530fa.jpg,sunakwlvxjpddialozd.jpg,01000960627fa.jpg,sunbvzmgrdvaakxusbu.jpg,,,<,Face,1.5677180290222168,,,,1.0,,,1,,1551381600.315347,1551381603.301168,x
205,8,Presentation,4,01003960627fb_sunbwdrdvsweerwsdrj.jpg,00944960627fa_sunasbbntuiheekqyaq.jpg,01003960627fb.jpg,sunbwdrdvsweerwsdrj.jpg,00944960627fa.jpg,sunasbbntuiheekqyaq.jpg,,,>,Place,1.586967945098877,,,,1.0,,,3,,1551381608.701363,1551381611.680597,o
206,8,Presentation,4,00985960627fa_sunbgklxeqjhdbyfhhy.jpg,00778941205fa_sunagcthdfirrcawoic.jpg,00985960627fa.jpg,sunbgklxeqjhdbyfhhy.jpg,00778941205fa.jpg,sunagcthdfirrcawoic.jpg,,,<,Place,0.8296008110046387,,,,1.0,,,3,,1551381617.099641,1551381620.102764,o
207,8,Presentation,4,00972960627fa_sunbbfqwjpdxniyhies.jpg,00763941205fa_sunafhmnhsdurlvddpw.jpg,00972960627fa.jpg,sunbbfqwjpdxniyhies.jpg,00763941205fa.jpg,sunafhmnhsdurlvddpw.jpg,,,>,Place,1.3069288730621338,,,,0.0,,,3,,1551381624.756322,1551381627.736776,o
208,8,Presentation,4,00949960627fb_sunasnqkkyhilqkxiqm.jpg,00562941031fa_sunacjnahdmqfnjfwqx.jpg,00949960627fb.jpg,sunasnqkkyhilqkxiqm.jpg,00562941031fa.jpg,sunacjnahdmqfnjfwqx.jpg,,,>,Place,1.7009990215301514,,,,1.0,,,3,,1551381632.887275,1551381635.87238,o
209,8,Presentation,4,00959960627fa_sunavxokzybtomhbmvm.jpg,00097931230fa_sunaajayojuslbbnneg.jpg,00959960627fa.jpg,sunavxokzybtomhbmvm.jpg,00097931230fa.jpg,sunaajayojuslbbnneg.jpg,,,<,Face,1.9722559452056885,,,,1.0,,,3,,1551381641.373812,1551381644.358652,o
