,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
7550,"{'x': 1036.7257, 'y': 517.1655}",True,"{'avg': {'x': 1055.0779, 'y': 554.5764}, 'pcenter': {'x': 0.4328, 'y': 0.5047}, 'psize': 21.7714, 'raw': {'x': 1042.7058, 'y': 543.4205}}","{'x': 1034.4438, 'y': 530.4956}","{'avg': {'x': 1017.8646, 'y': 488.9106}, 'pcenter': {'x': 0.5787, 'y': 0.5079}, 'psize': 23.7537, 'raw': {'x': 1026.1819, 'y': 517.5707}}",7,288080652,1550771274.508,1026.1819,517.5707,1042.7058,543.4205,1034.44385,530.4956,0,82,1,/variabl,0,3
7551,"{'x': 1037.6117, 'y': 519.2568}",True,"{'avg': {'x': 1054.6992, 'y': 552.4823}, 'pcenter': {'x': 0.4329, 'y': 0.5045}, 'psize': 21.2631, 'raw': {'x': 1054.1383, 'y': 527.8705}}","{'x': 1053.9961, 'y': 522.5052}","{'avg': {'x': 1020.6979, 'y': 490.9125}, 'pcenter': {'x': 0.5789, 'y': 0.5077}, 'psize': 23.7885, 'raw': {'x': 1053.8538, 'y': 517.14}}",7,288080686,1550771274.542,1053.8538,517.14,1054.1383,527.8705,1053.9960500000002,522.5052499999999,0,82,1,/variabl,0,3
7552,"{'x': 1037.9742, 'y': 520.0246}",True,"{'avg': {'x': 1052.7329, 'y': 551.3176}, 'pcenter': {'x': 0.4327, 'y': 0.5046}, 'psize': 21.819, 'raw': {'x': 1030.2666, 'y': 535.0799}}","{'x': 1035.4048, 'y': 527.1965}","{'avg': {'x': 1022.4089, 'y': 492.7012}, 'pcenter': {'x': 0.5787, 'y': 0.5075}, 'psize': 23.8421, 'raw': {'x': 1040.5428, 'y': 519.3131}}",7,288080720,1550771274.576,1040.5428,519.3131,1030.2666,535.0799,1035.4047,527.1965,0,82,1,/variabl,0,3
7553,"{'x': 1038.2401, 'y': 520.755}",True,"{'avg': {'x': 1052.8538, 'y': 549.8185}, 'pcenter': {'x': 0.4325, 'y': 0.5047}, 'psize': 21.8234, 'raw': {'x': 1056.22, 'y': 539.5295}}","{'x': 1051.0864, 'y': 530.3113}","{'avg': {'x': 1024.3727, 'y': 494.8431}, 'pcenter': {'x': 0.5784, 'y': 0.5073}, 'psize': 23.9709, 'raw': {'x': 1045.953, 'y': 521.0932}}",7,288080765,1550771274.621,1045.953,521.0932,1056.22,539.5295,1051.0865,530.31135,0,82,1,/variabl,0,3
7554,"{'x': 1038.0481, 'y': 520.4856}",True,"{'avg': {'x': 1055.0918, 'y': 550.0525}, 'pcenter': {'x': 0.4323, 'y': 0.5048}, 'psize': 21.9952, 'raw': {'x': 1092.9933, 'y': 554.9818}}","{'x': 1059.7971, 'y': 533.6505}","{'avg': {'x': 1025.1033, 'y': 496.32}, 'pcenter': {'x': 0.5781, 'y': 0.507}, 'psize': 23.8399, 'raw': {'x': 1026.601, 'y': 512.3191}}",7,288080798,1550771274.654,1026.601,512.3191,1092.9933,554.9818,1059.79715,533.6504500000001,0,82,1,/variabl,0,3
7555,"{'x': 1038.2905, 'y': 520.9643}",True,"{'avg': {'x': 1055.8903, 'y': 550.6735}, 'pcenter': {'x': 0.4318, 'y': 0.5048}, 'psize': 21.7932, 'raw': {'x': 1075.8624, 'y': 557.5204}}","{'x': 1064.4834, 'y': 536.7037}","{'avg': {'x': 1027.3513, 'y': 498.4426}, 'pcenter': {'x': 0.5778, 'y': 0.5069}, 'psize': 24.1085, 'raw': {'x': 1053.1044, 'y': 515.8871}}",7,288080831,1550771274.687,1053.1044,515.8871,1075.8624,557.5204,1064.4834,536.70375,0,82,1,/variabl,0,3
7556,"{'x': 1039.6821, 'y': 521.8951}",True,"{'avg': {'x': 1062.4531, 'y': 550.3109}, 'pcenter': {'x': 0.4327, 'y': 0.5051}, 'psize': 21.564, 'raw': {'x': 1163.9463, 'y': 549.6259}}","{'x': 1162.6699, 'y': 545.5465}","{'avg': {'x': 1036.3962, 'y': 501.5247}, 'pcenter': {'x': 0.5788, 'y': 0.5074}, 'psize': 24.3111, 'raw': {'x': 1161.3937, 'y': 541.467}}",7,288080876,1550771274.732,1161.3937,541.467,1163.9463,549.6259,1162.67,545.54645,0,82,1,/variabl,0,3
7557,"{'x': 1042.3601, 'y': 523.6821}",True,"{'avg': {'x': 1302.6993, 'y': 597.9538}, 'pcenter': {'x': 0.4341, 'y': 0.5061}, 'psize': 22.0633, 'raw': {'x': 1302.6993, 'y': 597.9538}}","{'x': 1309.9148, 'y': 606.2996}","{'avg': {'x': 1317.1301, 'y': 614.6453}, 'pcenter': {'x': 0.5802, 'y': 0.5083}, 'psize': 24.469, 'raw': {'x': 1317.1301, 'y': 614.6453}}",7,288080909,1550771274.765,1317.1301,614.6453,1302.6993,597.9538,1309.9147,606.29955,0,82,1,/variabl,0,3
7558,"{'x': 1296.2441, 'y': 603.4517}",False,"{'avg': {'x': 1296.7167, 'y': 586.6805}, 'pcenter': {'x': 0.434, 'y': 0.5063}, 'psize': 21.6992, 'raw': {'x': 1296.7167, 'y': 586.6805}}","{'x': 1296.2441, 'y': 603.4517}","{'avg': {'x': 1295.7717, 'y': 620.223}, 'pcenter': {'x': 0.58, 'y': 0.5086}, 'psize': 24.7892, 'raw': {'x': 1295.7717, 'y': 620.223}}",7,288080943,1550771274.799,1295.7717,620.223,1296.7167,586.6805,1296.2442,603.45175,0,82,1,/variabl,0,3
7559,"{'x': 1307.9667, 'y': 601.7819}",False,"{'avg': {'x': 1311.5446, 'y': 594.576}, 'pcenter': {'x': 0.4342, 'y': 0.5066}, 'psize': 21.7057, 'raw': {'x': 1326.3346, 'y': 602.4515}}","{'x': 1319.6592, 'y': 600.1163}","{'avg': {'x': 1304.3888, 'y': 608.9877}, 'pcenter': {'x': 0.5802, 'y': 0.5087}, 'psize': 24.2374, 'raw': {'x': 1312.9839, 'y': 597.7811}}",7,288080987,1550771274.843,1312.9839,597.7811,1326.3346,602.4515,1319.65925,600.1163,0,82,1,/variabl,0,3
