,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
210,0,Memory,4,,,,,,,00966960627fa.jpg,,,,,1.806,1.0,,,,,,,1550771662.60058,1550771664.633885,
211,0,Memory,4,,,,,,,sunbasypfgzjtomktmu.jpg,,,,,1.669,2.0,,,,,,,1550771665.918024,1550771667.884918,
212,0,Memory,4,,,,,,,00548940519fa.jpg,,,,,0.887,1.0,,,,,,,1550771669.15129,1550771671.120208,
213,0,Memory,4,,,,,,,01011960627fa.jpg,,,,,1.521,1.0,,,,,,,1550771672.420131,1550771674.387224,
214,0,Memory,4,,,,,,,sunajxpkuhbizeveguy.jpg,,,,,0.987,2.0,,,,,,,1550771675.655335,1550771677.621387,
215,0,Memory,4,,,,,,,00804960530fa.jpg,,,,,1.454,3.0,,,,,,,1550771679.004819,1550771680.973705,
216,0,Memory,4,,,,,,,sunbvbrvgbpanfrawft.jpg,,,,,0.687,4.0,,,,,,,1550771682.290007,1550771684.256906,
217,0,Memory,4,,,,,,,sunajbwkywmsqkldfml.jpg,,,,,1.086,2.0,,,,,,,1550771685.508191,1550771687.475054,
218,0,Memory,4,,,,,,,sunacerqowiaeoqkmsq.jpg,,,,,0.702,4.0,,,,,,,1550771688.741227,1550771690.709108,
219,0,Memory,4,,,,,,,00787941205fa.jpg,,,,,0.953,3.0,,,,,,,1550771692.043459,1550771694.010328,
220,0,Memory,4,,,,,,,sunagmwxxwymwojbvgi.jpg,,,,,1.137,1.0,,,,,,,1550771695.277558,1550771697.24466,
221,0,Memory,4,,,,,,,sunammbnoambmhdxdwd.jpg,,,,,1.254,3.0,,,,,,,1550771698.544833,1550771700.512708,
222,0,Memory,4,,,,,,,sunahrltmuwbiehihpe.jpg,,,,,0.969,1.0,,,,,,,1550771701.895963,1550771703.862263,
223,0,Memory,4,,,,,,,00138931230fa.jpg,,,,,1.203,2.0,,,,,,,1550771705.130914,1550771707.09837,
224,0,Memory,4,,,,,,,00970960627fa.jpg,,,,,1.135,4.0,,,,,,,1550771708.398219,1550771710.366364,
225,0,Memory,4,,,,,,,sunagwswhkvnsmuszlz.jpg,,,,,1.052,2.0,,,,,,,1550771711.632324,1550771713.599345,
226,0,Memory,4,,,,,,,sunadrmfzmstgdjdcod.jpg,,,,,1.169,1.0,,,,,,,1550771714.9016,1550771716.867895,
227,0,Memory,4,,,,,,,00635941031fa.jpg,,,,,1.755,4.0,,,,,,,1550771718.150849,1550771720.118966,
228,0,Memory,4,,,,,,,00778941205fa.jpg,,,,,0.854,1.0,,,,,,,1550771721.369918,1550771723.335888,
229,0,Memory,4,,,,,,,00900960530fa.jpg,,,,,0.0,,,,,,,,1550771724.669964,1550771726.637293,
230,0,Memory,4,,,,,,,sunamlotskmmsjeogby.jpg,,,,,0.986,4.0,,,,,,,1550771727.938326,1550771729.905338,
231,0,Memory,4,,,,,,,sunawotxrevnqvamsfp.jpg,,,,,0.819,4.0,,,,,,,1550771731.188712,1550771733.156491,
232,0,Memory,4,,,,,,,00961960627fa.jpg,,,,,1.021,4.0,,,,,,,1550771734.556552,1550771736.524596,
