,avg,fix,lefteye,raw,righteye,state,time,timestamp,Run,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Behavior_Image_Start
39773,"{'x': 1057.1667, 'y': 579.4495}",True,"{'avg': {'x': 1056.8883, 'y': 597.3643}, 'pcenter': {'x': 0.4402, 'y': 0.5521}, 'psize': 32.1513, 'raw': {'x': 1037.6567, 'y': 610.6586}}","{'x': 1052.4901, 'y': 603.9052}","{'avg': {'x': 1058.8654, 'y': 608.642}, 'pcenter': {'x': 0.5803, 'y': 0.5535}, 'psize': 32.2065, 'raw': {'x': 1067.3235, 'y': 597.1517}}",7,10754208,1553715173.536,3,1067.3235,597.1517,1037.6567,610.6586,1052.4901,603.90515,12,64,1,/variabl,0.0,1553715173.53228
39774,"{'x': 1057.2561, 'y': 582.3854}",True,"{'avg': {'x': 1055.9238, 'y': 597.5246}, 'pcenter': {'x': 0.4403, 'y': 0.552}, 'psize': 31.5345, 'raw': {'x': 1047.5393, 'y': 591.1208}}","{'x': 1057.0212, 'y': 600.6157}","{'avg': {'x': 1059.5376, 'y': 608.8705}, 'pcenter': {'x': 0.5803, 'y': 0.5536}, 'psize': 31.614, 'raw': {'x': 1066.5031, 'y': 610.1105}}",7,10754242,1553715173.57,3,1066.5031,610.1105,1047.5393,591.1208,1057.0212,600.61565,12,64,1,/variabl,0.0,1553715173.53228
39775,"{'x': 1057.0704, 'y': 585.0886}",True,"{'avg': {'x': 1055.0306, 'y': 598.5989}, 'pcenter': {'x': 0.4403, 'y': 0.5522}, 'psize': 31.8, 'raw': {'x': 1051.4147, 'y': 604.0819}}","{'x': 1060.2583, 'y': 603.7255}","{'avg': {'x': 1060.014, 'y': 608.4535}, 'pcenter': {'x': 0.5803, 'y': 0.5536}, 'psize': 31.6741, 'raw': {'x': 1069.1019, 'y': 603.3691}}",7,10754277,1553715173.605,3,1069.1019,603.3691,1051.4147,604.0819,1060.2583,603.7255,12,64,1,/variabl,0.0,1553715173.53228
39776,"{'x': 1057.193, 'y': 587.4105}",True,"{'avg': {'x': 1054.4119, 'y': 599.189}, 'pcenter': {'x': 0.4403, 'y': 0.552}, 'psize': 31.6785, 'raw': {'x': 1051.3597, 'y': 598.5327}}","{'x': 1056.3867, 'y': 591.1065}","{'avg': {'x': 1060.4238, 'y': 607.0784}, 'pcenter': {'x': 0.5803, 'y': 0.5534}, 'psize': 31.7863, 'raw': {'x': 1061.4136, 'y': 583.6804}}",7,10754310,1553715173.638,3,1061.4136,583.6804,1051.3597,598.5327,1056.38665,591.10655,12,64,1,/variabl,0.0,1553715173.53228
39777,"{'x': 1057.2039, 'y': 589.9495}",True,"{'avg': {'x': 1053.0608, 'y': 601.4269}, 'pcenter': {'x': 0.4403, 'y': 0.552}, 'psize': 31.7227, 'raw': {'x': 1041.9415, 'y': 622.9568}}","{'x': 1048.8218, 'y': 615.1001}","{'avg': {'x': 1060.4343, 'y': 606.7953}, 'pcenter': {'x': 0.5804, 'y': 0.5535}, 'psize': 31.6031, 'raw': {'x': 1055.7019, 'y': 607.2433}}",7,10754355,1553715173.683,3,1055.7019,607.2433,1041.9415,622.9568,1048.8217,615.10005,12,64,1,/variabl,0.0,1553715173.53228
39778,"{'x': 1057.0223, 'y': 592.1302}",True,"{'avg': {'x': 1051.9381, 'y': 602.6468}, 'pcenter': {'x': 0.4403, 'y': 0.5519}, 'psize': 31.9869, 'raw': {'x': 1040.8428, 'y': 616.1696}}","{'x': 1061.396, 'y': 616.8461}","{'avg': {'x': 1061.5913, 'y': 607.2511}, 'pcenter': {'x': 0.5805, 'y': 0.5535}, 'psize': 31.6648, 'raw': {'x': 1081.9492, 'y': 617.5226}}",7,10754390,1553715173.718,3,1081.9492,617.5226,1040.8428,616.1696,1061.396,616.8461,12,64,1,/variabl,0.0,1553715173.53228
39779,"{'x': 1057.0065, 'y': 593.8987}",True,"{'avg': {'x': 1051.1871, 'y': 602.547}, 'pcenter': {'x': 0.4404, 'y': 0.5518}, 'psize': 31.7298, 'raw': {'x': 1042.8131, 'y': 597.48}}","{'x': 1046.3964, 'y': 591.7068}","{'avg': {'x': 1061.1094, 'y': 605.8518}, 'pcenter': {'x': 0.5804, 'y': 0.5533}, 'psize': 31.8353, 'raw': {'x': 1049.9796, 'y': 585.9335}}",7,10754423,1553715173.751,3,1049.9796,585.9335,1042.8131,597.48,1046.39635,591.70675,12,64,1,/variabl,0.0,1553715173.53228
39780,"{'x': 1057.2836, 'y': 595.6925}",True,"{'avg': {'x': 1050.4073, 'y': 604.9325}, 'pcenter': {'x': 0.4403, 'y': 0.552}, 'psize': 31.8197, 'raw': {'x': 1044.3823, 'y': 633.0845}}","{'x': 1056.7131, 'y': 624.0267}","{'avg': {'x': 1062.0022, 'y': 606.0652}, 'pcenter': {'x': 0.5804, 'y': 0.5535}, 'psize': 31.7799, 'raw': {'x': 1069.0441, 'y': 614.9688}}",7,10754466,1553715173.794,3,1069.0441,614.9688,1044.3823,633.0845,1056.7132000000001,624.02665,12,64,1,/variabl,0.0,1553715173.53228
39781,"{'x': 1057.3195, 'y': 597.2626}",True,"{'avg': {'x': 1050.2395, 'y': 606.9019}, 'pcenter': {'x': 0.4403, 'y': 0.5521}, 'psize': 32.2222, 'raw': {'x': 1056.0769, 'y': 632.1625}}","{'x': 1069.6388, 'y': 614.3765}","{'avg': {'x': 1063.8093, 'y': 605.1409}, 'pcenter': {'x': 0.5804, 'y': 0.5535}, 'psize': 32.3272, 'raw': {'x': 1083.2007, 'y': 596.5904}}",7,10754500,1553715173.828,3,1083.2007,596.5904,1056.0769,632.1625,1069.6388000000002,614.37645,12,64,1,/variabl,0.0,1553715173.53228
39782,"{'x': 1057.3672, 'y': 598.525}",True,"{'avg': {'x': 1049.9369, 'y': 607.2922}, 'pcenter': {'x': 0.4404, 'y': 0.5522}, 'psize': 31.9638, 'raw': {'x': 1045.3702, 'y': 604.404}}","{'x': 1048.0469, 'y': 602.7454}","{'avg': {'x': 1063.2692, 'y': 604.1034}, 'pcenter': {'x': 0.5803, 'y': 0.5536}, 'psize': 31.9663, 'raw': {'x': 1050.7235, 'y': 601.0867}}",7,10754535,1553715173.863,3,1050.7235,601.0867,1045.3702,604.404,1048.0468500000002,602.7453499999999,12,64,1,/variabl,0.0,1553715173.53228
39783,"{'x': 1057.4117, 'y': 599.6653}",True,"{'avg': {'x': 1050.3181, 'y': 606.5051}, 'pcenter': {'x': 0.4405, 'y': 0.5521}, 'psize': 30.737, 'raw': {'x': 1059.1108, 'y': 591.6962}}","{'x': 1065.1436, 'y': 596.9121}","{'avg': {'x': 1064.2974, 'y': 603.3021}, 'pcenter': {'x': 0.5804, 'y': 0.5536}, 'psize': 30.4336, 'raw': {'x': 1071.1761, 'y': 602.1281}}",7,10754568,1553715173.896,3,1071.1761,602.1281,1059.1108,591.6962,1065.14345,596.91215,12,64,1,/variabl,0.0,1553715173.53228
39784,"{'x': 1057.6189, 'y': 600.6532}",True,"{'avg': {'x': 1050.6381, 'y': 608.4213}, 'pcenter': {'x': 0.4405, 'y': 0.5522}, 'psize': 30.002, 'raw': {'x': 1056.6511, 'y': 631.6182}}","{'x': 1059.4395, 'y': 621.2476}","{'avg': {'x': 1064.7323, 'y': 603.4658}, 'pcenter': {'x': 0.5804, 'y': 0.5537}, 'psize': 29.7971, 'raw': {'x': 1062.2278, 'y': 610.877}}",7,10754613,1553715173.941,3,1062.2278,610.877,1056.6511,631.6182,1059.4394499999999,621.2475999999999,12,64,1,/variabl,0.0,1553715173.53228
39785,"{'x': 1058.075, 'y': 601.3658}",True,"{'avg': {'x': 1050.4832, 'y': 612.1097}, 'pcenter': {'x': 0.4404, 'y': 0.5521}, 'psize': 29.2929, 'raw': {'x': 1046.4977, 'y': 654.4114}}","{'x': 1048.2877, 'y': 628.3943}","{'avg': {'x': 1063.8677, 'y': 603.2006}, 'pcenter': {'x': 0.5803, 'y': 0.5535}, 'psize': 28.9521, 'raw': {'x': 1050.0778, 'y': 602.3771}}",7,10754646,1553715173.974,3,1050.0778,602.3771,1046.4977,654.4114,1048.28775,628.39425,12,64,1,/variabl,0.0,1553715173.53228
39786,"{'x': 1058.1229, 'y': 602.2519}",True,"{'avg': {'x': 1050.8993, 'y': 612.8041}, 'pcenter': {'x': 0.4406, 'y': 0.5519}, 'psize': 28.6455, 'raw': {'x': 1063.6873, 'y': 615.709}}","{'x': 1058.6311, 'y': 614.3466}","{'avg': {'x': 1063.2577, 'y': 603.5039}, 'pcenter': {'x': 0.5804, 'y': 0.5536}, 'psize': 28.3441, 'raw': {'x': 1053.5748, 'y': 612.9842}}",7,10754679,1553715174.007,3,1053.5748,612.9842,1063.6873,615.709,1058.63105,614.3466,12,64,1,/variabl,0.0,1553715173.53228
39787,"{'x': 1058.2015, 'y': 603.079}",True,"{'avg': {'x': 1051.7346, 'y': 614.6775}, 'pcenter': {'x': 0.4406, 'y': 0.552}, 'psize': 28.4159, 'raw': {'x': 1066.0874, 'y': 630.7163}}","{'x': 1059.2131, 'y': 624.5188}","{'avg': {'x': 1062.7094, 'y': 604.3365}, 'pcenter': {'x': 0.5804, 'y': 0.5537}, 'psize': 27.7555, 'raw': {'x': 1052.339, 'y': 618.3213}}",7,10754724,1553715174.052,3,1052.339,618.3213,1066.0874,630.7163,1059.2132,624.5188,12,64,1,/variabl,0.0,1553715173.53228
39788,"{'x': 1058.4597, 'y': 603.605}",True,"{'avg': {'x': 1053.2465, 'y': 614.4688}, 'pcenter': {'x': 0.4406, 'y': 0.5519}, 'psize': 27.8424, 'raw': {'x': 1076.4337, 'y': 602.6105}}","{'x': 1061.749, 'y': 607.7567}","{'avg': {'x': 1061.6266, 'y': 604.9344}, 'pcenter': {'x': 0.5803, 'y': 0.5537}, 'psize': 27.3489, 'raw': {'x': 1047.0645, 'y': 612.903}}",7,10754758,1553715174.086,3,1047.0645,612.903,1076.4337,602.6105,1061.7491,607.75675,12,64,1,/variabl,0.0,1553715173.53228
39789,"{'x': 1058.7207, 'y': 604.0037}",True,"{'avg': {'x': 1054.8828, 'y': 615.1146}, 'pcenter': {'x': 0.4406, 'y': 0.552}, 'psize': 27.6734, 'raw': {'x': 1081.4434, 'y': 619.7924}}","{'x': 1070.0665, 'y': 612.4299}","{'avg': {'x': 1061.5916, 'y': 604.9071}, 'pcenter': {'x': 0.5803, 'y': 0.5536}, 'psize': 27.1382, 'raw': {'x': 1058.6897, 'y': 605.0673}}",7,10754792,1553715174.12,3,1058.6897,605.0673,1081.4434,619.7924,1070.06655,612.42985,12,64,1,/variabl,0.0,1553715173.53228
39790,"{'x': 1058.7722, 'y': 604.7526}",True,"{'avg': {'x': 1056.0272, 'y': 615.8309}, 'pcenter': {'x': 0.4405, 'y': 0.552}, 'psize': 27.3481, 'raw': {'x': 1066.9987, 'y': 620.5869}}","{'x': 1061.6904, 'y': 624.9421}","{'avg': {'x': 1061.3134, 'y': 606.5521}, 'pcenter': {'x': 0.5803, 'y': 0.5538}, 'psize': 27.2036, 'raw': {'x': 1056.3822, 'y': 629.2972}}",7,10754837,1553715174.165,3,1056.3822,629.2972,1066.9987,620.5869,1061.69045,624.94205,12,64,1,/variabl,0.0,1553715173.53228
39791,"{'x': 1058.817, 'y': 605.4208}",True,"{'avg': {'x': 1056.7825, 'y': 616.8523}, 'pcenter': {'x': 0.4405, 'y': 0.552}, 'psize': 27.3018, 'raw': {'x': 1062.9249, 'y': 630.1984}}","{'x': 1052.9534, 'y': 615.7533}","{'avg': {'x': 1060.0088, 'y': 606.2055}, 'pcenter': {'x': 0.5803, 'y': 0.5536}, 'psize': 27.1757, 'raw': {'x': 1042.9819, 'y': 601.3082}}",7,10754870,1553715174.198,3,1042.9819,601.3082,1062.9249,630.1984,1052.9533999999999,615.7533000000001,12,64,1,/variabl,0.0,1553715173.53228
39792,"{'x': 1058.855, 'y': 606.0116}",True,"{'avg': {'x': 1058.2804, 'y': 617.5343}, 'pcenter': {'x': 0.4406, 'y': 0.552}, 'psize': 28.1274, 'raw': {'x': 1074.9619, 'y': 618.2004}}","{'x': 1061.8396, 'y': 612.0241}","{'avg': {'x': 1058.8932, 'y': 606.3206}, 'pcenter': {'x': 0.5803, 'y': 0.5536}, 'psize': 27.7097, 'raw': {'x': 1048.7174, 'y': 605.8478}}",7,10754904,1553715174.232,3,1048.7174,605.8478,1074.9619,618.2004,1061.83965,612.0241,12,64,1,/variabl,0.0,1553715173.53228
39793,"{'x': 1058.947, 'y': 606.932}",True,"{'avg': {'x': 1059.4952, 'y': 617.3812}, 'pcenter': {'x': 0.4407, 'y': 0.5519}, 'psize': 28.7733, 'raw': {'x': 1073.584, 'y': 610.9229}}","{'x': 1069.4375, 'y': 624.1241}","{'avg': {'x': 1059.155, 'y': 608.8862}, 'pcenter': {'x': 0.5804, 'y': 0.5538}, 'psize': 28.1982, 'raw': {'x': 1065.2909, 'y': 637.3254}}",7,10754948,1553715174.276,3,1065.2909,637.3254,1073.584,610.9229,1069.43745,624.12415,12,64,1,/variabl,0.0,1553715173.53228
39794,"{'x': 1058.9951, 'y': 607.6107}",True,"{'avg': {'x': 1060.4166, 'y': 617.3488}, 'pcenter': {'x': 0.4407, 'y': 0.5519}, 'psize': 28.7268, 'raw': {'x': 1068.6758, 'y': 609.6953}}","{'x': 1062.3611, 'y': 609.5164}","{'avg': {'x': 1058.3289, 'y': 609.2429}, 'pcenter': {'x': 0.5804, 'y': 0.5537}, 'psize': 28.0716, 'raw': {'x': 1056.0465, 'y': 609.3375}}",7,10754982,1553715174.31,3,1056.0465,609.3375,1068.6758,609.6953,1062.36115,609.5164,12,64,1,/variabl,0.0,1553715173.53228
39795,"{'x': 1059.0687, 'y': 608.1594}",True,"{'avg': {'x': 1061.6335, 'y': 617.0376}, 'pcenter': {'x': 0.4408, 'y': 0.5519}, 'psize': 29.0476, 'raw': {'x': 1068.3918, 'y': 609.3302}}","{'x': 1057.885, 'y': 614.5355}","{'avg': {'x': 1057.3367, 'y': 610.2888}, 'pcenter': {'x': 0.5804, 'y': 0.5537}, 'psize': 28.3269, 'raw': {'x': 1047.3783, 'y': 619.7407}}",7,10755015,1553715174.343,3,1047.3783,619.7407,1068.3918,609.3302,1057.88505,614.53545,12,64,1,/variabl,0.0,1553715173.53228
39796,"{'x': 1059.1506, 'y': 608.7779}",True,"{'avg': {'x': 1061.6622, 'y': 617.0356}, 'pcenter': {'x': 0.4407, 'y': 0.5519}, 'psize': 29.0387, 'raw': {'x': 1053.6715, 'y': 608.9304}}","{'x': 1051.2048, 'y': 618.7909}","{'avg': {'x': 1056.481, 'y': 611.6161}, 'pcenter': {'x': 0.5805, 'y': 0.5538}, 'psize': 28.5043, 'raw': {'x': 1048.738, 'y': 628.6514}}",7,10755049,1553715174.377,3,1048.738,628.6514,1053.6715,608.9304,1051.2047499999999,618.7909,12,64,1,/variabl,0.0,1553715173.53228
39797,"{'x': 1059.3218, 'y': 609.5616}",True,"{'avg': {'x': 1061.0842, 'y': 617.8514}, 'pcenter': {'x': 0.4405, 'y': 0.552}, 'psize': 29.4235, 'raw': {'x': 1046.0823, 'y': 626.6053}}","{'x': 1041.6658, 'y': 630.5553}","{'avg': {'x': 1054.8894, 'y': 613.4153}, 'pcenter': {'x': 0.5802, 'y': 0.5538}, 'psize': 28.8194, 'raw': {'x': 1037.2494, 'y': 634.5052}}",7,10755093,1553715174.421,3,1037.2494,634.5052,1046.0823,626.6053,1041.6658499999999,630.55525,12,64,1,/variabl,0.0,1553715173.53228
39798,"{'x': 1058.8413, 'y': 610.4325}",True,"{'avg': {'x': 737.9417, 'y': 642.0968}, 'pcenter': {'x': 0.4378, 'y': 0.5521}, 'psize': 29.6609, 'raw': {'x': 737.9417, 'y': 642.0968}}","{'x': 728.8246, 'y': 650.2913}","{'avg': {'x': 719.7075, 'y': 658.4857}, 'pcenter': {'x': 0.5772, 'y': 0.5538}, 'psize': 28.6583, 'raw': {'x': 719.7075, 'y': 658.4857}}",7,10755127,1553715174.455,3,719.7075,658.4857,737.9417,642.0968,728.8245999999999,650.29125,12,64,1,/variabl,0.0,1553715173.53228
39799,"{'x': 719.4814, 'y': 647.5677}",False,"{'avg': {'x': 740.7782, 'y': 628.4391}, 'pcenter': {'x': 0.4378, 'y': 0.5521}, 'psize': 29.8689, 'raw': {'x': 740.7782, 'y': 628.4391}}","{'x': 719.4814, 'y': 647.5677}","{'avg': {'x': 698.1846, 'y': 666.6964}, 'pcenter': {'x': 0.5772, 'y': 0.5538}, 'psize': 28.945, 'raw': {'x': 698.1846, 'y': 666.6964}}",7,10755160,1553715174.488,3,698.1846,666.6964,740.7782,628.4391,719.4814,647.56775,12,64,1,/variabl,0.0,1553715173.53228
39800,"{'x': 723.755, 'y': 652.1918}",False,"{'avg': {'x': 734.3794, 'y': 629.1912}, 'pcenter': {'x': 0.4377, 'y': 0.5521}, 'psize': 30.0578, 'raw': {'x': 727.9969, 'y': 629.9412}}","{'x': 728.0176, 'y': 656.8044}","{'avg': {'x': 713.1304, 'y': 675.1929}, 'pcenter': {'x': 0.5773, 'y': 0.5539}, 'psize': 29.0877, 'raw': {'x': 728.0382, 'y': 683.6677}}",7,10755205,1553715174.533,3,728.0382,683.6677,727.9969,629.9412,728.01755,656.80445,12,64,1,/variabl,0.0,1553715173.53228
39801,"{'x': 720.2979, 'y': 662.9563}",False,"{'avg': {'x': 726.9834, 'y': 620.6993}, 'pcenter': {'x': 0.4377, 'y': 0.552}, 'psize': 29.3251, 'raw': {'x': 712.3176, 'y': 603.8198}}","{'x': 718.2415, 'y': 637.2449}","{'avg': {'x': 716.8497, 'y': 673.6933}, 'pcenter': {'x': 0.5773, 'y': 0.5539}, 'psize': 29.2532, 'raw': {'x': 724.1652, 'y': 670.67}}",7,10755238,1553715174.566,3,724.1652,670.67,712.3176,603.8198,718.2414,637.2448999999999,12,64,1,/variabl,0.0,1553715173.53228
39802,"{'x': 722.9114, 'y': 658.8892}",False,"{'avg': {'x': 734.7423, 'y': 622.1971}, 'pcenter': {'x': 0.4379, 'y': 0.552}, 'psize': 29.535, 'raw': {'x': 757.8877, 'y': 626.7617}}","{'x': 748.4656, 'y': 652.9873}","{'avg': {'x': 722.4806, 'y': 675.0905}, 'pcenter': {'x': 0.5774, 'y': 0.554}, 'psize': 29.3811, 'raw': {'x': 739.0436, 'y': 679.213}}",7,10755272,1553715174.6,3,739.0436,679.213,757.8877,626.7617,748.46565,652.98735,12,64,1,/variabl,0.0,1553715173.53228
39803,"{'x': 725.3285, 'y': 656.3213}",False,"{'avg': {'x': 755.1613, 'y': 614.8828}, 'pcenter': {'x': 0.438, 'y': 0.5519}, 'psize': 29.7341, 'raw': {'x': 755.1613, 'y': 614.8828}}","{'x': 735.8594, 'y': 640.3571}","{'avg': {'x': 716.5574, 'y': 665.8312}, 'pcenter': {'x': 0.5775, 'y': 0.5539}, 'psize': 29.4186, 'raw': {'x': 716.5574, 'y': 665.8312}}",7,10755316,1553715174.644,3,716.5574,665.8312,755.1613,614.8828,735.85935,640.357,12,64,1,/variabl,0.0,1553715173.53228
39804,"{'x': 727.8348, 'y': 656.0558}",False,"{'avg': {'x': 736.1379, 'y': 609.717}, 'pcenter': {'x': 0.438, 'y': 0.5518}, 'psize': 29.6735, 'raw': {'x': 736.1379, 'y': 609.717}}","{'x': 727.8348, 'y': 656.0558}","{'avg': {'x': 719.5316, 'y': 702.3947}, 'pcenter': {'x': 0.5776, 'y': 0.554}, 'psize': 29.9957, 'raw': {'x': 719.5316, 'y': 702.3947}}",7,10755350,1553715174.678,3,719.5316,702.3947,736.1379,609.717,727.83475,656.05585,12,64,1,/variabl,0.0,1553715173.53228
39805,"{'x': 730.728, 'y': 653.2939}",False,"{'avg': {'x': 739.4692, 'y': 614.2348}, 'pcenter': {'x': 0.438, 'y': 0.5519}, 'psize': 29.9634, 'raw': {'x': 742.7919, 'y': 618.741}}","{'x': 733.6141, 'y': 650.5388}","{'avg': {'x': 721.9871, 'y': 692.3528}, 'pcenter': {'x': 0.5777, 'y': 0.5539}, 'psize': 29.7926, 'raw': {'x': 724.4363, 'y': 682.3366}}",7,10755383,1553715174.711,3,724.4363,682.3366,742.7919,618.741,733.6141,650.5388,12,64,1,/variabl,0.0,1553715173.53228
39806,"{'x': 730.6114, 'y': 651.1448}",False,"{'avg': {'x': 739.8391, 'y': 619.5566}, 'pcenter': {'x': 0.438, 'y': 0.552}, 'psize': 29.6571, 'raw': {'x': 740.5574, 'y': 630.1099}}","{'x': 727.7769, 'y': 647.5422}","{'avg': {'x': 719.6511, 'y': 683.171}, 'pcenter': {'x': 0.5776, 'y': 0.5541}, 'psize': 29.7099, 'raw': {'x': 714.9963, 'y': 664.9747}}",7,10755427,1553715174.755,3,714.9963,664.9747,740.5574,630.1099,727.77685,647.5423000000001,12,64,1,/variabl,0.0,1553715173.53228
