,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
150,13,Presentation,3,00749941201fa_sunaeuvjbmdpknaqqaj.jpg,00785941205fa_sunaglqunwuycxydmyu.jpg,00749941201fa.jpg,sunaeuvjbmdpknaqqaj.jpg,00785941205fa.jpg,sunaglqunwuycxydmyu.jpg,,,<,Face,0.8568110466003418,,,,1.0,,,3,,1553878090.031929,1553878093.066908,o
151,13,Presentation,3,00730960620fa_sunaekgzpfilgjxpeyq.jpg,00935960627fa_sunaqbmgkgqucajzrkp.jpg,00730960620fa.jpg,sunaekgzpfilgjxpeyq.jpg,00935960627fa.jpg,sunaqbmgkgqucajzrkp.jpg,,,>,Face,0.7016489505767822,,,,1.0,,,1,,1553878097.738546,1553878100.725216,x
152,13,Presentation,3,00543940519fa_sunacepzfrmtkiqonpy.jpg,00260940128fa_sunabgfhvifeijihhjw.jpg,00543940519fa.jpg,sunacepzfrmtkiqonpy.jpg,00260940128fa.jpg,sunabgfhvifeijihhjw.jpg,,,<,Place,0.5491528511047363,,,,1.0,,,1,,1553878105.241205,1553878108.227106,x
153,13,Presentation,3,00705941205fa_sunadtlxenqqxsyjvix.jpg,00894960620fa_sunalqmfgeadpqsyzpd.jpg,00705941205fa.jpg,sunadtlxenqqxsyjvix.jpg,00894960620fa.jpg,sunalqmfgeadpqsyzpd.jpg,,,<,Place,0.5505878925323486,,,,1.0,,,1,,1553878112.555612,1553878115.539581,o
154,13,Presentation,3,00784941205fb_sunagjzcrjvmxzqzljx.jpg,00505960627fa_sunabzuqsrgcsonqlkz.jpg,00784941205fb.jpg,sunagjzcrjvmxzqzljx.jpg,00505960627fa.jpg,sunabzuqsrgcsonqlkz.jpg,,,<,Face,0.5834000110626221,,,,1.0,,,1,,1553878119.879247,1553878122.862283,x
155,13,Presentation,3,00933960627fa_sunapwjkcxdaeqehfql.jpg,00878960530fa_sunakgbnzxmfohgehnu.jpg,00933960627fa.jpg,sunapwjkcxdaeqehfql.jpg,00878960530fa.jpg,sunakgbnzxmfohgehnu.jpg,,,>,Place,0.6358129978179932,,,,1.0,,,3,,1553878127.293962,1553878130.27748,o
156,13,Presentation,3,00746941201fa_sunaetydippjxikifsb.jpg,01005960627fa_sunbwyuesflwdpqtgoy.jpg,00746941201fa.jpg,sunaetydippjxikifsb.jpg,01005960627fa.jpg,sunbwyuesflwdpqtgoy.jpg,,,>,Face,0.582244873046875,,,,1.0,,,3,,1553878134.683402,1553878137.670012,o
157,13,Presentation,3,00906960530fa_sunantryfbloeaomfta.jpg,00184940128fa_sunaavtbadenwnzeutj.jpg,00906960530fa.jpg,sunantryfbloeaomfta.jpg,00184940128fa.jpg,sunaavtbadenwnzeutj.jpg,,,>,Place,0.5243029594421387,,,,1.0,,,3,,1553878142.070164,1553878145.056947,o
158,13,Presentation,3,00096931230fa_sunaaiqiqcggrskoqgy.jpg,00080931230fb_sunaafjszryxyavjzln.jpg,00096931230fa.jpg,sunaaiqiqcggrskoqgy.jpg,00080931230fb.jpg,sunaafjszryxyavjzln.jpg,,,>,Face,0.5147318840026855,,,,1.0,,,3,,1553878149.400609,1553878152.392747,o
159,13,Presentation,3,00136931230fb_sunaanptmsknhirrzed.jpg,00952960627fa_sunathzzbcwjykldrem.jpg,00136931230fb.jpg,sunaanptmsknhirrzed.jpg,00952960627fa.jpg,sunathzzbcwjykldrem.jpg,,,<,Place,0.43016910552978516,,,,0.0,,,3,,1553878156.723272,1553878159.707802,x
