,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
210,15,Memory,4,,,,,,,00267940128fb.jpg,,,,,1.065,1.0,,,,,,,1554129738.108186,1554129740.154975,
211,15,Memory,4,,,,,,,00935960627fa.jpg,,,,,0.703,1.0,,,,,,,1554129741.420788,1554129743.407794,
212,15,Memory,4,,,,,,,sunaozisvwfbmlkfhzv.jpg,,,,,1.338,1.0,,,,,,,1554129744.705667,1554129746.690733,
213,15,Memory,4,,,,,,,00933960627fa.jpg,,,,,1.02,1.0,,,,,,,1554129747.940761,1554129749.92492,
214,15,Memory,4,,,,,,,sunaayehfdqcyxggsej.jpg,,,,,0.87,1.0,,,,,,,1554129751.175861,1554129753.158884,
215,15,Memory,4,,,,,,,sunaeomlfaabhpswasy.jpg,,,,,1.337,2.0,,,,,,,1554129754.408979,1554129756.393457,
216,15,Memory,4,,,,,,,sunaflojskatpeqyzqp.jpg,,,,,0.737,1.0,,,,,,,1554129757.643277,1554129759.626528,
217,15,Memory,4,,,,,,,sunafvtpfczkzopbgue.jpg,,,,,1.436,3.0,,,,,,,1554129760.878499,1554129762.862473,
218,15,Memory,4,,,,,,,sunadpnqovzckyikrjo.jpg,,,,,1.538,1.0,,,,,,,1554129764.129456,1554129766.112846,
219,15,Memory,4,,,,,,,sunaisiwfgppimtnmxl.jpg,,,,,0.803,1.0,,,,,,,1554129767.362981,1554129769.34682,
220,15,Memory,4,,,,,,,sunaloffvbvysigxent.jpg,,,,,0.736,1.0,,,,,,,1554129770.698031,1554129772.682255,
221,15,Memory,4,,,,,,,00895960530fa.jpg,,,,,0.787,1.0,,,,,,,1554129773.965197,1554129775.950327,
222,15,Memory,4,,,,,,,00077931230fb.jpg,,,,,0.619,1.0,,,,,,,1554129777.399501,1554129779.383307,
223,15,Memory,4,,,,,,,00841940307fa.jpg,,,,,0.702,1.0,,,,,,,1554129780.701395,1554129782.68556,
224,15,Memory,4,,,,,,,00961960627fa.jpg,,,,,0.903,1.0,,,,,,,1554129783.93584,1554129785.919718,
225,15,Memory,4,,,,,,,00744941201fa.jpg,,,,,0.655,1.0,,,,,,,1554129787.18686,1554129789.170858,
226,15,Memory,4,,,,,,,00770941201fa.jpg,,,,,0.536,1.0,,,,,,,1554129790.421942,1554129792.40529,
227,15,Memory,4,,,,,,,00774941201fa.jpg,,,,,1.254,1.0,,,,,,,1554129793.654972,1554129795.639459,
228,15,Memory,4,,,,,,,00676941121fa.jpg,,,,,0.969,1.0,,,,,,,1554129796.907286,1554129798.890669,
229,15,Memory,4,,,,,,,00792941205fa.jpg,,,,,1.353,1.0,,,,,,,1554129800.141495,1554129802.124645,
230,15,Memory,4,,,,,,,sunagmhildamktmqjss.jpg,,,,,1.671,3.0,,,,,,,1554129803.375565,1554129805.359644,
231,15,Memory,4,,,,,,,sunaafgqutfaishsxyu.jpg,,,,,1.004,2.0,,,,,,,1554129806.626887,1554129808.610035,
232,15,Memory,4,,,,,,,sunaqbmgkgqucajzrkp.jpg,,,,,1.17,2.0,,,,,,,1554129809.978936,1554129811.961052,
233,15,Memory,4,,,,,,,sunaakxgygjfqrzpyoz.jpg,,,,,1.333,2.0,,,,,,,1554129813.24437,1554129815.233026,
234,15,Memory,4,,,,,,,00859940307fa.jpg,,,,,1.391,1.0,,,,,,,1554129816.534306,1554129818.546134,
235,15,Memory,4,,,,,,,00120931230fa.jpg,,,,,1.308,1.0,,,,,,,1554129819.833743,1554129821.830459,
236,15,Memory,4,,,,,,,sunamczizlzavhzhpay.jpg,,,,,1.14,2.0,,,,,,,1554129823.202742,1554129825.198953,
237,15,Memory,4,,,,,,,00893960530Fa.jpg,,,,,0.573,2.0,,,,,,,1554129826.603256,1554129828.603806,
238,15,Memory,4,,,,,,,00786941205fa.jpg,,,,,0.801,1.0,,,,,,,1554129829.904918,1554129831.900938,
239,15,Memory,4,,,,,,,sunaqsolmfydodnakub.jpg,,,,,1.29,3.0,,,,,,,1554129833.171679,1554129835.154392,
240,15,Memory,4,,,,,,,sunaiycurtqsfkvcaso.jpg,,,,,1.7,3.0,,,,,,,1554129836.439411,1554129838.451676,
241,15,Memory,4,,,,,,,sunbwaafjdebjzttuvq.jpg,,,,,1.968,1.0,,,,,,,1554129839.857504,1554129841.839179,
242,15,Memory,4,,,,,,,sunablfqiwfqomjarht.jpg,,,,,1.416,2.0,,,,,,,1554129843.125728,1554129845.123077,
243,15,Memory,4,,,,,,,00937960627fa.jpg,,,,,0.765,2.0,,,,,,,1554129846.410097,1554129848.3933,
244,15,Memory,4,,,,,,,sunapwjkcxdaeqehfql.jpg,,,,,1.216,2.0,,,,,,,1554129849.671809,1554129851.663342,
245,15,Memory,4,,,,,,,01002960627fb.jpg,,,,,0.783,1.0,,,,,,,1554129852.923121,1554129854.907139,
246,15,Memory,4,,,,,,,00194940128fb.jpg,,,,,0.623,1.0,,,,,,,1554129856.175303,1554129858.179305,
247,15,Memory,4,,,,,,,00914960620fa.jpg,,,,,0.608,1.0,,,,,,,1554129859.513001,1554129861.514898,
248,15,Memory,4,,,,,,,sunagsiwrmuixqgdimb.jpg,,,,,1.105,1.0,,,,,,,1554129862.815808,1554129864.810474,
249,15,Memory,4,,,,,,,sunawotxrevnqvamsfp.jpg,,,,,1.049,4.0,,,,,,,1554129866.199178,1554129868.1782,
