,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
669,"{'x': 1035.4579, 'y': 536.1218}",True,"{'avg': {'x': 1152.011, 'y': 514.6819}, 'pcenter': {'x': 0.4968, 'y': 0.3961}, 'psize': 34.8974, 'raw': {'x': 1086.829, 'y': 495.4757}}","{'x': 1002.6299, 'y': 523.7311}","{'avg': {'x': 927.8027, 'y': 559.7642}, 'pcenter': {'x': 0.6434, 'y': 0.3929}, 'psize': 34.1302, 'raw': {'x': 918.4309, 'y': 551.9866}}",7,56697967,1554834859.119,918.4309,551.9866,1086.829,495.4757,1002.62995,523.73115,20,89,1,/variabl,0.0,3
670,"{'x': 1025.8735, 'y': 539.1178}",True,"{'avg': {'x': 1147.7805, 'y': 511.7187}, 'pcenter': {'x': 0.4969, 'y': 0.3958}, 'psize': 34.497, 'raw': {'x': 1103.0792, 'y': 476.6425}}","{'x': 979.6931, 'y': 508.9515}","{'avg': {'x': 919.8779, 'y': 557.6143}, 'pcenter': {'x': 0.6431, 'y': 0.3927}, 'psize': 34.0469, 'raw': {'x': 856.3069, 'y': 541.2606}}",7,56698001,1554834859.153,856.3069,541.2606,1103.0792,476.6425,979.69305,508.95155,20,89,1,/variabl,0.0,3
671,"{'x': 1021.2947, 'y': 540.7013}",True,"{'avg': {'x': 1143.8198, 'y': 508.9046}, 'pcenter': {'x': 0.4967, 'y': 0.3958}, 'psize': 34.8093, 'raw': {'x': 1108.4972, 'y': 481.536}}","{'x': 1004.4723, 'y': 508.4156}","{'avg': {'x': 917.5731, 'y': 555.2167}, 'pcenter': {'x': 0.6432, 'y': 0.3925}, 'psize': 33.9016, 'raw': {'x': 900.4474, 'y': 535.2952}}",7,56698035,1554834859.187,900.4474,535.2952,1108.4972,481.536,1004.4723,508.41560000000004,20,89,1,/variabl,0.0,3
672,"{'x': 1016.6219, 'y': 541.9997}",True,"{'avg': {'x': 1140.3665, 'y': 506.7894}, 'pcenter': {'x': 0.4966, 'y': 0.3956}, 'psize': 34.7057, 'raw': {'x': 1110.4558, 'y': 486.968}}","{'x': 1012.5975, 'y': 524.1505}","{'avg': {'x': 916.9255, 'y': 555.5646}, 'pcenter': {'x': 0.6431, 'y': 0.3923}, 'psize': 33.9185, 'raw': {'x': 914.7391, 'y': 561.333}}",7,56698079,1554834859.231,914.7391,561.333,1110.4558,486.968,1012.59745,524.1505,20,89,1,/variabl,0.0,3
673,"{'x': 1011.1422, 'y': 543.2456}",True,"{'avg': {'x': 1134.8126, 'y': 505.7344}, 'pcenter': {'x': 0.4963, 'y': 0.3957}, 'psize': 34.2373, 'raw': {'x': 1079.6251, 'y': 506.1904}}","{'x': 999.6888, 'y': 531.4512}","{'avg': {'x': 916.8151, 'y': 555.4818}, 'pcenter': {'x': 0.643, 'y': 0.3922}, 'psize': 34.1509, 'raw': {'x': 919.7526, 'y': 556.7119}}",7,56698112,1554834859.264,919.7526,556.7119,1079.6251,506.1904,999.68885,531.45115,20,89,1,/variabl,0.0,3
674,"{'x': 1006.4993, 'y': 544.0369}",True,"{'avg': {'x': 1130.9047, 'y': 503.4628}, 'pcenter': {'x': 0.4965, 'y': 0.3953}, 'psize': 34.2443, 'raw': {'x': 1099.403, 'y': 473.3662}}","{'x': 998.0872, 'y': 511.4825}","{'avg': {'x': 914.853, 'y': 554.8367}, 'pcenter': {'x': 0.643, 'y': 0.3921}, 'psize': 33.9078, 'raw': {'x': 896.7715, 'y': 549.5988}}",7,56698146,1554834859.298,896.7715,549.5988,1099.403,473.3662,998.08725,511.48249999999996,20,89,1,/variabl,0.0,3
675,"{'x': 1003.3582, 'y': 544.3995}",True,"{'avg': {'x': 1127.0054, 'y': 501.3973}, 'pcenter': {'x': 0.4967, 'y': 0.3949}, 'psize': 34.2411, 'raw': {'x': 1091.8228, 'y': 479.8206}}","{'x': 995.7668, 'y': 524.609}","{'avg': {'x': 913.3367, 'y': 555.817}, 'pcenter': {'x': 0.6432, 'y': 0.3919}, 'psize': 34.3988, 'raw': {'x': 899.7108, 'y': 569.3974}}",7,56698190,1554834859.342,899.7108,569.3974,1091.8228,479.8206,995.7667999999999,524.6089999999999,20,89,1,/variabl,0.0,3
676,"{'x': 1002.1455, 'y': 544.142}",True,"{'avg': {'x': 1123.2129, 'y': 499.978}, 'pcenter': {'x': 0.4969, 'y': 0.3947}, 'psize': 33.8179, 'raw': {'x': 1086.4427, 'y': 483.7532}}","{'x': 992.3533, 'y': 508.335}","{'avg': {'x': 911.8715, 'y': 553.9919}, 'pcenter': {'x': 0.6434, 'y': 0.3914}, 'psize': 33.6035, 'raw': {'x': 898.2639, 'y': 532.9168}}",7,56698223,1554834859.375,898.2639,532.9168,1086.4427,483.7532,992.3533,508.335,20,89,1,/variabl,0.0,3
677,"{'x': 1000.6616, 'y': 543.7341}",True,"{'avg': {'x': 1120.6979, 'y': 500.1748}, 'pcenter': {'x': 0.4973, 'y': 0.3946}, 'psize': 33.8871, 'raw': {'x': 1112.9969, 'y': 518.7079}}","{'x': 1001.3434, 'y': 542.7222}","{'avg': {'x': 909.9312, 'y': 554.7601}, 'pcenter': {'x': 0.6436, 'y': 0.3916}, 'psize': 33.1747, 'raw': {'x': 889.6898, 'y': 566.7363}}",7,56698257,1554834859.409,889.6898,566.7363,1112.9969,518.7079,1001.3433500000001,542.7221,20,89,1,/variabl,0.0,3
678,"{'x': 999.433, 'y': 543.0857}",True,"{'avg': {'x': 1117.7534, 'y': 498.8914}, 'pcenter': {'x': 0.4974, 'y': 0.394}, 'psize': 33.0736, 'raw': {'x': 1101.7439, 'y': 489.3386}}","{'x': 1010.267, 'y': 519.7991}","{'avg': {'x': 910.1865, 'y': 554.3414}, 'pcenter': {'x': 0.6439, 'y': 0.3911}, 'psize': 32.7075, 'raw': {'x': 918.7902, 'y': 550.2597}}",7,56698300,1554834859.452,918.7902,550.2597,1101.7439,489.3386,1010.2670499999999,519.7991499999999,20,89,1,/variabl,0.0,3
679,"{'x': 997.4604, 'y': 542.5722}",True,"{'avg': {'x': 1114.2206, 'y': 498.6115}, 'pcenter': {'x': 0.4975, 'y': 0.3935}, 'psize': 32.0516, 'raw': {'x': 1088.9119, 'y': 514.5079}}","{'x': 993.6993, 'y': 533.9017}","{'avg': {'x': 909.0876, 'y': 554.1667}, 'pcenter': {'x': 0.6438, 'y': 0.3907}, 'psize': 31.7603, 'raw': {'x': 898.4869, 'y': 553.2956}}",7,56698334,1554834859.486,898.4869,553.2956,1088.9119,514.5079,993.6994,533.90175,20,89,1,/variabl,0.0,3
680,"{'x': 996.2306, 'y': 541.7734}",True,"{'avg': {'x': 1114.5132, 'y': 498.7014}, 'pcenter': {'x': 0.4977, 'y': 0.3925}, 'psize': 31.531, 'raw': {'x': 1143.4132, 'y': 512.951}}","{'x': 1009.7798, 'y': 529.1898}","{'avg': {'x': 906.611, 'y': 553.4965}, 'pcenter': {'x': 0.6436, 'y': 0.3897}, 'psize': 31.1761, 'raw': {'x': 876.1464, 'y': 545.4287}}",7,56698367,1554834859.519,876.1464,545.4287,1143.4132,512.951,1009.7798,529.18985,20,89,1,/variabl,0.0,3
681,"{'x': 995.795, 'y': 540.6346}",True,"{'avg': {'x': 1113.0757, 'y': 498.888}, 'pcenter': {'x': 0.4975, 'y': 0.3919}, 'psize': 30.7877, 'raw': {'x': 1119.5428, 'y': 512.353}}","{'x': 995.0641, 'y': 525.7169}","{'avg': {'x': 903.9327, 'y': 552.4633}, 'pcenter': {'x': 0.6435, 'y': 0.389}, 'psize': 30.0339, 'raw': {'x': 870.5854, 'y': 539.0808}}",7,56698411,1554834859.563,870.5854,539.0808,1119.5428,512.353,995.0641,525.7168999999999,20,89,1,/variabl,0.0,3
