,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
34613,"{'x': 1006.1913, 'y': 567.3751}",True,"{'avg': {'x': 1083.3018, 'y': 576.59}, 'pcenter': {'x': 0.4731, 'y': 0.5156}, 'psize': 18.5766, 'raw': {'x': 1074.3347, 'y': 570.9595}}","{'x': 986.1905, 'y': 562.5493}","{'avg': {'x': 912.6862, 'y': 553.4596}, 'pcenter': {'x': 0.6203, 'y': 0.504}, 'psize': 19.7605, 'raw': {'x': 898.0463, 'y': 554.1392}}",7,664623146,1555442784.298,898.0463,554.1392,1074.3347,570.9595,986.1905,562.54935,26,71,1,/variabl,0,3
34614,"{'x': 1005.5811, 'y': 567.1551}",True,"{'avg': {'x': 1080.8058, 'y': 576.9477}, 'pcenter': {'x': 0.4731, 'y': 0.5157}, 'psize': 18.9309, 'raw': {'x': 1055.472, 'y': 583.3779}}","{'x': 972.6504, 'y': 565.9365}","{'avg': {'x': 911.4597, 'y': 553.2571}, 'pcenter': {'x': 0.6203, 'y': 0.504}, 'psize': 19.9679, 'raw': {'x': 889.8288, 'y': 548.4951}}",7,664623180,1555442784.332,889.8288,548.4951,1055.472,583.3779,972.6504,565.9365,26,71,1,/variabl,0,3
34615,"{'x': 1010.6214, 'y': 567.728}",True,"{'avg': {'x': 1081.177, 'y': 576.9624}, 'pcenter': {'x': 0.4732, 'y': 0.5157}, 'psize': 18.4151, 'raw': {'x': 1091.9595, 'y': 575.1713}}","{'x': 989.5344, 'y': 576.8859}","{'avg': {'x': 909.6564, 'y': 554.8263}, 'pcenter': {'x': 0.6203, 'y': 0.5043}, 'psize': 20.2816, 'raw': {'x': 887.1093, 'y': 578.6005}}",7,664623213,1555442784.365,887.1093,578.6005,1091.9595,575.1713,989.5344,576.8859,26,71,1,/variabl,0,3
34616,"{'x': 1010.9728, 'y': 567.6343}",True,"{'avg': {'x': 1082.6633, 'y': 575.7933}, 'pcenter': {'x': 0.4733, 'y': 0.5155}, 'psize': 18.4303, 'raw': {'x': 1108.4823, 'y': 561.949}}","{'x': 996.5023, 'y': 547.3041}","{'avg': {'x': 907.3975, 'y': 553.5894}, 'pcenter': {'x': 0.6203, 'y': 0.5039}, 'psize': 20.0572, 'raw': {'x': 884.5223, 'y': 532.6592}}",7,664623258,1555442784.41,884.5223,532.6592,1108.4823,561.949,996.5022999999999,547.3041000000001,26,71,1,/variabl,0,3
34617,"{'x': 1010.3445, 'y': 567.4203}",True,"{'avg': {'x': 1082.0128, 'y': 575.15}, 'pcenter': {'x': 0.4732, 'y': 0.5155}, 'psize': 19.3673, 'raw': {'x': 1085.2745, 'y': 561.3372}}","{'x': 993.0715, 'y': 557.3699}","{'avg': {'x': 906.6202, 'y': 553.5629}, 'pcenter': {'x': 0.6205, 'y': 0.5041}, 'psize': 20.1115, 'raw': {'x': 900.8686, 'y': 553.4026}}",7,664623291,1555442784.443,900.8686,553.4026,1085.2745,561.3372,993.07155,557.3699,26,71,1,/variabl,0,3
34618,"{'x': 1010.3208, 'y': 567.2624}",True,"{'avg': {'x': 1081.9644, 'y': 575.1487}, 'pcenter': {'x': 0.4732, 'y': 0.5157}, 'psize': 18.7542, 'raw': {'x': 1083.4092, 'y': 583.5593}}","{'x': 988.0648, 'y': 563.8323}","{'avg': {'x': 905.7405, 'y': 552.8838}, 'pcenter': {'x': 0.6204, 'y': 0.504}, 'psize': 20.2014, 'raw': {'x': 892.7205, 'y': 544.1054}}",7,664623324,1555442784.476,892.7205,544.1054,1083.4092,583.5593,988.06485,563.83235,26,71,1,/variabl,0,3
34619,"{'x': 1011.4272, 'y': 567.3527}",True,"{'avg': {'x': 1081.317, 'y': 576.5801}, 'pcenter': {'x': 0.4732, 'y': 0.5157}, 'psize': 18.8775, 'raw': {'x': 1077.4771, 'y': 586.5317}}","{'x': 986.5905, 'y': 578.1202}","{'avg': {'x': 905.0513, 'y': 553.9856}, 'pcenter': {'x': 0.6204, 'y': 0.5042}, 'psize': 20.5326, 'raw': {'x': 895.7038, 'y': 569.7086}}",7,664623369,1555442784.521,895.7038,569.7086,1077.4771,586.5317,986.59045,578.12015,26,71,1,/variabl,0,3
34620,"{'x': 1005.1606, 'y': 566.5815}",True,"{'avg': {'x': 1078.475, 'y': 576.2971}, 'pcenter': {'x': 0.473, 'y': 0.5157}, 'psize': 18.8683, 'raw': {'x': 1044.3723, 'y': 576.7375}}","{'x': 979.481, 'y': 573.0757}","{'avg': {'x': 905.2063, 'y': 554.9649}, 'pcenter': {'x': 0.6204, 'y': 0.5042}, 'psize': 20.6047, 'raw': {'x': 914.5895, 'y': 569.4139}}",7,664623402,1555442784.554,914.5895,569.4139,1044.3723,576.7375,979.4809,573.0757,26,71,1,/variabl,0,3
34621,"{'x': 1003.6953, 'y': 566.3347}",True,"{'avg': {'x': 1078.2872, 'y': 575.48}, 'pcenter': {'x': 0.4732, 'y': 0.5156}, 'psize': 18.7598, 'raw': {'x': 1078.6147, 'y': 560.2305}}","{'x': 985.0695, 'y': 545.4175}","{'avg': {'x': 904.0597, 'y': 553.23}, 'pcenter': {'x': 0.6203, 'y': 0.504}, 'psize': 19.7071, 'raw': {'x': 891.5241, 'y': 530.6044}}",7,664623435,1555442784.587,891.5241,530.6044,1078.6147,560.2305,985.0694000000001,545.41745,26,71,1,/variabl,0,3
34622,"{'x': 1002.0444, 'y': 566.0419}",True,"{'avg': {'x': 1077.9819, 'y': 576.5809}, 'pcenter': {'x': 0.4733, 'y': 0.5158}, 'psize': 18.3377, 'raw': {'x': 1074.845, 'y': 593.9198}}","{'x': 992.7975, 'y': 563.1614}","{'avg': {'x': 903.9563, 'y': 551.6559}, 'pcenter': {'x': 0.6204, 'y': 0.504}, 'psize': 20.7937, 'raw': {'x': 910.7501, 'y': 532.4029}}",7,664623480,1555442784.632,910.7501,532.4029,1074.845,593.9198,992.79755,563.1613500000001,26,71,1,/variabl,0,3
