,avg,fix,lefteye,raw,righteye,state,time,timestamp,Run,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Behavior_Image_Start
8472,"{'x': 1000.6374, 'y': 438.7256}",True,"{'avg': {'x': 1022.0588, 'y': 435.2802}, 'pcenter': {'x': 0.4932, 'y': 0.5269}, 'psize': 21.1678, 'raw': {'x': 999.6125, 'y': 449.8206}}","{'x': 992.225, 'y': 440.1358}","{'avg': {'x': 968.0359, 'y': 449.5758}, 'pcenter': {'x': 0.6351, 'y': 0.5133}, 'psize': 21.2803, 'raw': {'x': 984.8375, 'y': 430.4509}}",7,107111184,1555959014.16,3,984.8375,430.4509,999.6125,449.8206,992.2249999999999,440.13575000000003,27,75,1,/variabl,0.0,1555959014.1243188
8473,"{'x': 999.9407, 'y': 439.2429}",True,"{'avg': {'x': 1021.5708, 'y': 435.2875}, 'pcenter': {'x': 0.4932, 'y': 0.5268}, 'psize': 21.2896, 'raw': {'x': 1014.3976, 'y': 433.6138}}","{'x': 999.7789, 'y': 443.9612}","{'avg': {'x': 968.8271, 'y': 449.4799}, 'pcenter': {'x': 0.6351, 'y': 0.5134}, 'psize': 21.1715, 'raw': {'x': 985.1602, 'y': 454.3087}}",7,107111218,1555959014.194,3,985.1602,454.3087,1014.3976,433.6138,999.7789,443.96125,27,75,1,/variabl,0.0,1555959014.1243188
8474,"{'x': 998.7281, 'y': 439.8918}",True,"{'avg': {'x': 1019.5311, 'y': 435.5908}, 'pcenter': {'x': 0.4931, 'y': 0.5268}, 'psize': 21.305, 'raw': {'x': 997.4081, 'y': 430.2549}}","{'x': 987.7031, 'y': 445.0992}","{'avg': {'x': 969.3129, 'y': 449.9967}, 'pcenter': {'x': 0.6351, 'y': 0.5134}, 'psize': 21.1964, 'raw': {'x': 977.9982, 'y': 459.9435}}",7,107111252,1555959014.228,3,977.9982,459.9435,997.4081,430.2549,987.70315,445.0992,27,75,1,/variabl,0.0,1555959014.1243188
8475,"{'x': 998.1937, 'y': 440.2969}",True,"{'avg': {'x': 1018.6524, 'y': 435.9462}, 'pcenter': {'x': 0.493, 'y': 0.5269}, 'psize': 21.2243, 'raw': {'x': 1009.4425, 'y': 443.0099}}","{'x': 995.8048, 'y': 440.5627}","{'avg': {'x': 970.2549, 'y': 449.311}, 'pcenter': {'x': 0.635, 'y': 0.5132}, 'psize': 21.1188, 'raw': {'x': 982.1672, 'y': 438.1154}}",7,107111286,1555959014.262,3,982.1672,438.1154,1009.4425,443.0099,995.80485,440.56265,27,75,1,/variabl,0.0,1555959014.1243188
8476,"{'x': 997.5925, 'y': 440.7784}",True,"{'avg': {'x': 1018.3917, 'y': 438.4148}, 'pcenter': {'x': 0.4929, 'y': 0.5271}, 'psize': 21.3106, 'raw': {'x': 1017.5459, 'y': 471.7761}}","{'x': 1004.1531, 'y': 458.7508}","{'avg': {'x': 971.5913, 'y': 448.8667}, 'pcenter': {'x': 0.6349, 'y': 0.5132}, 'psize': 21.3007, 'raw': {'x': 990.7603, 'y': 445.7254}}",7,107111330,1555959014.306,3,990.7603,445.7254,1017.5459,471.7761,1004.1531,458.75075,27,75,1,/variabl,0.0,1555959014.1243188
8477,"{'x': 997.1226, 'y': 441.4908}",True,"{'avg': {'x': 829.5116, 'y': 476.1796}, 'pcenter': {'x': 0.4913, 'y': 0.5278}, 'psize': 21.1968, 'raw': {'x': 829.5116, 'y': 476.1796}}","{'x': 807.938, 'y': 475.6409}","{'avg': {'x': 786.3644, 'y': 475.1022}, 'pcenter': {'x': 0.633, 'y': 0.5138}, 'psize': 21.4462, 'raw': {'x': 786.3644, 'y': 475.1022}}",7,107111363,1555959014.339,3,786.3644,475.1022,829.5116,476.1796,807.9380000000001,475.6409,27,75,1,/variabl,0.0,1555959014.1243188
8478,"{'x': 753.5856, 'y': 463.9505}",False,"{'avg': {'x': 753.14, 'y': 451.2596}, 'pcenter': {'x': 0.4908, 'y': 0.5277}, 'psize': 21.2033, 'raw': {'x': 753.14, 'y': 451.2596}}","{'x': 753.5856, 'y': 463.9505}","{'avg': {'x': 754.0312, 'y': 476.6414}, 'pcenter': {'x': 0.6326, 'y': 0.5139}, 'psize': 21.0297, 'raw': {'x': 754.0312, 'y': 476.6414}}",7,107111397,1555959014.373,3,754.0312,476.6414,753.14,451.2596,753.5856,463.9505,27,75,1,/variabl,0.0,1555959014.1243188
8479,"{'x': 750.2998, 'y': 471.9859}",False,"{'avg': {'x': 752.3614, 'y': 472.1023}, 'pcenter': {'x': 0.4909, 'y': 0.5277}, 'psize': 21.1115, 'raw': {'x': 751.5848, 'y': 492.8919}}","{'x': 747.0223, 'y': 480.0008}","{'avg': {'x': 748.2382, 'y': 471.8695}, 'pcenter': {'x': 0.6327, 'y': 0.5137}, 'psize': 21.2276, 'raw': {'x': 742.4599, 'y': 467.1097}}",7,107111442,1555959014.418,3,742.4599,467.1097,751.5848,492.8919,747.02235,480.0008,27,75,1,/variabl,0.0,1555959014.1243188
8480,"{'x': 750.1103, 'y': 471.3233}",False,"{'avg': {'x': 754.8307, 'y': 479.706}, 'pcenter': {'x': 0.4908, 'y': 0.5273}, 'psize': 20.7101, 'raw': {'x': 759.742, 'y': 494.7112}}","{'x': 749.6975, 'y': 468.9349}","{'avg': {'x': 745.3545, 'y': 462.2505}, 'pcenter': {'x': 0.6326, 'y': 0.5134}, 'psize': 20.967, 'raw': {'x': 739.653, 'y': 443.1587}}",7,107111475,1555959014.451,3,739.653,443.1587,759.742,494.7112,749.6975,468.93495,27,75,1,/variabl,0.0,1555959014.1243188
8481,"{'x': 747.1518, 'y': 471.6915}",False,"{'avg': {'x': 744.7454, 'y': 475.0655}, 'pcenter': {'x': 0.4907, 'y': 0.5269}, 'psize': 20.3135, 'raw': {'x': 714.8127, 'y': 461.0897}}","{'x': 715.966, 'y': 477.3182}","{'avg': {'x': 738.2145, 'y': 470.1018}, 'pcenter': {'x': 0.6325, 'y': 0.5132}, 'psize': 20.3243, 'raw': {'x': 717.1193, 'y': 493.5468}}",7,107111508,1555959014.484,3,717.1193,493.5468,714.8127,461.0897,715.9659999999999,477.31825000000003,27,75,1,/variabl,0.0,1555959014.1243188
8482,"{'x': 746.7537, 'y': 471.4051}",False,"{'avg': {'x': 716.0267, 'y': 473.9975}, 'pcenter': {'x': 0.4906, 'y': 0.5267}, 'psize': 19.2628, 'raw': {'x': 716.0267, 'y': 473.9975}}","{'x': 720.6808, 'y': 463.3751}","{'avg': {'x': 725.335, 'y': 452.7527}, 'pcenter': {'x': 0.6325, 'y': 0.5128}, 'psize': 19.9272, 'raw': {'x': 725.335, 'y': 452.7527}}",7,107111552,1555959014.528,3,725.335,452.7527,716.0267,473.9975,720.68085,463.3751,27,75,1,/variabl,0.0,1555959014.1243188
8483,"{'x': 760.429, 'y': 476.5336}",False,"{'avg': {'x': 769.3134, 'y': 456.15}, 'pcenter': {'x': 0.4907, 'y': 0.5264}, 'psize': 18.7094, 'raw': {'x': 769.3134, 'y': 456.15}}","{'x': 760.429, 'y': 476.5336}","{'avg': {'x': 751.5445, 'y': 496.9172}, 'pcenter': {'x': 0.6325, 'y': 0.513}, 'psize': 19.5423, 'raw': {'x': 751.5445, 'y': 496.9172}}",7,107111587,1555959014.563,3,751.5445,496.9172,769.3134,456.15,760.42895,476.5336,27,75,1,/variabl,0.0,1555959014.1243188
8484,"{'x': 756.6843, 'y': 475.5645}",False,"{'avg': {'x': 767.5714, 'y': 441.4951}, 'pcenter': {'x': 0.4909, 'y': 0.5263}, 'psize': 18.0413, 'raw': {'x': 765.8337, 'y': 426.8776}}","{'x': 752.9493, 'y': 474.5976}","{'avg': {'x': 745.7974, 'y': 509.6336}, 'pcenter': {'x': 0.6326, 'y': 0.5132}, 'psize': 18.9976, 'raw': {'x': 740.0649, 'y': 522.3176}}",7,107111621,1555959014.597,3,740.0649,522.3176,765.8337,426.8776,752.9493,474.59759999999994,27,75,1,/variabl,0.0,1555959014.1243188
8485,"{'x': 756.0237, 'y': 475.5637}",False,"{'avg': {'x': 769.8282, 'y': 449.5089}, 'pcenter': {'x': 0.491, 'y': 0.5263}, 'psize': 17.4205, 'raw': {'x': 774.3221, 'y': 465.509}}","{'x': 756.0286, 'y': 469.6797}","{'avg': {'x': 743.0888, 'y': 497.6768}, 'pcenter': {'x': 0.6327, 'y': 0.5131}, 'psize': 17.9854, 'raw': {'x': 737.7352, 'y': 473.8503}}",7,107111655,1555959014.631,3,737.7352,473.8503,774.3221,465.509,756.02865,469.67965000000004,27,75,1,/variabl,0.0,1555959014.1243188
8486,"{'x': 753.8719, 'y': 475.0995}",False,"{'avg': {'x': 761.4463, 'y': 455.6426}, 'pcenter': {'x': 0.4909, 'y': 0.5262}, 'psize': 17.2053, 'raw': {'x': 736.5716, 'y': 473.7784}}","{'x': 739.369, 'y': 460.1665}","{'avg': {'x': 742.8386, 'y': 484.7526}, 'pcenter': {'x': 0.6328, 'y': 0.5131}, 'psize': 17.664, 'raw': {'x': 742.1664, 'y': 446.5545}}",7,107111699,1555959014.675,3,742.1664,446.5545,736.5716,473.7784,739.3689999999999,460.16645,27,75,1,/variabl,0.0,1555959014.1243188
8487,"{'x': 753.2084, 'y': 473.6797}",False,"{'avg': {'x': 765.5554, 'y': 449.3147}, 'pcenter': {'x': 0.491, 'y': 0.5262}, 'psize': 16.6954, 'raw': {'x': 781.9076, 'y': 424.2495}}","{'x': 757.0569, 'y': 454.0425}","{'avg': {'x': 740.6643, 'y': 484.4645}, 'pcenter': {'x': 0.6328, 'y': 0.5134}, 'psize': 17.3383, 'raw': {'x': 732.2062, 'y': 483.8355}}",7,107111733,1555959014.709,3,732.2062,483.8355,781.9076,424.2495,757.0569,454.0425,27,75,1,/variabl,0.0,1555959014.1243188
8488,"{'x': 753.325, 'y': 472.0726}",True,"{'avg': {'x': 764.849, 'y': 452.1683}, 'pcenter': {'x': 0.4908, 'y': 0.5265}, 'psize': 16.4735, 'raw': {'x': 761.4323, 'y': 466.1309}}","{'x': 745.7187, 'y': 475.4511}","{'avg': {'x': 738.8155, 'y': 484.431}, 'pcenter': {'x': 0.6326, 'y': 0.5135}, 'psize': 17.1695, 'raw': {'x': 730.0051, 'y': 484.7713}}",7,107111766,1555959014.742,3,730.0051,484.7713,761.4323,466.1309,745.7187,475.4511,27,75,1,/variabl,0.0,1555959014.1243188
8489,"{'x': 753.7687, 'y': 470.7794}",True,"{'avg': {'x': 766.3934, 'y': 453.4205}, 'pcenter': {'x': 0.4909, 'y': 0.5268}, 'psize': 16.4736, 'raw': {'x': 775.3803, 'y': 460.5293}}","{'x': 748.9438, 'y': 476.9996}","{'avg': {'x': 736.3629, 'y': 485.6931}, 'pcenter': {'x': 0.6325, 'y': 0.5138}, 'psize': 16.809, 'raw': {'x': 722.5073, 'y': 493.4698}}",7,107111810,1555959014.786,3,722.5073,493.4698,775.3803,460.5293,748.9438,476.99955,27,75,1,/variabl,0.0,1555959014.1243188
8490,"{'x': 753.8271, 'y': 469.8024}",True,"{'avg': {'x': 765.4153, 'y': 453.551}, 'pcenter': {'x': 0.491, 'y': 0.5268}, 'psize': 16.1949, 'raw': {'x': 758.8125, 'y': 454.176}}","{'x': 750.9274, 'y': 451.2523}","{'avg': {'x': 737.1644, 'y': 480.7693}, 'pcenter': {'x': 0.6327, 'y': 0.5137}, 'psize': 16.5168, 'raw': {'x': 743.0422, 'y': 448.3286}}",7,107111845,1555959014.821,3,743.0422,448.3286,758.8125,454.176,750.9273499999999,451.2523,27,75,1,/variabl,0.0,1555959014.1243188
8491,"{'x': 753.4462, 'y': 469.5305}",True,"{'avg': {'x': 767.6809, 'y': 453.5838}, 'pcenter': {'x': 0.4913, 'y': 0.5267}, 'psize': 15.8333, 'raw': {'x': 784.7274, 'y': 453.5801}}","{'x': 758.1399, 'y': 466.4511}","{'avg': {'x': 736.4559, 'y': 480.486}, 'pcenter': {'x': 0.6329, 'y': 0.514}, 'psize': 16.6974, 'raw': {'x': 731.5524, 'y': 479.3221}}",7,107111878,1555959014.854,3,731.5524,479.3221,784.7274,453.5801,758.1399,466.4511,27,75,1,/variabl,0.0,1555959014.1243188
8492,"{'x': 753.7031, 'y': 468.5469}",True,"{'avg': {'x': 767.8851, 'y': 451.3738}, 'pcenter': {'x': 0.4914, 'y': 0.5266}, 'psize': 15.7468, 'raw': {'x': 769.2454, 'y': 432.7424}}","{'x': 739.842, 'y': 453.9399}","{'avg': {'x': 733.6099, 'y': 479.8089}, 'pcenter': {'x': 0.633, 'y': 0.5141}, 'psize': 16.1644, 'raw': {'x': 710.4386, 'y': 475.1374}}",7,107111922,1555959014.898,3,710.4386,475.1374,769.2454,432.7424,739.842,453.93989999999997,27,75,1,/variabl,0.0,1555959014.1243188
8493,"{'x': 755.1886, 'y': 466.3376}",True,"{'avg': {'x': 767.5582, 'y': 448.4313}, 'pcenter': {'x': 0.4915, 'y': 0.5268}, 'psize': 15.2413, 'raw': {'x': 764.2185, 'y': 421.8851}}","{'x': 722.6342, 'y': 430.672}","{'avg': {'x': 728.2993, 'y': 475.7087}, 'pcenter': {'x': 0.6329, 'y': 0.5141}, 'psize': 15.8376, 'raw': {'x': 681.0499, 'y': 439.4589}}",7,107111956,1555959014.932,3,681.0499,439.4589,764.2185,421.8851,722.6342,430.672,27,75,1,/variabl,0.0,1555959014.1243188
8494,"{'x': 752.5532, 'y': 466.9608}",True,"{'avg': {'x': 766.7783, 'y': 442.8011}, 'pcenter': {'x': 0.4914, 'y': 0.5267}, 'psize': 15.7254, 'raw': {'x': 758.8416, 'y': 388.3777}}","{'x': 744.6683, 'y': 421.1851}","{'avg': {'x': 728.2928, 'y': 473.5227}, 'pcenter': {'x': 0.633, 'y': 0.5142}, 'psize': 15.9278, 'raw': {'x': 730.4952, 'y': 453.9924}}",7,107111989,1555959014.965,3,730.4952,453.9924,758.8416,388.3777,744.6684,421.18505,27,75,1,/variabl,0.0,1555959014.1243188
