,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Reaction Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
210,327,Memory,4,,,,,,,00819940307fa.jpg,,,,,1.77,1.0,,,,,,,1553698387.400118,1553698389.480208,
211,327,Memory,4,,,,,,,sunafvsxtzaizojicxx.jpg,,,,,1.467,1.0,,,,,,,1553698390.829071,1553698392.813337,
212,327,Memory,4,,,,,,,00221940128fa.jpg,,,,,0.798,1.0,,,,,,,1553698394.102415,1553698396.090225,
213,327,Memory,4,,,,,,,00915960620fa.jpg,,,,,1.307,1.0,,,,,,,1553698397.348322,1553698399.33294,
214,327,Memory,4,,,,,,,sunagjzcrjvmxzqzljx.jpg,,,,,1.124,3.0,,,,,,,1553698400.603875,1553698402.599749,
215,327,Memory,4,,,,,,,00949960627fb.jpg,,,,,0.0,,,,,,,,1553698403.88921,1553698405.884302,
216,327,Memory,4,,,,,,,sunabcfpwlpolnutyju.jpg,,,,,1.14,2.0,,,,,,,1553698407.15103,1553698409.139327,
217,327,Memory,4,,,,,,,00859940307fa.jpg,,,,,1.922,1.0,,,,,,,1553698410.42386,1553698412.411938,
218,327,Memory,4,,,,,,,00119931230fb.jpg,,,,,0.849,2.0,,,,,,,1553698413.775491,1553698415.758931,
219,327,Memory,4,,,,,,,sunacsdhbbsybcyxnel.jpg,,,,,1.825,1.0,,,,,,,1553698417.059634,1553698419.123443,
220,327,Memory,4,,,,,,,sunasnqkkyhilqkxiqm.jpg,,,,,1.408,3.0,,,,,,,1553698420.411056,1553698422.423042,
221,327,Memory,4,,,,,,,sunaiycurtqsfkvcaso.jpg,,,,,3.0,,,,,,,,1553698423.729078,1553698427.69564,
222,327,Memory,4,,,,,,,00751960620fa.jpg,,,,,1.844,2.0,,,,,,,1553698429.013522,1553698432.980948,
223,327,Memory,4,,,,,,,sunaakvmbftkrgqhjun.jpg,,,,,1.812,4.0,,,,,,,1553698434.299838,1553698438.266767,
224,327,Memory,4,,,,,,,sunahqldjibofgsfdgb.jpg,,,,,1.478,3.0,,,,,,,1553698439.585015,1553698443.551295,
225,327,Memory,4,,,,,,,sunapileznnbbmrwoei.jpg,,,,,1.745,1.0,,,,,,,1553698444.869385,1553698448.837401,
226,327,Memory,4,,,,,,,01009960627fa.jpg,,,,,1.944,1.0,,,,,,,1553698450.170627,1553698454.13887,
227,327,Memory,4,,,,,,,00922960627fa.jpg,,,,,2.144,2.0,,,,,,,1553698455.45602,1553698459.42432,
228,327,Memory,4,,,,,,,sunabjzyxcjnmztdonj.jpg,,,,,1.145,3.0,,,,,,,1553698460.741195,1553698464.709288,
