,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
24751,"{'x': 1029.7119, 'y': 587.9123}",True,"{'avg': {'x': 1050.0991, 'y': 604.3253}, 'pcenter': {'x': 0.3324, 'y': 0.5146}, 'psize': 28.808, 'raw': {'x': 1018.6279, 'y': 565.3806}}","{'x': 1017.1755, 'y': 571.2587}","{'avg': {'x': 1010.4808, 'y': 571.0043}, 'pcenter': {'x': 0.4847, 'y': 0.5082}, 'psize': 31.3222, 'raw': {'x': 1015.7232, 'y': 577.1368}}",7,551072119,1581099037.047,1015.7232,577.1368,1018.6279,565.3806,1017.1755499999999,571.2587,0,112,2,/variabl,0.0,0
24752,"{'x': 1029.7462, 'y': 588.1995}",True,"{'avg': {'x': 1050.4081, 'y': 603.8857}, 'pcenter': {'x': 0.3327, 'y': 0.515}, 'psize': 28.9635, 'raw': {'x': 1053.8757, 'y': 606.8762}}","{'x': 1028.8254, 'y': 589.9578}","{'avg': {'x': 1009.9166, 'y': 571.0728}, 'pcenter': {'x': 0.4848, 'y': 0.5083}, 'psize': 31.0193, 'raw': {'x': 1003.7751, 'y': 573.0394}}",7,551072154,1581099037.082,1003.7751,573.0394,1053.8757,606.8762,1028.8254,589.9578,0,112,2,/variabl,0.0,0
24753,"{'x': 1029.6157, 'y': 588.2717}",True,"{'avg': {'x': 1050.5505, 'y': 603.4218}, 'pcenter': {'x': 0.3327, 'y': 0.5149}, 'psize': 29.2693, 'raw': {'x': 1052.4294, 'y': 601.5439}}","{'x': 1035.4884, 'y': 590.6418}","{'avg': {'x': 1010.1906, 'y': 571.3847}, 'pcenter': {'x': 0.4849, 'y': 0.5084}, 'psize': 31.3484, 'raw': {'x': 1018.5474, 'y': 579.7397}}",7,551072189,1581099037.117,1018.5474,579.7397,1052.4294,601.5439,1035.4884,590.6418,0,112,2,/variabl,0.0,0
24754,"{'x': 1029.7321, 'y': 588.4705}",True,"{'avg': {'x': 1050.424, 'y': 603.5233}, 'pcenter': {'x': 0.3328, 'y': 0.515}, 'psize': 29.2808, 'raw': {'x': 1049.0156, 'y': 612.5626}}","{'x': 1022.9224, 'y': 589.1093}","{'avg': {'x': 1009.2179, 'y': 570.4584}, 'pcenter': {'x': 0.4849, 'y': 0.5083}, 'psize': 31.2623, 'raw': {'x': 996.8292, 'y': 565.656}}",7,551072223,1581099037.151,996.8292,565.656,1049.0156,612.5626,1022.9223999999999,589.1093,0,112,2,/variabl,0.0,0
24755,"{'x': 1029.5458, 'y': 588.3175}",True,"{'avg': {'x': 1050.9958, 'y': 602.9319}, 'pcenter': {'x': 0.3328, 'y': 0.5149}, 'psize': 29.4073, 'raw': {'x': 1066.2775, 'y': 601.0239}}","{'x': 1036.3113, 'y': 578.6135}","{'avg': {'x': 1008.8527, 'y': 569.2892}, 'pcenter': {'x': 0.4848, 'y': 0.5083}, 'psize': 31.1916, 'raw': {'x': 1006.3452, 'y': 556.2031}}",7,551072258,1581099037.186,1006.3452,556.2031,1066.2775,601.0239,1036.31135,578.6134999999999,0,112,2,/variabl,0.0,0
24756,"{'x': 1029.7498, 'y': 588.4493}",True,"{'avg': {'x': 1050.9374, 'y': 602.7735}, 'pcenter': {'x': 0.3327, 'y': 0.515}, 'psize': 29.1578, 'raw': {'x': 1048.7678, 'y': 608.3663}}","{'x': 1029.2567, 'y': 599.3053}","{'avg': {'x': 1008.9633, 'y': 570.3743}, 'pcenter': {'x': 0.4849, 'y': 0.5086}, 'psize': 31.443, 'raw': {'x': 1009.7455, 'y': 590.2443}}",7,551072302,1581099037.23,1009.7455,590.2443,1048.7678,608.3663,1029.25665,599.3053,0,112,2,/variabl,0.0,0
24757,"{'x': 1029.8464, 'y': 588.4868}",True,"{'avg': {'x': 1050.5471, 'y': 602.1483}, 'pcenter': {'x': 0.3327, 'y': 0.5148}, 'psize': 29.002, 'raw': {'x': 1044.4948, 'y': 598.1563}}","{'x': 1023.5919, 'y': 597.7726}","{'avg': {'x': 1008.5285, 'y': 571.7325}, 'pcenter': {'x': 0.4848, 'y': 0.5086}, 'psize': 31.4017, 'raw': {'x': 1002.6891, 'y': 597.3888}}",7,551072335,1581099037.263,1002.6891,597.3888,1044.4948,598.1563,1023.59195,597.7725499999999,0,112,2,/variabl,0.0,0
24758,"{'x': 1029.3309, 'y': 588.1486}",True,"{'avg': {'x': 1049.5526, 'y': 603.2805}, 'pcenter': {'x': 0.3328, 'y': 0.515}, 'psize': 29.2188, 'raw': {'x': 1036.1198, 'y': 624.7705}}","{'x': 1020.9076, 'y': 605.1905}","{'avg': {'x': 1008.1865, 'y': 572.6287}, 'pcenter': {'x': 0.485, 'y': 0.5085}, 'psize': 31.0298, 'raw': {'x': 1005.6954, 'y': 585.6105}}",7,551072370,1581099037.298,1005.6954,585.6105,1036.1198,624.7705,1020.9076,605.1904999999999,0,112,2,/variabl,0.0,0
24759,"{'x': 1029.3958, 'y': 588.2284}",True,"{'avg': {'x': 1049.3641, 'y': 603.3203}, 'pcenter': {'x': 0.333, 'y': 0.5148}, 'psize': 29.0665, 'raw': {'x': 1052.745, 'y': 607.0626}}","{'x': 1033.3202, 'y': 588.5916}","{'avg': {'x': 1008.3607, 'y': 572.5513}, 'pcenter': {'x': 0.485, 'y': 0.5084}, 'psize': 30.9676, 'raw': {'x': 1013.8953, 'y': 570.1204}}",7,551072414,1581099037.342,1013.8953,570.1204,1052.745,607.0626,1033.32015,588.5915,0,112,2,/variabl,0.0,0
24760,"{'x': 1029.1382, 'y': 588.5842}",True,"{'avg': {'x': 1264.5266, 'y': 617.3544}, 'pcenter': {'x': 0.3357, 'y': 0.5151}, 'psize': 28.9363, 'raw': {'x': 1264.5266, 'y': 617.3544}}","{'x': 1239.4384, 'y': 590.346}","{'avg': {'x': 1214.3501, 'y': 563.3376}, 'pcenter': {'x': 0.4876, 'y': 0.5084}, 'psize': 30.5872, 'raw': {'x': 1214.3501, 'y': 563.3376}}",7,551072448,1581099037.376,1214.3501,563.3376,1264.5266,617.3544,1239.43835,590.346,0,112,2,/variabl,0.0,0
