,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
310,0,Memory,6,,,,,,,sunahpblecxtmuzkmxb.jpg,,,,,0.977,2.0,,,,,,,,,
311,0,Memory,6,,,,,,,00631940928fa.jpg,,,,,0.896,1.0,,,,,,,,,
312,0,Memory,6,,,,,,,sunaffgsyyvoqdlkmnk.jpg,,,,,1.05,2.0,,,,,,,,,
313,0,Memory,6,,,,,,,sunaooaqzputrowwbsw.jpg,,,,,1.013,4.0,,,,,,,,,
314,0,Memory,6,,,,,,,00540940519fa.jpg,,,,,0.784,2.0,,,,,,,,,
315,0,Memory,6,,,,,,,00818940307fa.jpg,,,,,0.617,1.0,,,,,,,,,
316,0,Memory,6,,,,,,,sunadbdqzigzwipuipr.jpg,,,,,0.961,2.0,,,,,,,,,
317,0,Memory,6,,,,,,,00163931230fb.jpg,,,,,0.805,1.0,,,,,,,,,
318,0,Memory,6,,,,,,,00130931230fa.jpg,,,,,1.213,2.0,,,,,,,,,
319,0,Memory,6,,,,,,,sunagdzlvkqtpnfxfcg.jpg,,,,,0.954,1.0,,,,,,,,,
320,0,Memory,6,,,,,,,00779941205fa.jpg,,,,,0.637,1.0,,,,,,,,,
321,0,Memory,6,,,,,,,00142931230fb.jpg,,,,,0.647,1.0,,,,,,,,,
322,0,Memory,6,,,,,,,sunainqelldeebvxtcz.jpg,,,,,0.718,3.0,,,,,,,,,
323,0,Memory,6,,,,,,,00754941201fa.jpg,,,,,1.102,2.0,,,,,,,,,
324,0,Memory,6,,,,,,,00836940307fa.jpg,,,,,1.262,3.0,,,,,,,,,
325,0,Memory,6,,,,,,,00911960530fa.jpg,,,,,0.909,2.0,,,,,,,,,
326,0,Memory,6,,,,,,,sunaavodbcpygkggnfp.jpg,,,,,0.905,4.0,,,,,,,,,
327,0,Memory,6,,,,,,,00816941205fa.jpg,,,,,0.86,1.0,,,,,,,,,
328,0,Memory,6,,,,,,,sunajrujcsdxmfbssmc.jpg,,,,,1.497,2.0,,,,,,,,,
329,0,Memory,6,,,,,,,sunacwggadqsfpovdjv.jpg,,,,,1.002,1.0,,,,,,,,,
330,0,Memory,6,,,,,,,sunahmhrncocyhsjpxk.jpg,,,,,0.793,3.0,,,,,,,,,
331,0,Memory,6,,,,,,,sunadvithllcgmfxsrn.jpg,,,,,0.862,2.0,,,,,,,,,
332,0,Memory,6,,,,,,,00562941031fa.jpg,,,,,0.947,1.0,,,,,,,,,
333,0,Memory,6,,,,,,,sunaizeyhvjzknwjudw.jpg,,,,,0.841,3.0,,,,,,,,,
334,0,Memory,6,,,,,,,sunacjnahdmqfnjfwqx.jpg,,,,,1.238,3.0,,,,,,,,,
335,0,Memory,6,,,,,,,00185940422fb.jpg,,,,,0.878,1.0,,,,,,,,,
336,0,Memory,6,,,,,,,sunaawqdbpihmlbwyyn.jpg,,,,,1.115,3.0,,,,,,,,,
337,0,Memory,6,,,,,,,00860940307fa.jpg,,,,,0.931,1.0,,,,,,,,,
338,0,Memory,6,,,,,,,00871940307.jpg,,,,,0.844,1.0,,,,,,,,,
339,0,Memory,6,,,,,,,sunaccdtpgenvcbcbcf.jpg,,,,,0.907,2.0,,,,,,,,,
340,0,Memory,6,,,,,,,00719941201fa.jpg,,,,,0.823,1.0,,,,,,,,,
341,0,Memory,6,,,,,,,sunaamvxnvouicstkjb.jpg,,,,,0.87,2.0,,,,,,,,,
342,0,Memory,6,,,,,,,00589940928fa.jpg,,,,,0.874,2.0,,,,,,,,,
343,0,Memory,6,,,,,,,sunacdnquypmsshhsbk.jpg,,,,,1.128,1.0,,,,,,,,,
344,0,Memory,6,,,,,,,00910960530fa.jpg,,,,,0.963,1.0,,,,,,,,,
345,0,Memory,6,,,,,,,00791941205fa.jpg,,,,,0.876,1.0,,,,,,,,,
346,0,Memory,6,,,,,,,sunagrmyoovzukhxmlo.jpg,,,,,1.01,2.0,,,,,,,,,
347,0,Memory,6,,,,,,,sunaofikylqtxphvdem.jpg,,,,,0.842,1.0,,,,,,,,,
348,0,Memory,6,,,,,,,sunaapxkpvrhpjplsok.jpg,,,,,1.496,2.0,,,,,,,,,
349,0,Memory,6,,,,,,,00532960627fa.jpg,,,,,1.56,1.0,,,,,,,,,
