,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
61342,"{'x': 1039.0592, 'y': 485.6575}",True,"{'avg': {'x': 1054.2677, 'y': 523.9087}, 'pcenter': {'x': 0.4437, 'y': 0.3595}, 'psize': 34.2138, 'raw': {'x': 1065.1614, 'y': 539.0274}}","{'x': 1037.8248, 'y': 509.4751}","{'avg': {'x': 1019.8449, 'y': 471.2068}, 'pcenter': {'x': 0.6164, 'y': 0.3547}, 'psize': 36.1684, 'raw': {'x': 1010.4883, 'y': 479.9227}}",7,975205219,1574006977.379,1010.4883,479.9227,1065.1614,539.0274,1037.82485,509.47505,12,92,2,/variabl,0.0,0
61343,"{'x': 1038.7097, 'y': 486.86}",True,"{'avg': {'x': 1054.3469, 'y': 526.4053}, 'pcenter': {'x': 0.4437, 'y': 0.3596}, 'psize': 34.1485, 'raw': {'x': 1051.5935, 'y': 550.2206}}","{'x': 1026.7122, 'y': 515.9798}","{'avg': {'x': 1018.4034, 'y': 473.1621}, 'pcenter': {'x': 0.6163, 'y': 0.3546}, 'psize': 35.9229, 'raw': {'x': 1001.8308, 'y': 481.739}}",7,975205253,1574006977.413,1001.8308,481.739,1051.5935,550.2206,1026.7121499999998,515.9798,12,92,2,/variabl,0.0,0
61344,"{'x': 1038.1733, 'y': 487.6089}",True,"{'avg': {'x': 1054.3389, 'y': 527.8303}, 'pcenter': {'x': 0.4437, 'y': 0.3595}, 'psize': 34.2947, 'raw': {'x': 1056.4733, 'y': 541.6713}}","{'x': 1033.7861, 'y': 511.6801}","{'avg': {'x': 1017.6639, 'y': 474.1669}, 'pcenter': {'x': 0.6164, 'y': 0.3545}, 'psize': 36.2023, 'raw': {'x': 1011.099, 'y': 481.6888}}",7,975205286,1574006977.446,1011.099,481.6888,1056.4733,541.6713,1033.7861500000001,511.68005,12,92,2,/variabl,0.0,0
61345,"{'x': 1037.5331, 'y': 488.2366}",True,"{'avg': {'x': 1054.1011, 'y': 530.8802}, 'pcenter': {'x': 0.4437, 'y': 0.3597}, 'psize': 34.3093, 'raw': {'x': 1050.1206, 'y': 561.8397}}","{'x': 1036.6215, 'y': 531.946}","{'avg': {'x': 1017.5347, 'y': 475.4744}, 'pcenter': {'x': 0.6165, 'y': 0.3548}, 'psize': 36.4217, 'raw': {'x': 1023.1223, 'y': 502.0523}}",7,975205331,1574006977.491,1023.1223,502.0523,1050.1206,561.8397,1036.62145,531.946,12,92,2,/variabl,0.0,0
61346,"{'x': 1036.8781, 'y': 488.9976}",True,"{'avg': {'x': 1054.8529, 'y': 532.8729}, 'pcenter': {'x': 0.4438, 'y': 0.3596}, 'psize': 34.3777, 'raw': {'x': 1064.524, 'y': 550.9373}}","{'x': 1037.3826, 'y': 519.3704}","{'avg': {'x': 1016.6526, 'y': 477.2509}, 'pcenter': {'x': 0.6165, 'y': 0.3547}, 'psize': 36.2896, 'raw': {'x': 1010.2411, 'y': 487.8035}}",7,975205364,1574006977.524,1010.2411,487.8035,1064.524,550.9373,1037.3825499999998,519.3704,12,92,2,/variabl,0.0,0
61347,"{'x': 1037.0669, 'y': 491.124}",True,"{'avg': {'x': 1055.3729, 'y': 533.9964}, 'pcenter': {'x': 0.4437, 'y': 0.3594}, 'psize': 34.2387, 'raw': {'x': 1058.4064, 'y': 532.8535}}","{'x': 1034.5499, 'y': 524.9283}","{'avg': {'x': 1016.1246, 'y': 480.8989}, 'pcenter': {'x': 0.6164, 'y': 0.355}, 'psize': 36.887, 'raw': {'x': 1010.6934, 'y': 517.0032}}",7,975205397,1574006977.557,1010.6934,517.0032,1058.4064,532.8535,1034.5499,524.92835,12,92,2,/variabl,0.0,0
61348,"{'x': 1035.4581, 'y': 490.6543}",True,"{'avg': {'x': 1055.7246, 'y': 537.5217}, 'pcenter': {'x': 0.4437, 'y': 0.36}, 'psize': 34.7736, 'raw': {'x': 1061.475, 'y': 582.3972}}","{'x': 1039.9808, 'y': 526.0244}","{'avg': {'x': 1015.4927, 'y': 480.3433}, 'pcenter': {'x': 0.6164, 'y': 0.3546}, 'psize': 36.9093, 'raw': {'x': 1018.4867, 'y': 469.6517}}",7,975205440,1574006977.6,1018.4867,469.6517,1061.475,582.3972,1039.98085,526.02445,12,92,2,/variabl,0.0,0
61349,"{'x': 1035.0459, 'y': 491.9802}",True,"{'avg': {'x': 1054.795, 'y': 538.3441}, 'pcenter': {'x': 0.4435, 'y': 0.3596}, 'psize': 34.2948, 'raw': {'x': 1040.6396, 'y': 539.8214}}","{'x': 1022.6334, 'y': 521.4706}","{'avg': {'x': 1014.6996, 'y': 482.1971}, 'pcenter': {'x': 0.6163, 'y': 0.3549}, 'psize': 37.2961, 'raw': {'x': 1004.6273, 'y': 503.1199}}",7,975205474,1574006977.634,1004.6273,503.1199,1040.6396,539.8214,1022.63345,521.47065,12,92,2,/variabl,0.0,0
61350,"{'x': 1035.9303, 'y': 495.1537}",True,"{'avg': {'x': 1054.144, 'y': 540.4109}, 'pcenter': {'x': 0.4436, 'y': 0.3598}, 'psize': 34.4076, 'raw': {'x': 1044.1667, 'y': 559.7505}}","{'x': 1047.5542, 'y': 549.2394}","{'avg': {'x': 1017.157, 'y': 486.5343}, 'pcenter': {'x': 0.6166, 'y': 0.3552}, 'psize': 38.3984, 'raw': {'x': 1050.9415, 'y': 538.7283}}",7,975205508,1574006977.668,1050.9415,538.7283,1044.1667,559.7505,1047.5540999999998,549.2393999999999,12,92,2,/variabl,0.0,0
61351,"{'x': 1036.2695, 'y': 497.5306}",True,"{'avg': {'x': 1055.3822, 'y': 543.5102}, 'pcenter': {'x': 0.444, 'y': 0.36}, 'psize': 34.0163, 'raw': {'x': 1073.1193, 'y': 574.8987}}","{'x': 1061.4912, 'y': 537.096}","{'avg': {'x': 1018.7745, 'y': 487.876}, 'pcenter': {'x': 0.6167, 'y': 0.3551}, 'psize': 36.5041, 'raw': {'x': 1049.8633, 'y': 499.2933}}",7,975205551,1574006977.711,1049.8633,499.2933,1073.1193,574.8987,1061.4913000000001,537.096,12,92,2,/variabl,0.0,0
