,avg,fix,lefteye,raw,righteye,state,time,timestamp,Run,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Behavior_Image_Start
129635,"{'x': 1032.5436, 'y': 591.2737}",True,"{'avg': {'x': 1053.7208, 'y': 601.0121}, 'pcenter': {'x': 0.3869, 'y': 0.5127}, 'psize': 34.2342, 'raw': {'x': 1054.4001, 'y': 600.2153}}","{'x': 1037.7628, 'y': 605.4714}","{'avg': {'x': 1019.0625, 'y': 605.0467}, 'pcenter': {'x': 0.5512, 'y': 0.4927}, 'psize': 35.8352, 'raw': {'x': 1021.1255, 'y': 610.7274}}",7,1072291181,1574104063.341,0,1021.1255,610.7274,1054.4001,600.2153,1037.7628,605.47135,16,104,2,/variabl,0.0,1574104063.3127
129636,"{'x': 1034.5314, 'y': 592.8229}",True,"{'avg': {'x': 1054.8781, 'y': 601.0731}, 'pcenter': {'x': 0.3871, 'y': 0.5127}, 'psize': 34.3947, 'raw': {'x': 1078.423, 'y': 600.0757}}","{'x': 1065.8065, 'y': 605.4615}","{'avg': {'x': 1021.4669, 'y': 605.5659}, 'pcenter': {'x': 0.5514, 'y': 0.4928}, 'psize': 36.5018, 'raw': {'x': 1053.1901, 'y': 610.8475}}",7,1072291214,1574104063.374,0,1053.1901,610.8475,1078.423,600.0757,1065.80655,605.4616,16,104,2,/variabl,0.0,1574104063.3127
129637,"{'x': 1035.1681, 'y': 594.3254}",True,"{'avg': {'x': 1055.8606, 'y': 601.5906}, 'pcenter': {'x': 0.387, 'y': 0.5127}, 'psize': 34.0942, 'raw': {'x': 1065.0217, 'y': 603.7946}}","{'x': 1033.5955, 'y': 608.9239}","{'avg': {'x': 1020.9069, 'y': 606.1569}, 'pcenter': {'x': 0.5512, 'y': 0.4928}, 'psize': 35.9225, 'raw': {'x': 1002.1693, 'y': 614.0532}}",7,1072291258,1574104063.418,0,1002.1693,614.0532,1065.0217,603.7946,1033.5955,608.9239,16,104,2,/variabl,0.0,1574104063.3127
129638,"{'x': 1035.1562, 'y': 595.821}",True,"{'avg': {'x': 1055.3148, 'y': 603.7478}, 'pcenter': {'x': 0.3868, 'y': 0.5129}, 'psize': 35.4976, 'raw': {'x': 1042.4725, 'y': 624.2849}}","{'x': 1027.5011, 'y': 613.3126}","{'avg': {'x': 1020.8263, 'y': 606.2181}, 'pcenter': {'x': 0.5511, 'y': 0.4926}, 'psize': 35.2589, 'raw': {'x': 1012.5297, 'y': 602.3403}}",7,1072291291,1574104063.451,0,1012.5297,602.3403,1042.4725,624.2849,1027.5011,613.3126,16,104,2,/variabl,0.0,1574104063.3127
129639,"{'x': 1035.2695, 'y': 597.1202}",True,"{'avg': {'x': 1055.3077, 'y': 602.4006}, 'pcenter': {'x': 0.3869, 'y': 0.5124}, 'psize': 35.5073, 'raw': {'x': 1057.4091, 'y': 579.5768}}","{'x': 1039.807, 'y': 591.0215}","{'avg': {'x': 1020.869, 'y': 606.2465}, 'pcenter': {'x': 0.5512, 'y': 0.4925}, 'psize': 35.0533, 'raw': {'x': 1022.2049, 'y': 602.4662}}",7,1072291335,1574104063.495,0,1022.2049,602.4662,1057.4091,579.5768,1039.807,591.0215000000001,16,104,2,/variabl,0.0,1574104063.3127
129640,"{'x': 1035.704, 'y': 598.1425}",True,"{'avg': {'x': 1056.269, 'y': 600.8428}, 'pcenter': {'x': 0.3869, 'y': 0.5124}, 'psize': 35.9307, 'raw': {'x': 1073.7953, 'y': 574.2213}}","{'x': 1049.4812, 'y': 577.7037}","{'avg': {'x': 1021.1942, 'y': 604.6543}, 'pcenter': {'x': 0.5512, 'y': 0.4924}, 'psize': 35.3704, 'raw': {'x': 1025.1671, 'y': 581.186}}",7,1072291368,1574104063.528,0,1025.1671,581.186,1073.7953,574.2213,1049.4812,577.70365,16,104,2,/variabl,0.0,1574104063.3127
129641,"{'x': 1035.921, 'y': 599.0478}",True,"{'avg': {'x': 1054.8484, 'y': 600.9022}, 'pcenter': {'x': 0.3867, 'y': 0.5127}, 'psize': 35.7875, 'raw': {'x': 1034.4808, 'y': 600.0974}}","{'x': 1020.5698, 'y': 602.1964}","{'avg': {'x': 1020.4173, 'y': 604.5684}, 'pcenter': {'x': 0.551, 'y': 0.4926}, 'psize': 34.9706, 'raw': {'x': 1006.6588, 'y': 604.2953}}",7,1072291402,1574104063.562,0,1006.6588,604.2953,1034.4808,600.0974,1020.5698,602.1963499999999,16,104,2,/variabl,0.0,1574104063.3127
129642,"{'x': 1036.0959, 'y': 599.8221}",True,"{'avg': {'x': 1053.543, 'y': 600.1829}, 'pcenter': {'x': 0.3867, 'y': 0.5127}, 'psize': 35.7079, 'raw': {'x': 1033.6134, 'y': 597.4527}}","{'x': 1023.3404, 'y': 604.4335}","{'avg': {'x': 1020.2749, 'y': 605.1254}, 'pcenter': {'x': 0.551, 'y': 0.4926}, 'psize': 35.1591, 'raw': {'x': 1013.0674, 'y': 611.4142}}",7,1072291446,1574104063.606,0,1013.0674,611.4142,1033.6134,597.4527,1023.3404,604.43345,16,104,2,/variabl,0.0,1574104063.3127
129643,"{'x': 1036.1217, 'y': 600.4961}",True,"{'avg': {'x': 1054.4003, 'y': 600.5432}, 'pcenter': {'x': 0.3869, 'y': 0.5128}, 'psize': 34.934, 'raw': {'x': 1066.6735, 'y': 603.237}}","{'x': 1041.9657, 'y': 602.2868}","{'avg': {'x': 1020.0758, 'y': 605.063}, 'pcenter': {'x': 0.5511, 'y': 0.4926}, 'psize': 34.7837, 'raw': {'x': 1017.258, 'y': 601.3366}}",7,1072291480,1574104063.64,0,1017.258,601.3366,1066.6735,603.237,1041.96575,602.2868,16,104,2,/variabl,0.0,1574104063.3127
129644,"{'x': 1036.3275, 'y': 600.9906}",True,"{'avg': {'x': 1055.7695, 'y': 599.8552}, 'pcenter': {'x': 0.387, 'y': 0.5127}, 'psize': 34.6979, 'raw': {'x': 1070.4548, 'y': 584.5825}}","{'x': 1046.0338, 'y': 585.9196}","{'avg': {'x': 1020.0367, 'y': 603.8074}, 'pcenter': {'x': 0.5511, 'y': 0.4925}, 'psize': 34.7275, 'raw': {'x': 1021.6129, 'y': 587.2567}}",7,1072291513,1574104063.673,0,1021.6129,587.2567,1070.4548,584.5825,1046.03385,585.9196,16,104,2,/variabl,0.0,1574104063.3127
