,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
360,1,Memory,7,,,,,,,00963960627fa.jpg,,,,,1.923,3.0,,,,,,,,,
361,1,Memory,7,,,,,,,00874940307fa.jpg,,,,,1.403,3.0,,,,,,,,,
362,1,Memory,7,,,,,,,01005960627fa.jpg,,,,,1.735,2.0,,,,,,,,,
363,1,Memory,7,,,,,,,sunaijsqpvodplbwxkf.jpg,,,,,1.185,3.0,,,,,,,,,
364,1,Memory,7,,,,,,,00635941031fa.jpg,,,,,1.201,3.0,,,,,,,,,
365,1,Memory,7,,,,,,,sunbwyuesflwdpqtgoy.jpg,,,,,1.388,3.0,,,,,,,,,
366,1,Memory,7,,,,,,,00193940928fa.jpg,,,,,1.455,2.0,,,,,,,,,
367,1,Memory,7,,,,,,,sunbfyvfqiimvdaxlqn.jpg,,,,,1.519,1.0,,,,,,,,,
368,1,Memory,7,,,,,,,00835940307fa.jpg,,,,,1.438,2.0,,,,,,,,,
369,1,Memory,7,,,,,,,sunacsdhbbsybcyxnel.jpg,,,,,1.553,2.0,,,,,,,,,
370,1,Memory,7,,,,,,,00983960627fa.jpg,,,,,1.669,2.0,,,,,,,,,
371,1,Memory,7,,,,,,,00787941205fa.jpg,,,,,1.304,3.0,,,,,,,,,
372,1,Memory,7,,,,,,,sunagmwxxwymwojbvgi.jpg,,,,,1.786,2.0,,,,,,,,,
373,1,Memory,7,,,,,,,sunbaejotfklekvpxcz.jpg,,,,,1.654,3.0,,,,,,,,,
374,1,Memory,7,,,,,,,sunayaepykrqvenaqqy.jpg,,,,,1.236,4.0,,,,,,,,,
375,1,Memory,7,,,,,,,sunauburywlkjszngcq.jpg,,,,,1.537,3.0,,,,,,,,,
376,1,Memory,7,,,,,,,00302940422fa.jpg,,,,,1.353,3.0,,,,,,,,,
377,1,Memory,7,,,,,,,00967960627fa.jpg,,,,,1.086,2.0,,,,,,,,,
378,1,Memory,7,,,,,,,00857940307fa.jpg,,,,,1.17,2.0,,,,,,,,,
379,1,Memory,7,,,,,,,sunabctlikybqabezjv.jpg,,,,,1.453,1.0,,,,,,,,,
380,1,Memory,7,,,,,,,sunaaxjpzcnxligjtjq.jpg,,,,,1.705,2.0,,,,,,,,,
381,1,Memory,7,,,,,,,00977960627fa.jpg,,,,,1.218,2.0,,,,,,,,,
382,1,Memory,7,,,,,,,sunbtpilbhhbmhmeuzq.jpg,,,,,1.652,3.0,,,,,,,,,
383,1,Memory,7,,,,,,,sunaavjinpnkappuonm.jpg,,,,,1.303,3.0,,,,,,,,,
384,1,Memory,7,,,,,,,00997960627fa.jpg,,,,,0.702,2.0,,,,,,,,,
385,1,Memory,7,,,,,,,00077931230fb.jpg,,,,,0.804,3.0,,,,,,,,,
386,1,Memory,7,,,,,,,sunabtlfmiwtljmoues.jpg,,,,,1.254,3.0,,,,,,,,,
387,1,Memory,7,,,,,,,00568940928fa.jpg,,,,,1.869,3.0,,,,,,,,,
388,1,Memory,7,,,,,,,sunabppokiyglaxpcha.jpg,,,,,1.021,2.0,,,,,,,,,
389,1,Memory,7,,,,,,,00162931230fb.jpg,,,,,1.368,3.0,,,,,,,,,
390,1,Memory,7,,,,,,,sunaafgqutfaishsxyu.jpg,,,,,1.321,3.0,,,,,,,,,
391,1,Memory,7,,,,,,,sunbbxkanhzjgbwyxqs.jpg,,,,,1.887,3.0,,,,,,,,,
392,1,Memory,7,,,,,,,00955960627fb.jpg,,,,,1.385,2.0,,,,,,,,,
393,1,Memory,7,,,,,,,00239940128fa.jpg,,,,,1.586,3.0,,,,,,,,,
394,1,Memory,7,,,,,,,sunaahzooisqkwlxwoz.jpg,,,,,1.686,3.0,,,,,,,,,
395,1,Memory,7,,,,,,,sunajtrfunvzdfticna.jpg,,,,,1.486,4.0,,,,,,,,,
396,1,Memory,7,,,,,,,sunaiwfobocrruqznsv.jpg,,,,,1.47,2.0,,,,,,,,,
397,1,Memory,7,,,,,,,sunaddsaeicthrfbkhe.jpg,,,,,1.486,1.0,,,,,,,,,
398,1,Memory,7,,,,,,,00095931230fa.jpg,,,,,1.303,2.0,,,,,,,,,
399,1,Memory,7,,,,,,,00288940422fa.jpg,,,,,1.186,2.0,,,,,,,,,
