,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
350,1,Presentation,7,00193940928fa_sunaaxjpzcnxligjtjq.jpg,00635941031fa_sunaddsaeicthrfbkhe.jpg,,,,,,,>,Face,21.019646883010864,,,,1.0,,,1,,,,x
351,1,Presentation,7,00963960627fa_sunayaepykrqvenaqqy.jpg,00990960627fa_sunbpflsdaxnddnwcqi.jpg,,,,,,,<,Place,28.26740002632141,,,,1.0,,,1,,,,x
352,1,Presentation,7,00926960627Fa_sunapqwoeotxshkukbh.jpg,00955960627fb_sunauburywlkjszngcq.jpg,,,,,,,<,Face,35.579208850860596,,,,1.0,,,1,,,,o
353,1,Presentation,7,00773960620fa_sunafvsxtzaizojicxx.jpg,00835940307fa_sunaijsqpvodplbwxkf.jpg,,,,,,,<,Place,42.89128303527832,,,,1.0,,,1,,,,x
354,1,Presentation,7,00874940307fa_sunajtrfunvzdfticna.jpg,00984960627fa_sunbfzchmomnvzhbxdg.jpg,,,,,,,>,Place,50.235267877578735,,,,1.0,,,1,,,,x
355,1,Presentation,7,00097931230fa_sunaajayojuslbbnneg.jpg,00077931230fb_sunaafgqutfaishsxyu.jpg,,,,,,,>,Face,57.523234844207764,,,,1.0,,,1,,,,x
356,1,Presentation,7,00095931230fa_sunaahzooisqkwlxwoz.jpg,00574940928fa_sunacvbrcejzwmcgnoq.jpg,,,,,,,<,Face,64.86719799041748,,,,1.0,,,1,,,,x
357,1,Presentation,7,01003960627fb_sunbwdrdvsweerwsdrj.jpg,00921960627fa_sunapqkpqdfvxlbqwyo.jpg,,,,,,,>,Place,72.22712302207947,,,,1.0,,,1,,,,x
358,1,Presentation,7,00997960627fa_sunbtpilbhhbmhmeuzq.jpg,00214940128fa_sunabbafjowbzcvbucc.jpg,,,,,,,<,Face,79.89908599853516,,,,1.0,,,1,,,,x
359,1,Presentation,7,00762941201fa_sunafgzgbisbopcyslr.jpg,00288940422fa_sunabppokiyglaxpcha.jpg,,,,,,,>,Place,87.3230459690094,,,,1.0,,,3,,,,o
