,Subject,Trial Type,Run,Cued Composite,Uncued Composite,Cued Face,Cued Place,Uncued Face,Uncued Place,Memory Image,Category,Cued Side,Cued Category,Attention Response Time (s),Familiarity Reaction Time (s),Familiarity Rating,Attention Level,Cue Validity,Post Invalid Cue,Pre Invalid Cue,Attention Button,Rating History,Stimulus Onset,Stimulus End,Attention Probe
260,21,Memory,5,,,,,,,sunbvbrvgbpanfrawft.jpg,,,,,1.195,1.0,,,,,,,,,
261,21,Memory,5,,,,,,,sunacerqowiaeoqkmsq.jpg,,,,,1.641,1.0,,,,,,,,,
262,21,Memory,5,,,,,,,00777941205fa.jpg,,,,,1.172,2.0,,,,,,,,,
263,21,Memory,5,,,,,,,00876960620fa.jpg,,,,,0.986,3.0,,,,,,,,,
264,21,Memory,5,,,,,,,sunasmmcxdddtmtazwx.jpg,,,,,1.966,4.0,,,,,,,,,
265,21,Memory,5,,,,,,,00999960627fa.jpg,,,,,1.004,1.0,,,,,,,,,
266,21,Memory,5,,,,,,,00742941201fa.jpg,,,,,0.654,3.0,,,,,,,,,
267,21,Memory,5,,,,,,,00988960627fa.jpg,,,,,0.934,1.0,,,,,,,,,
268,21,Memory,5,,,,,,,00548940519fa.jpg,,,,,1.077,1.0,,,,,,,,,
269,21,Memory,5,,,,,,,sunagcinxkccdtrjmlv.jpg,,,,,1.371,4.0,,,,,,,,,
270,21,Memory,5,,,,,,,00564940928fa.jpg,,,,,1.328,4.0,,,,,,,,,
271,21,Memory,5,,,,,,,sunaawsdjisukbbginm.jpg,,,,,1.17,2.0,,,,,,,,,
272,21,Memory,5,,,,,,,sunbmaiocftdtvnzgap.jpg,,,,,1.251,3.0,,,,,,,,,
273,21,Memory,5,,,,,,,sunabanoxjtqxamkucc.jpg,,,,,1.039,3.0,,,,,,,,,
274,21,Memory,5,,,,,,,sunaenwuebvlpdmntju.jpg,,,,,0.867,1.0,,,,,,,,,
275,21,Memory,5,,,,,,,sunacmpqqfbsvlzinzl.jpg,,,,,1.508,4.0,,,,,,,,,
276,21,Memory,5,,,,,,,sunabcfpwlpolnutyju.jpg,,,,,1.403,4.0,,,,,,,,,
277,21,Memory,5,,,,,,,00210940128fb.jpg,,,,,1.184,3.0,,,,,,,,,
278,21,Memory,5,,,,,,,sunafowswglhxcsufpo.jpg,,,,,1.614,2.0,,,,,,,,,
279,21,Memory,5,,,,,,,00129931230fb.jpg,,,,,0.846,1.0,,,,,,,,,
280,21,Memory,5,,,,,,,00795941205fa.jpg,,,,,1.187,1.0,,,,,,,,,
281,21,Memory,5,,,,,,,00115931230fa.jpg,,,,,0.752,2.0,,,,,,,,,
282,21,Memory,5,,,,,,,00827940307fa.jpg,,,,,0.969,3.0,,,,,,,,,
283,21,Memory,5,,,,,,,00221940128fa.jpg,,,,,1.491,4.0,,,,,,,,,
284,21,Memory,5,,,,,,,sunaalcrrdbjgdztbiz.jpg,,,,,1.095,2.0,,,,,,,,,
285,21,Memory,5,,,,,,,00829940307fa.jpg,,,,,0.847,1.0,,,,,,,,,
286,21,Memory,5,,,,,,,00771941205fa.jpg,,,,,0.848,2.0,,,,,,,,,
287,21,Memory,5,,,,,,,sunaakmxzhuceuiryah.jpg,,,,,1.474,3.0,,,,,,,,,
288,21,Memory,5,,,,,,,sunagtumacdlmciqamz.jpg,,,,,1.835,1.0,,,,,,,,,
289,21,Memory,5,,,,,,,sunajwqkfsykceonyig.jpg,,,,,0.903,4.0,,,,,,,,,
290,21,Memory,5,,,,,,,sunahwgbqkqcrwprgvh.jpg,,,,,1.213,2.0,,,,,,,,,
291,21,Memory,5,,,,,,,00123931230fb.jpg,,,,,1.399,4.0,,,,,,,,,
292,21,Memory,5,,,,,,,sunaamsdyakblkfoydx.jpg,,,,,0.982,1.0,,,,,,,,,
293,21,Memory,5,,,,,,,sunahctntqrunhdxhtb.jpg,,,,,1.164,3.0,,,,,,,,,
294,21,Memory,5,,,,,,,00191940128fb.jpg,,,,,0.921,1.0,,,,,,,,,
295,21,Memory,5,,,,,,,sunahtfxgsrmkiulnwk.jpg,,,,,1.374,2.0,,,,,,,,,
296,21,Memory,5,,,,,,,00947960627fa.jpg,,,,,1.102,3.0,,,,,,,,,
297,21,Memory,5,,,,,,,00636941031fa.jpg,,,,,1.87,3.0,,,,,,,,,
298,21,Memory,5,,,,,,,00810941205fa.jpg,,,,,0.718,1.0,,,,,,,,,
299,21,Memory,5,,,,,,,sunaddtdkycxbqlpfqa.jpg,,,,,0.988,2.0,,,,,,,,,
